trait,celltype,zscore,lfsr
Basophill_perc,B,-0.8414,0.431
Eosinophill_perc,B,0.6039,0.3163
Haemoglobin,B,-1.2462,0.6673
HLR_perc,B,-2.9082,1.7313
Lymphocyte_perc,B,0.2093,0.1878
MCV,B,-2.6786,1.5771
Monocyte_perc,B,-1.522,0.8393
MSCV,B,-1.3235,0.7151
Neutrophill_perc,B,0.288,0.2077
PDW,B,-2.4923,1.4553
Platelet_count,B,-3.7359,2.3872
Plateletcrit,B,-2.4695,1.4405
RBC_count,B,-2.9072,1.7306
RDW,B,-1.6004,0.8886
Reticulocyte_perc,B,-2.2595,1.3057
WBC_count,B,-0.3064,0.2127
Basophill_perc,CD4,-2.5187,1.4724
Eosinophill_perc,CD4,-0.5961,0.313
Haemoglobin,CD4,-2.6715,1.5724
HLR_perc,CD4,-3.2068,1.943
Lymphocyte_perc,CD4,-0.7941,0.4062
MCV,CD4,-2.715,1.6012
Monocyte_perc,CD4,-4.0019,2.7109
MSCV,CD4,-1.1602,0.6147
Neutrophill_perc,CD4,-0.2401,0.1953
PDW,CD4,-3.803,4.3847
Platelet_count,CD4,-3.9976,3.8926
Plateletcrit,CD4,-4.1508,3.4096
RBC_count,CD4,-2.4241,1.4112
RDW,CD4,-4.0659,2.8244
Reticulocyte_perc,CD4,-3.2453,1.9716
WBC_count,CD4,-1.1543,0.6112
Basophill_perc,CD8,-1.8523,1.0476
Eosinophill_perc,CD8,-0.2842,0.2067
Haemoglobin,CD8,-3.4376,2.1211
HLR_perc,CD8,-3.8006,2.4544
Lymphocyte_perc,CD8,-1.0349,0.5399
MCV,CD8,-2.4065,1.3999
Monocyte_perc,CD8,-4.1494,3.0687
MSCV,CD8,-1.117,0.5886
Neutrophill_perc,CD8,-0.2349,0.194
PDW,CD8,-4.1364,3.483
Platelet_count,CD8,-4.1265,3.5242
Plateletcrit,CD8,-4.1654,3.2266
RBC_count,CD8,-2.552,1.4941
RDW,CD8,-3.9463,2.6296
Reticulocyte_perc,CD8,-3.3557,2.0559
WBC_count,CD8,-1.3249,0.716
Basophill_perc,CLP,0.2925,0.2089
Eosinophill_perc,CLP,-1.5964,0.8861
Haemoglobin,CLP,-0.6706,0.3459
HLR_perc,CLP,-2.8983,1.7245
Lymphocyte_perc,CLP,0.64,0.332
MCV,CLP,-3.2763,1.995
Monocyte_perc,CLP,-1.6406,0.914
MSCV,CLP,-2.2869,1.3233
Neutrophill_perc,CLP,-0.1366,0.1713
PDW,CLP,-2.1444,1.2325
Platelet_count,CLP,-4.0536,2.8003
Plateletcrit,CLP,-3.0696,1.8438
RBC_count,CLP,-2.1022,1.2057
RDW,CLP,-1.9716,1.123
Reticulocyte_perc,CLP,-2.9786,1.7799
