trait,celltype,zscore,lfsr
Basophill_perc,B,-1.6206,0.8786
Eosinophill_perc,B,1.3418,0.7065
Haemoglobin,B,-0.5452,0.282
HLR_perc,B,-0.4151,0.2359
Lymphocyte_perc,B,2.1324,1.2086
MCV,B,-1.3625,0.7191
Monocyte_perc,B,0.3547,0.2174
MSCV,B,-2.2198,1.2681
Neutrophill_perc,B,1.5822,0.8546
PDW,B,-3.1366,2.0685
Platelet_count,B,-1.8406,1.0176
Plateletcrit,B,-1.4691,0.7845
RBC_count,B,-1.4432,0.7686
RDW,B,-1.3252,0.6965
Reticulocyte_perc,B,-0.5132,0.2699
WBC_count,B,-0.1812,0.1731
Basophill_perc,CD4,-1.8581,1.0288
Eosinophill_perc,CD4,2.2269,1.273
Haemoglobin,CD4,-0.4171,0.2366
HLR_perc,CD4,-0.2244,0.183
Lymphocyte_perc,CD4,3.3249,2.3411
MCV,CD4,-0.8555,0.4257
Monocyte_perc,CD4,-1.6784,0.9148
MSCV,CD4,-1.5946,0.8623
Neutrophill_perc,CD4,1.4356,0.7639
PDW,CD4,-3.1571,2.0945
Platelet_count,CD4,-3.5359,2.7955
Plateletcrit,CD4,-3.4588,2.6026
RBC_count,CD4,-1.1774,0.6076
RDW,CD4,-1.7491,0.9594
Reticulocyte_perc,CD4,-0.5408,0.2804
WBC_count,CD4,-0.383,0.2259
Basophill_perc,CD8,-1.9036,1.0581
Eosinophill_perc,CD8,3.7495,3.5643
Haemoglobin,CD8,-0.197,0.1766
HLR_perc,CD8,-0.375,0.2235
Lymphocyte_perc,CD8,3.6922,3.3267
MCV,CD8,-0.9482,0.4757
Monocyte_perc,CD8,-1.4466,0.7707
MSCV,CD8,-1.9152,1.0656
Neutrophill_perc,CD8,2.0323,1.142
PDW,CD8,-2.7062,1.6339
Platelet_count,CD8,-3.5304,2.7806
Plateletcrit,CD8,-3.2215,2.1814
RBC_count,CD8,-1.5128,0.8115
RDW,CD8,-1.5309,0.8227
Reticulocyte_perc,CD8,-0.7054,0.3508
WBC_count,CD8,-0.5873,0.2989
Basophill_perc,CLP,-1.3635,0.7197
Eosinophill_perc,CLP,-3.1422,2.0755
Haemoglobin,CLP,-1.0086,0.5095
HLR_perc,CLP,-1.1101,0.568
Lymphocyte_perc,CLP,1.2793,0.6686
MCV,CLP,-2.2863,1.3142
Monocyte_perc,CLP,-0.0612,0.1484
MSCV,CLP,-2.3495,1.3589
Neutrophill_perc,CLP,1.3699,0.7236
PDW,CLP,-1.9939,1.1168
Platelet_count,CLP,-3.3073,2.3117
Plateletcrit,CLP,-2.6024,1.549
RBC_count,CLP,-1.2864,0.6729
RDW,CLP,-3.6534,3.1764
Reticulocyte_perc,CLP,-1.0463,0.5311
WBC_count,CLP,2.9235,1.8321
Basophill_perc,CMP,2.8306,1.7434
Eosinophill_perc,CMP,-0.3171,0.2068
