Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 392 312.560945885579 6.12778653369439e-07 60408 2590 1819115 5.2191832479423 4.67452082208733 5.8163815008178 1.87035894501942e-136
1_GATA2-Interval-Track.bed 392 312.560945885579 6.12778653369439e-07 60408 2590 1819115 5.2191832479423 4.67452082208733 5.8163815008178 1.87035894501942e-136
adult_peaks.bed 0 NA NA 111 2590 1819115 0 0 23.715546452629 1
All_peaks.merged5.hg19.bed 1774 1675.22121926017 3.66099135087742e-06 428871 2590 1819115 7.07250301291572 6.50559140714031 7.69517005103958 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 1774 1675.22121926017 3.66099135087742e-06 428871 2590 1819115 7.07250301291572 6.50559140714031 7.69517005103958 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 699 720.857454046531 0.852354558795684 133541 2590 1819115 4.68502723691063 4.28858298369407 5.11321467040491 2.3798156116417e-202
CN_all_peaks.overlap.Conserved.bed 158 101.098372684916 9.03068936969176e-09 19655 2590 1819115 5.98788203684756 5.06263815726919 7.04014588984343 4.34410766351839e-66
CN_all_peaks.overlap.footprint.bed 116 102.395938213936 0.0766812597099559 12302 2590 1819115 6.94129801916785 5.70818601431678 8.3716946583293 1.49683619216746e-55
CN_footprint.hg19.bed 116 102.655072671582 0.0809967375886908 12338 2590 1819115 6.9208031972288 5.69126628086442 8.34830220099182 2.00385567899725e-55
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 596 557.777032466806 0.0287184876664855 111757 2590 1819115 4.58549459227764 4.17670439177047 5.02787143841487 5.22798821658856e-173
CN_merged_footprint.dnase2tf.bed 0 NA NA 1687 2590 1819115 0 0 1.5349823064322 0.186160985830206
CN_merged_footprint.dnase2tf.hg19.bed 34 22.2322548554337 0.0100113183581894 4805 2590 1819115 5.05203934054546 3.48590278855711 7.08755737883132 8.99469570862385e-14
Coding_UCSC.bed 657 352.90931888552 1.99658015371751e-69 104219 2590 1819115 5.62186279048142 5.13717540260876 6.1464640455082 2.1040874434412e-231
Conserved_LindbladToh.bed 642 574.126090047699 0.000391419338460063 126535 2590 1819115 4.42589267793947 4.04064209658205 4.84208471820227 4.58610747088109e-177
CTCF_Hoffman.bed 802 540.043858403199 3.82393427515028e-39 84754 2590 1819115 9.2573554517689 8.50408589412124 10.0725518785639 0
DHS_peaks_Trynka.bed 1743 1613.04872671401 1.70455706589963e-09 365827 2590 1819115 8.20937962924114 7.55609692875358 8.92234369952894 0
