Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2603 2205.92743216737 5.55812848596562e-24 170120 13962 4135824 5.40857175650851 5.1806641166666 5.64683222488102 0
1_GATA2-Interval-Track.bed 2603 2205.92743216737 5.55812848596562e-24 170120 13962 4135824 5.40857175650851 5.1806641166666 5.64683222488102 0
adult_peaks.bed 8 6.91613716100918 0.386868687257486 492 13962 4135824 4.88250859838575 2.09519854955506 9.69916289877145 0.000320929649535212
All_peaks.merged5.hg19.bed 10534 10343.7266688312 1.49675979489106e-05 1125197 13962 4135824 8.28978916105697 7.97637570746322 8.61780775120491 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 10534 10343.7266688312 1.49675979489106e-05 1125197 13962 4135824 8.28978916105697 7.97637570746322 8.61780775120491 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4555 4399.88189309562 0.00110584640579 374772 13962 4135824 4.90687521466201 4.73424783446444 5.08444203258652 0
CN_all_peaks.overlap.Conserved.bed 918 745.395174978557 7.08649417409987e-12 54313 13962 4135824 5.36301064283429 5.00726232273164 5.73707861474902 0
CN_all_peaks.overlap.footprint.bed 725 702.595716012283 0.179119167893033 37188 13962 4135824 6.13653454404739 5.68215135711491 6.61718054414696 4.19510815904984e-302
CN_footprint.hg19.bed 725 703.115356953369 0.184899178325005 37233 13962 4135824 6.12890332442045 5.67493855166965 6.60935080402828 8.79341580023116e-302
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 3692 3509.47952452835 6.99190306286181e-05 308324 13962 4135824 4.50474887978212 4.3359411797838 4.67907438604388 0
CN_merged_footprint.dnase2tf.bed 367 331.273216651914 0.01364668683715 5750 13962 4135824 20.6414892337027 18.4932439194031 22.9918687820149 0
CN_merged_footprint.dnase2tf.hg19.bed 367 247.956582300262 6.60729764140629e-15 13813 13962 4135824 8.24799221383755 7.40600783257474 9.16524810617332 2.75542330102574e-195
Coding_UCSC.bed 3424 2598.76025023308 4.01573584222163e-84 273354 13962 4135824 4.63664618056916 4.45895281430186 4.82069770166167 0
Conserved_LindbladToh.bed 5283 4886.2115851333 1.16266612323722e-16 355387 13962 4135824 6.55693750773906 6.33385337936078 6.78805391814404 0
CTCF_Hoffman.bed 4532 4186.06866659831 1.44293574552507e-13 245744 13962 4135824 7.73010211846148 7.45768853724821 8.011724977974 0
DHS_peaks_Trynka.bed 11242 10445.6653033854 3.98497905106467e-77 989508 13962 4135824 13.2810014515736 12.7353820963189 13.8545986854346 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6667 6291.21688238235 1.87203209243504e-12 584234 13962 4135824 5.60836463792607 5.42362626966122 5.79853990270175 0
DN_all_peaks.overlap.Conserved.bed 1316 1100.70920674408 1.33201703395945e-12 86968 13962 4135824 4.90359796027403 4.62770561790453 5.19241318951123 0
DN_all_peaks.overlap.footprint.bed 957 951.726001084088 0.428927965246422 44823 13962 4135824 6.8404836593104 6.39489421252138 7.31140119020495 0
DNaseI.bed 5370 4619.24620197374 2.03916947118954e-50 532562 13962 4135824 4.26192726651886 4.11735942081525 4.41038922153713 0
DN_footprint.hg19.bed 957 951.875254767307 0.431082518562616 44885 13962 4135824 6.83076676176881 6.38663109255428 7.30095290405579 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 5661 5668.18254720748 0.557244288365134 492885 13962 4135824 5.0874653906754 4.91691339319788 5.2633459442507 0
DN_merged_footprint.dnase2tf.bed 662 571.880374443822 1.49211286301782e-05 19326 13962 4135824 10.9439371279478 10.0903318945239 11.8477747663573 0
DN_merged_footprint.dnase2tf.hg19.bed 849 816.694554123433 0.112707245509654 50337 13962 4135824 5.32843566614496 4.96255041637358 5.71536266377437 4.04251765875403e-310
E081-DNase.macs2.narrowPeak.bed 1 10.632357596509 0.999988990439059 1081 13962 4135824 0.273300597281177 0.00691556336564701 1.52622477155154 0.28285625415411
E8_TCM_D_48h.bed 6767 5722.41605630835 3.60291889528576e-95 444586 13962 4135824 7.91328298783295 7.65484149000827 8.18497694383933 0
E8_TCM_T_48h.bed 6558 5238.85757762728 1.15026330416924e-149 399104 13962 4135824 8.41478961824059 8.13635176774295 8.70336090194028 0
Enhancer_Andersson.bed 1872 1169.34873335436 2.77345584783241e-108 56126 13962 4135824 11.6057613019704 11.0395385817858 12.2004257847766 0
Enhancer_Hoffman.bed 6332 4618.69207470989 4.85541025929186e-247 423861 13962 4135824 7.3622126733699 7.11888478614553 7.61597639108406 0
eQTL_0.05_FDR.bed 75 95.4691380294039 0.993106653007611 1672 13962 4135824 13.9374912200381 10.8958503002156 17.5845924056628 7.20675791357494e-57
eQTL_0.1_FDR.bed 76 117.863165168208 0.999997526299665 2506 13962 4135824 9.27613904323435 7.2806855019629 11.662869810743 1.30434996779507e-45
eur_ld_breakpoints.bed 13962 13961.9967222483 5.14548824876292 4135818 13962 4135824 Inf 0.00399337730010748 Inf 1
eur_ld_breakpoints_named.bed 13962 13961.9967222483 5.14548824876292 4135818 13962 4135824 Inf 0.00399337730010748 Inf 1
eur_ld_breakpoints_named_sorted.bed 13962 13961.9967222483 5.14548824876292 4135818 13962 4135824 Inf 0.00399337730010748 Inf 1
eur_ld_breakpoints_sorted.bed 13962 13961.9967222483 5.14548824876292 4135818 13962 4135824 Inf 0.00399337730010748 Inf 1
FAIRE.bed 2132 2220.19562598196 0.987533516900899 136701 13962 4135824 5.33988026963696 5.0958370894777 5.59516170351023 0
fantomFetalBrainCage.gt10.bed 0 NA NA 51 13962 4135824 0 0 22.1530865481466 1
FetalDHS_Trynka.bed 9965 9069.03742305185 5.35007074995019e-78 802619 13962 4135824 10.4712454973812 10.0913408257943 10.8692763945657 0
FOSL2.bed 1002 905.553465777576 0.000260685863490465 57560 13962 4135824 5.55788922075631 5.20396293912429 5.93057339819388 0
FOXO1_DeMayo.bed 1094 989.950006200354 0.000192797803341439 80551 13962 4135824 4.32549892676529 4.06096795433479 4.60317707728542 1.08664798146324e-319
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 6102 5322.36343858574 8.41959175920606e-52 502886 13962 4135824 5.66500460426419 5.47705525674374 5.85853109589335 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6775 6611.50807612706 0.000991122689829893 611072 13962 4135824 5.48730201120501 5.30733687488627 5.67347535713983 0
GA_all_peaks.overlap.Conserved.bed 946 683.292574956253 2.5411239947453e-26 55591 13962 4135824 5.41017944522356 5.05590651154733 5.78240728786243 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 6349 6083.02471056812 2.51681701396847e-07 544202 13962 4135824 5.55722185998155 5.37344405566382 5.74741239618761 0
GA_merged_footprint.dnase2tf.hg19.bed 1434 1169.48997809188 1.12818568681226e-18 77246 13962 4135824 6.10881151559677 5.77758432252474 6.4560862587351 0
GSM1820082_d27_fdr0.05.hot.bed 2514 2076.33099765564 1.67184509199157e-29 198145 13962 4135824 4.40731776581688 4.21846552086716 4.60306961715836 0
GSM1820085_d411_fdr0.05.hot.bed 1064 753.258206344236 1.61209781695308e-32 71046 13962 4135824 4.77577014304705 4.48102351258505 5.08757367409956 0
GSM1820087_d412_fdr0.05.hot.bed 1676 1355.56698677915 7.08353379888668e-23 129472 13962 4135824 4.26345187559355 4.04728472066175 4.48859900220358 0
H3K27ac.bed 1611 981.070852354529 9.23992298034997e-104 68682 13962 4135824 7.88583220459213 7.47899526936431 8.31090766894261 0
h3k27ac-final-C-48h.bed 4366 3257.82472886402 8.86088381659457e-117 466018 13962 4135824 3.60731620443021 3.47892172025028 3.73982031972955 0
h3k27ac-final-D-48h.bed 4573 3473.48938886672 1.65566197898266e-111 491028 13962 4135824 3.63991918468123 3.51223252449366 3.77180995455416 0
