Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3277 2504.64939908439 3.39544148987351e-76 153689 14103 3124165 5.95609665520519 5.7240874596247 6.19682975358864 0
1_GATA2-Interval-Track.bed 3277 2504.64939908439 3.39544148987351e-76 153689 14103 3124165 5.95609665520519 5.7240874596247 6.19682975358864 0
adult_peaks.bed 2 4.53747075077497 0.943463480740881 460 14103 3124165 0.962985385980444 0.116260002967 3.49915248359325 1
All_peaks.merged5.hg19.bed 11048 10691.0940615984 4.93433545847681e-16 976828 14103 3124165 8.02919081318252 7.71374394404097 8.36259097878736 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 11048 10691.0940615984 4.93433545847681e-16 976828 14103 3124165 8.02919081318252 7.71374394404097 8.36259097878736 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4789 4689.31447514731 0.0250735071483603 335562 14103 3124165 4.32058663300502 4.1702860422963 4.47510749945656 0
CN_all_peaks.overlap.Conserved.bed 1257 927.552278853428 6.30610774049273e-34 49812 14103 3124165 6.16969617674496 5.81398549456843 6.5427807317883 0
CN_all_peaks.overlap.footprint.bed 1070 805.391905074347 3.14416242665817e-25 34659 14103 3124165 7.52015052073118 7.05224530909612 8.01004666930852 0
CN_footprint.hg19.bed 1070 805.978585975256 4.06931338546384e-25 34711 14103 3124165 7.50842056082762 7.04124851464219 7.99880779367775 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4157 3818.89242243868 2.00427200322735e-12 277297 14103 3124165 4.34125596591387 4.18496698026116 4.50268557854304 0
CN_merged_footprint.dnase2tf.bed 386 335.095709505217 0.000794461678916029 5351 14103 3124165 17.5898257991667 15.8058075023029 19.5577792179483 2.59265789498523e-317
CN_merged_footprint.dnase2tf.hg19.bed 409 296.506266154148 3.79970702340242e-12 12396 14103 3124165 7.71928892742729 6.9685276097187 8.53024759090188 1.60797649051419e-206
Coding_UCSC.bed 3480 2783.73360042563 8.4868014185516e-59 236434 14103 3124165 4.04630000710133 3.89197639654868 4.20540188425125 0
