Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2362 1980.79007852209 1.68967595496261e-25 173647 11932 4424549 6.11072256430716 5.83858689022457 6.39566152068044 0
1_GATA2-Interval-Track.bed 2362 1980.79007852209 1.68967595496261e-25 173647 11932 4424549 6.11072256430716 5.83858689022457 6.39566152068044 0
adult_peaks.bed 0 NA NA 467 11932 4424549 0 0 2.93281010876142 0.642179827618095
All_peaks.merged5.hg19.bed 9448 8892.31499644431 3.11596186477109e-43 1174690 11932 4424549 10.5996474631115 10.1394884113403 11.0851617465197 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 9448 8892.31499644431 3.11596186477109e-43 1174690 11932 4424549 10.5996474631115 10.1394884113403 11.0851617465197 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4280 3794.48027341794 1.15895855956628e-26 380525 11932 4424549 6.00044766415666 5.77773660777662 6.23078976406978 0
CN_all_peaks.overlap.Conserved.bed 1003 640.387338124997 4.47148110290226e-50 55795 11932 4424549 7.30031791434583 6.83151592091872 7.79069897561521 0
CN_all_peaks.overlap.footprint.bed 827 724.769778668459 5.38380759538593e-06 36663 11932 4424549 9.09552210335396 8.4585987891443 9.77109377169393 0
CN_footprint.hg19.bed 827 725.024981598847 5.6823806962084e-06 36709 11932 4424549 9.08375566493412 8.44767469313523 9.75554221260744 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 3724 3143.06114138197 7.25302144138329e-40 316251 11932 4424549 5.95124310010868 5.72333297701543 6.1896739279274 0
CN_merged_footprint.dnase2tf.bed 357 294.687799744179 2.79900220319927e-05 5402 11932 4424549 26.9564599514475 24.0862088111581 30.0530557858245 0
CN_merged_footprint.dnase2tf.hg19.bed 411 222.318151655146 6.0279814918789e-36 13882 11932 4424549 11.6496487371683 10.5165271058596 12.8742562065655 1.34538662509124e-272
Coding_UCSC.bed 3118 2325.89364234934 2.12702878230267e-87 285330 11932 4424549 5.17808810187223 4.96791255731657 5.39421472128491 0
Conserved_LindbladToh.bed 4751 4266.07344291571 2.83934692569242e-29 364022 11932 4424549 7.46434175971131 7.19446626909069 7.7463887444637 0
CTCF_Hoffman.bed 3704 3634.18484357432 0.0529537325549531 245983 11932 4424549 7.75033297718556 7.45013442957981 8.05799233964701 0
DHS_peaks_Trynka.bed 9496 8908.88985237673 3.46564809527878e-51 1019268 11932 4424549 13.13592988276 12.5600753832612 13.7353165692955 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6028 5396.2311426904 2.03888797921621e-38 599548 11932 4424549 6.56979838072078 6.33545842272472 6.81275206771977 0
DN_all_peaks.overlap.Conserved.bed 1199 928.982982952746 2.73798560799609e-22 88832 11932 4424549 5.51332713794236 5.18695180646855 5.85618166322033 0
DN_all_peaks.overlap.footprint.bed 831 915.920294165562 0.999628535572867 44094 11932 4424549 7.56075596506296 7.03290131455281 8.11936062350215 0
DNaseI.bed 5069 4007.33555421902 6.50272157021377e-116 560234 11932 4424549 5.13208571336661 4.94683193819369 5.32392811905145 0
DN_footprint.hg19.bed 831 916.141879495638 0.999639673699572 44151 11932 4424549 7.55072569682434 7.02445060354491 8.1068435936022 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 5364 4916.51035880721 2.72455387589154e-21 503766 11932 4424549 6.41384053083728 6.18415069340976 6.65193921853364 0
DN_merged_footprint.dnase2tf.bed 549 533.258176846629 0.221241630704867 18898 11932 4424549 11.5500442516695 10.5703814314235 12.6004857194194 0
DN_merged_footprint.dnase2tf.hg19.bed 1110 809.448443276933 9.31903543779519e-32 50213 11932 4424549 9.11419794507625 8.55534329890235 9.70071534967809 0
E081-DNase.macs2.narrowPeak.bed 0 NA NA 1137 11932 4424549 0 0 1.20165003764638 0.0831109625004108
E8_TCM_D_48h.bed 6053 4930.38710129507 5.77642625723437e-132 456567 11932 4424549 9.05579962218567 8.73532023910345 9.39050327868091 0
E8_TCM_T_48h.bed 5788 4466.7475556029 5.40077833732225e-180 408806 11932 4424549 9.37247040114341 9.03937607389631 9.7157117974947 0
Enhancer_Andersson.bed 1166 1040.15737507637 2.86474337226328e-06 54896 11932 4424549 8.78615115319514 8.25782377278543 9.33838556589318 0
Enhancer_Hoffman.bed 5679 4193.43265276371 1.06333825193252e-220 440225 11932 4424549 8.31524361804964 8.01940587621149 8.62284367760578 0
eQTL_0.05_FDR.bed 44 89.0685392147383 0.999999998709788 1390 11932 4424549 12.1297551517728 8.76780631958381 16.3826146750705 9.0272884314056e-32
eQTL_0.1_FDR.bed 44 98.1459602642439 0.999999999995427 2022 11932 4424549 8.25200888845219 5.97370684543221 11.1284246361565 3.09560211726584e-25
FAIRE.bed 2007 2091.77742398657 0.989702095967316 136423 11932 4424549 6.43613146824533 6.13052066625578 6.75496658121987 0
fantomFetalBrainCage.gt10.bed 0 NA NA 64 11932 4424549 0 0 21.9532354981998 1
FetalDHS_Trynka.bed 8573 7818.15583657651 7.9692773882425e-68 824387 11932 4424549 11.2524249874673 10.8134895056219 11.7180457674809 0
FOSL2.bed 1041 841.683485399255 1.59892541513167e-14 57372 11932 4424549 7.39279536544749 6.9247194199798 7.88205432854979 0
FOXO1_DeMayo.bed 1182 957.040036143096 5.00336649368661e-16 81879 11932 4424549 5.90239985849682 5.55196195391926 6.2719424633114 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 5152 4467.71321229222 1.79991753344804e-48 512356 11932 4424549 5.85100416913898 5.6402601464394 6.0683701189579 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6329 5826.59235417909 7.26362023282778e-27 630561 11932 4424549 6.85523501853603 6.61274448115636 7.10838510881225 0
GA_all_peaks.overlap.Conserved.bed 791 544.30132071102 5.66277725602826e-28 56645 11932 4424549 5.53875118358879 5.14385418439834 5.95562699337265 1.95361783209278e-299
