Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2922 2328.20821986877 4.43661206529724e-47 154815 14545 3300505 5.18765491818736 4.97774979191576 5.4041231479489 0
1_GATA2-Interval-Track.bed 2922 2328.20821986877 4.43661206529724e-47 154815 14545 3300505 5.18765491818736 4.97774979191576 5.4041231479489 0
adult_peaks.bed 18 7.97684821367537 0.00073593064534037 432 14545 3300505 9.83278866450731 5.76895936336049 15.7421072772416 2.07421913558144e-12
All_peaks.merged5.hg19.bed 11193 10887.7792451817 1.43512006014568e-11 987549 14545 3300505 7.89883028958149 7.60040211551592 8.21116843772505 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 11193 10887.7792451817 1.43512006014568e-11 987549 14545 3300505 7.89883028958149 7.60040211551592 8.21116843772505 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4928 4725.44245626268 4.31006175214388e-05 337207 14545 3300505 4.55520523961434 4.39942498243238 4.71574925805588 0
CN_all_peaks.overlap.Conserved.bed 908 768.579337408709 3.08599217045526e-08 48398 14545 3300505 4.54065320895637 4.23843148876102 4.85915705549988 1.15187913931134e-281
CN_all_peaks.overlap.footprint.bed 980 833.057517085358 3.48905096314694e-09 34679 14545 3300505 6.97111777347057 6.52130856584152 7.44654141629645 0
CN_footprint.hg19.bed 980 833.376595294829 3.78357822206856e-09 34720 14545 3300505 6.96259226373902 6.51546584752069 7.43742563519527 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4195 3837.96677829675 1.4121672111097e-13 277527 14545 3300505 4.46744166500225 4.30777305322084 4.63253057640819 0
CN_merged_footprint.dnase2tf.bed 479 382.822629300899 1.1825796161479e-08 5559 14545 3300505 21.9858796516546 19.9449530012328 24.1793892790978 0
CN_merged_footprint.dnase2tf.hg19.bed 308 247.321515499509 3.29075547185306e-05 12292 14545 3300505 5.91012977057091 5.25460392509839 6.62780652265431 1.20352600033115e-126
Coding_UCSC.bed 3479 2734.60056106127 7.14062990806934e-67 238269 14545 3300505 4.08586299988039 3.93035157901462 4.24525499871192 0
Conserved_LindbladToh.bed 5467 5185.21938995451 3.94955248926585e-09 315601 14545 3300505 5.77849971826848 5.58608619432258 5.97863243900216 0
CTCF_Hoffman.bed 4596 4455.88877448109 0.00173050980773984 224523 14545 3300505 6.44019023888646 6.21647451955068 6.67104332505549 0
DHS_peaks_Trynka.bed 11500 11041.5821848491 1.15775331328598e-26 880173 14545 3300505 10.509166212638 10.0959184480851 10.9428840514943 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6771 6445.80651895663 1.21422438869458e-09 522990 14545 3300505 4.67339598623188 4.52220138386935 4.82915347649523 0
DN_all_peaks.overlap.Conserved.bed 1360 1220.83940227403 4.02421324145364e-06 78272 14545 3300505 4.30368172471096 4.06514841557808 4.55286783258637 0
DN_all_peaks.overlap.footprint.bed 1326 1134.71715939282 2.32925711295935e-11 41992 14545 3300505 8.00521725438535 7.55333508171439 8.47774076271356 0
DNaseI.bed 5463 4667.96709571721 5.86369387173731e-56 458675 14545 3300505 3.7598843235125 3.63436985051159 3.88944826341581 0
DN_footprint.hg19.bed 1326 1135.16844307756 2.60824407810485e-11 42044 14545 3300505 7.99487244893519 7.54297738656553 8.46672360552708 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 5919 5917.53063249167 0.492611963805442 443177 14545 3300505 4.47068862663327 4.32379027341772 4.6224532544011 0
DN_merged_footprint.dnase2tf.bed 835 641.433254628129 1.78000605055855e-18 18481 14545 3300505 11.2803414202483 10.4903677919767 12.1127761344284 0
DN_merged_footprint.dnase2tf.hg19.bed 1091 997.65278944486 0.000381943186446188 46083 14545 3300505 5.84128441408811 5.48355385955779 6.21718309650271 0
E081-DNase.macs2.narrowPeak.bed 1 9.33555503743776 0.999947626424919 971 14545 3300505 0.232852164798199 0.00589202929467142 1.30062215565829 0.141735211637711
E8_TCM_D_48h.bed 6771 5795.86718716058 1.85717693432417e-82 399229 14545 3300505 6.42053816477855 6.21449041076596 6.63581286051433 0
E8_TCM_T_48h.bed 6152 5163.27633683625 5.83776307098033e-85 358317 14545 3300505 6.10608285362494 5.90640497335853 6.31232446349106 0
Enhancer_Andersson.bed 1844 1350.90742534188 2.02660256604686e-55 51043 14545 3300505 9.55064075033429 9.08313935878515 10.0359102673592 0
Enhancer_Hoffman.bed 6404 5032.62662902296 2.84584488422379e-156 376075 14545 3300505 6.2049249165348 6.00474226646742 6.41449599733655 0
eQTL_0.05_FDR.bed 97 97.5592042283872 0.543147127812299 1483 14545 3300505 15.910448316929 12.8046240303851 19.5593756525381 8.95728906743496e-78
eQTL_0.1_FDR.bed 143 114.031648314308 0.00194683722243087 2281 14545 3300505 15.251215593784 12.7724972885782 18.0937769391071 2.67146819517881e-111
eur_ld_breakpoints.bed 14545 14544.9921233095 3.49672921899053 3300498 14545 3300505 Inf 0.00637158111858978 Inf 1
eur_ld_breakpoints_named.bed 14545 14544.9921233095 3.49672921899053 3300498 14545 3300505 Inf 0.00637158111858978 Inf 1
eur_ld_breakpoints_named_sorted.bed 14545 14544.9921233095 3.49672921899053 3300498 14545 3300505 Inf 0.00637158111858978 Inf 1
eur_ld_breakpoints_sorted.bed 14545 14544.9921233095 3.49672921899053 3300498 14545 3300505 Inf 0.00637158111858978 Inf 1
FAIRE.bed 2396 2592.44178901793 0.999999573076463 127323 14545 3300505 4.99043923602054 4.77313119357379 5.2163914304818 0
fantomFetalBrainCage.gt10.bed 0 NA NA 54 14545 3300505 0 0 15.9723057352252 1
