Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2393 2036.38053540437 1.54110767291391e-20 237061 13865 5082168 4.29660918357847 4.10935022313602 4.49144491913612 0
1_GATA2-Interval-Track.bed 2393 2036.38053540437 1.54110767291391e-20 237061 13865 5082168 4.29660918357847 4.10935022313602 4.49144491913612 0
adult_peaks.bed 0 NA NA 649 13865 5082168 0 0 2.08359059538596 0.431230041739393
All_peaks.merged5.hg19.bed 10726 10038.1362465845 2.54944197871208e-51 1554802 13865 5082168 7.79893559160696 7.49548224497924 8.12025283329798 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 10726 10038.1362465845 2.54944197871208e-51 1554802 13865 5082168 7.79893559160696 7.49548224497924 8.12025283329798 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4932 4564.20710205573 2.70002127936305e-13 524003 13865 5082168 4.8388749519497 4.67200997785572 5.01179522992425 0
CN_all_peaks.overlap.Conserved.bed 1037 612.175440597448 1.02745957435463e-64 75488 13865 5082168 5.42290245839612 5.08295547099177 5.77901853063439 0
CN_all_peaks.overlap.footprint.bed 909 730.340715960746 8.56068153750809e-14 51099 13865 5082168 7.0135500806617 6.54794967747893 7.50779883688996 0
CN_footprint.hg19.bed 909 730.870079732634 1.0259593231119e-13 51171 13865 5082168 7.00344283304289 6.53931515272737 7.49660263201597 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4428 3753.77986870492 5.64055388488729e-45 437254 13865 5082168 5.02522255002171 4.84737493435659 5.20890755363136 0
CN_merged_footprint.dnase2tf.bed 200 93.9105443345747 2.18974799662016e-24 7102 13865 5082168 10.7343252233914 9.26924375994524 12.3715406240258 4.63616991916833e-128
CN_merged_footprint.dnase2tf.hg19.bed 486 222.9894592702 1.78874768517104e-66 19684 13865 5082168 9.55349213262199 8.69847108631911 10.4727598457706 1.1765649520105e-284
Coding_UCSC.bed 3257 2320.48713971226 1.5592773542687e-109 372057 13865 5082168 3.91200065822364 3.75995500796502 4.07013171419215 0
Conserved_LindbladToh.bed 4983 4121.80690176308 1.03235856016639e-68 489303 13865 5082168 5.30995554747516 5.1273539843791 5.49892863013397 0
CTCF_Hoffman.bed 3458 3541.58015519328 0.965677243570547 343418 13865 5082168 4.62149102493772 4.44511926618309 4.80421664057667 0
DHS_peaks_Trynka.bed 10788 9938.00745371394 1.10214937023197e-78 1369303 13865 5082168 9.57368903950437 9.19767060387246 9.97162664936764 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7492 6423.35613496924 1.05073057784657e-89 816867 13865 5082168 6.18595087933583 5.98029823152162 6.39730152308957 0
DN_all_peaks.overlap.Conserved.bed 1433 1059.52771952486 4.85300691907677e-35 121118 13865 5082168 4.76618291833117 4.50836113478994 5.03507495134179 0
DN_all_peaks.overlap.footprint.bed 924 844.167869861077 0.000934139629032003 61449 13865 5082168 5.90757124751311 5.51791030701459 6.32013287048579 0
DNaseI.bed 4719 4033.65997750582 1.43029124650799e-42 717469 13865 5082168 3.15301033139576 3.04351403798541 3.26623774530486 0
DN_footprint.hg19.bed 924 844.542144082537 0.000983586760417179 61557 13865 5082168 5.89692220085939 5.50728269165253 6.30864443936266 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 6035 5508.53911580264 1.24960101280371e-24 689837 13865 5082168 4.94217298155648 4.77770127502746 5.11247295473492 0
DN_merged_footprint.dnase2tf.bed 582 415.021304679248 1.44199253433918e-19 26467 13865 5082168 8.53512224498109 7.83583327748686 9.28429076810407 7.70470258368252e-315
DN_merged_footprint.dnase2tf.hg19.bed 1065 808.878453171239 1.90503626628774e-23 69559 13865 5082168 6.07344467812485 5.69736546372819 6.46907049599373 0
E081-DNase.macs2.narrowPeak.bed 26 13.9684334131126 0.00176742902297445 1521 13865 5082168 6.36728893122532 4.14407229090159 9.37128978566998 4.55983518866408e-13
E8_TCM_D_48h.bed 5914 4849.83589813719 6.06882900158999e-92 621142 13865 5082168 5.38376980301532 5.2041772245806 5.56895714805697 0
E8_TCM_T_48h.bed 5516 4420.51036092355 2.0895518021469e-100 557459 13865 5082168 5.40611308812239 5.22234245534799 5.59470859127318 0
Enhancer_Andersson.bed 1131 789.066017378 2.6879193054221e-37 75992 13865 5082168 5.92430844941129 5.56777691822509 6.29879907051455 0
Enhancer_Hoffman.bed 5922 4091.00163843689 1.05826325978012e-276 588800 13865 5082168 5.73733222706673 5.54539665755054 5.93433266284501 0
eQTL_0.05_FDR.bed 49 46.106508756389 0.347867358308275 1814 13865 5082168 10.181721671027 7.49778633733842 13.5266217888668 7.63360905323967e-32
eQTL_0.1_FDR.bed 58 60.2741163783851 0.639697677024229 2672 13865 5082168 8.14066178807395 6.16171902500221 10.5672703201988 2.04205340201753e-32
eur_ld_breakpoints.bed 13865 13864.9991515721 9.63085296723251 5082161 13865 5082168 Inf 0.00395006139383671 Inf 1
eur_ld_breakpoints_named.bed 13865 13864.9991515721 9.63085296723251 5082161 13865 5082168 Inf 0.00395006139383671 Inf 1
eur_ld_breakpoints_named_sorted.bed 13865 13864.9991515721 9.63085296723251 5082161 13865 5082168 Inf 0.00395006139383671 Inf 1
eur_ld_breakpoints_sorted.bed 13865 13864.9991515721 9.63085296723251 5082161 13865 5082168 Inf 0.00395006139383671 Inf 1
FAIRE.bed 2427 2234.42687866598 6.49359422922371e-07 190192 13865 5082168 5.51528543440212 5.27603411428732 5.76499306944909 0
fantomFetalBrainCage.gt10.bed 0 NA NA 117 13865 5082168 0 0 11.7123611608793 1
FetalDHS_Trynka.bed 9452 8458.93941468904 6.77270004880339e-86 1112980 13865 5082168 7.69529307965445 7.42242933718509 7.97930263435929 0
FOSL2.bed 842 779.538590925797 0.00803600899279552 80227 13865 5082168 4.06320704573688 3.78364360185757 4.3578956438401 7.53800734270527e-232
FOXO1_DeMayo.bed 1422 1041.90344122352 2.10504738339498e-36 113188 13865 5082168 5.06801078008514 4.79288654239507 5.35626804450439 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 7315 5957.18548856313 5.03188495906471e-146 703601 13865 5082168 7.0132407660586 6.77961684544688 7.25080049905818 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6898 6303.67124766194 7.02086744057667e-30 855709 13865 5082168 4.9219543735463 4.75916009960678 5.09020017582783 0
GA_all_peaks.overlap.Conserved.bed 1095 649.089559885602 3.25943708800982e-68 77153 13865 5082168 5.62822065549358 5.28494199796535 5.99056993690968 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 6316 5822.39084666113 7.46102392397719e-22 763477 13865 5082168 4.76403074461258 4.60604836725913 4.92671058437037 0
GA_merged_footprint.dnase2tf.hg19.bed 1454 1203.03269273387 1.2301379228147e-16 107940 13865 5082168 5.45957295679031 5.16512087295209 5.76694847784783 0
