Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2270 1984.8486649145 2.02431389012788e-14 171270 12388 4452248 5.66957763215003 5.41441656673665 5.93490598403342 0
1_GATA2-Interval-Track.bed 2270 1984.8486649145 2.02431389012788e-14 171270 12388 4452248 5.66957763215003 5.41441656673665 5.93490598403342 0
adult_peaks.bed 6 4.2578399433296 0.254278144708232 515 12388 4452248 4.22633783599564 1.54339727631149 9.26575706270786 0.00351906069725494
All_peaks.merged5.hg19.bed 9535 9026.83363147576 6.19179928187756e-34 1161338 12388 4452248 9.54008473991836 9.14592030060432 9.95385841740364 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 9535 9026.83363147576 6.19179928187756e-34 1161338 12388 4452248 9.54008473991836 9.14592030060432 9.95385841740364 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4159 3783.58125862506 1.31687321762531e-15 378383 12388 4452248 5.49080662162553 5.28785721279193 5.70064314297383 0
CN_all_peaks.overlap.Conserved.bed 969 672.211741958975 7.67566617707032e-35 54545 12388 4452248 6.94657217430297 6.49486772235469 7.42233041545402 0
CN_all_peaks.overlap.footprint.bed 613 606.607512756561 0.393906753170926 36407 12388 4452248 6.40525532815825 5.89242884938475 6.95223010076757 9.2946976008115e-266
CN_footprint.hg19.bed 613 606.804382356037 0.397315780552949 36441 12388 4452248 6.39912650305729 5.88677545691977 6.94574604990031 1.51182709757112e-265
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 3714 3116.87049795132 1.64715111906825e-40 312204 12388 4452248 5.73378602884024 5.5160525748761 5.96010306997131 0
CN_merged_footprint.dnase2tf.bed 420 305.567981450109 1.82649850573312e-13 5600 12388 4452248 30.0466710594835 27.0950926332905 33.2361823071614 0
CN_merged_footprint.dnase2tf.hg19.bed 433 227.484634024944 5.95020200629379e-41 13577 12388 4452248 12.1978748316043 11.0395385818045 13.4477948533452 1.00756279854603e-294
Coding_UCSC.bed 3489 2404.13800852635 5.42865206126938e-153 277198 12388 4452248 5.96767895668559 5.73580312245562 6.20813579588014 0
Conserved_LindbladToh.bed 4733 4227.53019756861 4.81656561070219e-30 357190 12388 4452248 7.1702195480241 6.91370087067147 7.43770241175523 0
CTCF_Hoffman.bed 3712 3543.20279017861 5.9849700589884e-05 247092 12388 4452248 7.37869818181066 7.0940138199861 7.66725875318098 0
DHS_peaks_Trynka.bed 9621 9038.42219952493 4.32319329880725e-46 1008090 12388 4452248 11.9830715734204 11.4834915091592 12.5109103841009 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6342 5535.3052843534 1.40333690708432e-58 594682 12388 4452248 6.86813162708217 6.62630208655522 7.11374875784841 0
DN_all_peaks.overlap.Conserved.bed 1286 1017.91351440262 2.69733048118414e-21 86965 12388 4452248 5.88665699429257 5.55041480852216 6.24075687613707 0
DN_all_peaks.overlap.footprint.bed 951 904.264499695128 0.0378183080547569 44392 12388 4452248 8.41715734232702 7.86327648126834 8.99604467926528 0
DNaseI.bed 5413 4215.86458392607 4.18382962254074e-137 553466 12388 4452248 5.51092778555987 5.3171869327217 5.71174153639733 0
DN_footprint.hg19.bed 951 904.502066262294 0.0385931383206644 44450 12388 4452248 8.40548248523787 7.85271623832514 8.98551486803708 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 5338 4946.45850707795 2.63479307488068e-15 498651 12388 4452248 6.05800845905795 5.84342241030519 6.27841550932073 0
DN_merged_footprint.dnase2tf.bed 705 587.288475250573 1.31324096878605e-08 19406 12388 4452248 14.2685818019187 13.1835685157929 15.4180023847491 0
DN_merged_footprint.dnase2tf.hg19.bed 1140 814.055722997111 1.84914713314185e-35 49954 12388 4452248 9.11644274592114 8.56546937064167 9.69555984968455 0
E081-DNase.macs2.narrowPeak.bed 34 10.1219729646374 5.82376582434267e-10 1114 12388 4452248 11.3110554632721 7.78799441301693 15.9172542298157 5.35977689941717e-24
E8_TCM_D_48h.bed 6075 5018.72565818647 7.35452065632644e-110 451063 12388 4452248 8.64000525790154 8.33734620752447 8.95238024131213 0
E8_TCM_T_48h.bed 5491 4515.39356972004 6.59543447297113e-95 404571 12388 4452248 8.06113509389083 7.77883906282354 8.35283913192402 0
Enhancer_Andersson.bed 1006 928.179359726874 0.00205652599522123 54768 12388 4452248 7.21213120622426 6.74984253044651 7.69591654861542 0
Enhancer_Hoffman.bed 5461 4084.26534104719 2.91352068878655e-183 436653 12388 4452248 7.32829072790397 7.07045947054174 7.59424928433931 0
eQTL_0.05_FDR.bed 18 73.3464918238179 1 1622 12388 4452248 4.02632769744047 2.37931959774694 6.38661530648881 1.26989265181621e-06
