Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 1751 1506.74847444678 4.15291319900541e-13 142440 10357 3035826 4.17200106426108 3.95994431070618 4.39333219272544 0
1_GATA2-Interval-Track.bed 1751 1506.74847444678 4.15291319900541e-13 142440 10357 3035826 4.17200106426108 3.95994431070618 4.39333219272544 0
adult_peaks.bed 0 NA NA 412 10357 3035826 0 0 2.62735699463701 0.654952811616695
All_peaks.merged5.hg19.bed 7563 7308.4600312335 4.26978367615932e-10 908458 10357 3035826 6.38326304940592 6.11096186706749 6.66942432820374 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 7563 7308.4600312335 4.26978367615932e-10 908458 10357 3035826 6.38326304940592 6.11096186706749 6.66942432820374 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 3150 3104.36210421618 0.148945193368837 310177 10357 3035826 3.86958338908267 3.7095274280656 4.0365517033824 0
CN_all_peaks.overlap.Conserved.bed 484 402.669195910288 1.78336636605244e-05 44290 10357 3035826 3.33670331815749 3.03800405178866 3.65771371140897 2.29925441979663e-105
CN_all_peaks.overlap.footprint.bed 436 400.429860380789 0.031810382025142 31448 10357 3035826 4.24344985246549 3.84368953518605 4.67449118570151 3.96520148645388e-128
CN_footprint.hg19.bed 437 400.63815061648 0.0290103707829047 31493 10357 3035826 4.24752261190388 3.84857429560623 4.67829343659879 1.50682694729583e-128
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 2619 2461.36838343444 5.93374459047641e-05 254000 10357 3035826 3.73492740460575 3.57103695072753 3.90511762315868 0
CN_merged_footprint.dnase2tf.bed 161 140.209117667865 0.00760593298211641 4477 10357 3035826 11.0545046906226 9.37397834547319 12.9523904653874 4.56214774210482e-105
CN_merged_footprint.dnase2tf.hg19.bed 133 116.02939606239 0.0574230067712868 11191 10357 3035826 3.54576881987448 2.96278523813646 4.21238635108633 2.57632564668034e-33
Coding_UCSC.bed 2838 1724.06222897633 5.30177006277677e-202 219266 10357 3035826 4.89887906337987 4.68883947184285 5.11636669318011 0
Conserved_LindbladToh.bed 3517 2834.27467578528 1.21055436189788e-59 291478 10357 3035826 4.88812062944505 4.69091504106302 5.09283817999866 0
CTCF_Hoffman.bed 2837 2479.39939686573 4.62674419896689e-20 204214 10357 3035826 5.2906398192432 5.06381421306817 5.52666545992569 0
DHS_peaks_Trynka.bed 7935 7298.76425884524 4.33832191924613e-58 808860 10357 3035826 9.09899562221818 8.69073848452168 9.52577475244816 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4595 4394.44832809862 7.98209402933166e-06 480620 10357 3035826 4.27109006841533 4.1074857539967 4.44123723934899 0
DN_all_peaks.overlap.Conserved.bed 664 671.249098476778 0.62410593028538 71848 10357 3035826 2.84298811449664 2.62305985853131 3.07703130367164 3.70586398328203e-112
DN_all_peaks.overlap.footprint.bed 387 499.540592283629 0.99999999500776 37374 10357 3035826 3.13624178194592 2.82475028228261 3.47361350975885 5.43752659305336e-78
DNaseI.bed 3864 3002.85888309378 2.37100062633723e-86 413353 10357 3035826 3.8013994239061 3.65160085108946 3.9569919484355 0
DN_footprint.hg19.bed 387 499.777635368654 0.999999995320172 37423 10357 3035826 3.13204028858138 2.82097226970342 3.46877671396252 7.69395411423139e-78
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 3781 3858.23748958551 0.956205599552791 407653 10357 3035826 3.73189572986278 3.58452064289907 3.88598407973765 0
DN_merged_footprint.dnase2tf.bed 284 279.492002589304 0.387853131880693 16516 10357 3035826 5.22762967595354 4.62479106480639 5.88875943325276 1.13680108777034e-104
DN_merged_footprint.dnase2tf.hg19.bed 479 509.099351126488 0.931732741469262 41840 10357 3035826 3.49852253081328 3.18357264069057 3.83720033301 3.74479019596919e-111
