Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2981 2379.40545261491 1.60489275366769e-48 135913 14261 2767840 5.21062980671715 4.99985217234972 5.42692163565731 0
1_GATA2-Interval-Track.bed 2981 2379.40545261491 1.60489275366769e-48 135913 14261 2767840 5.21062980671715 4.99985217234972 5.42692163565731 0
adult_peaks.bed 12 5.26315308740694 0.00636156883673418 425 14261 2767840 5.61398560816386 2.87663924104335 9.9158435928583 3.05763937574645e-06
All_peaks.merged5.hg19.bed 11252 10784.4318675391 3.17004054882323e-27 852763 14261 2767840 8.4966315882087 8.15889824152048 8.84788486871381 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 11252 10784.4318675391 3.17004054882323e-27 852763 14261 2767840 8.4966315882087 8.15889824152048 8.84788486871381 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4956 4712.67463040454 8.95770613926073e-07 295441 14261 2767840 4.51639074058022 4.36141116435067 4.67623076898269 0
CN_all_peaks.overlap.Conserved.bed 854 773.88154813565 0.000837548173571798 42507 14261 2767840 4.14687095388217 3.86269939903404 4.44767157474556 7.85620083664186e-240
CN_all_peaks.overlap.footprint.bed 911 829.963234909131 0.000622275759694317 30842 14261 2767840 6.20955490767505 5.79433974714115 6.64721440860587 0
CN_footprint.hg19.bed 911 830.172708309568 0.000641650771436066 30870 14261 2767840 6.20368774553529 5.7883722982405 6.64092436386825 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4160 3850.13966226736 7.88403696941214e-11 241711 14261 2767840 4.36221369748264 4.20532747742395 4.52390257117455 0
CN_merged_footprint.dnase2tf.bed 476 425.186426078434 0.00145497182930986 5167 14261 2767840 20.2429191730226 18.3542102002217 22.2861750551676 0
CN_merged_footprint.dnase2tf.hg19.bed 335 264.583200440016 2.89414126132304e-06 10818 14261 2767840 6.29457065065853 5.62196359593767 7.027255619242 9.67183704446083e-145
Coding_UCSC.bed 3776 2704.41854371361 5.909575081976e-135 204283 14261 2767840 4.58564596073905 4.41572302470457 4.76136445041355 0
Conserved_LindbladToh.bed 5661 5219.43814586739 3.21563162769819e-21 278829 14261 2767840 5.97705996788134 5.77713019491616 6.18397420100945 0
CTCF_Hoffman.bed 4962 4589.46990043102 4.65646606787603e-15 198090 14261 2767840 7.07444782418587 6.8301490201159 7.32613099758872 0
DHS_peaks_Trynka.bed 11439 10939.5271980316 5.73168034368e-33 764515 14261 2767840 10.7676969895224 10.3334307066797 11.2219578011453 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6874 6400.74019600816 4.20065019918798e-20 454869 14261 2767840 4.7892166712508 4.63302342994394 4.95033895656503 0
DN_all_peaks.overlap.Conserved.bed 1169 1173.98808905933 0.570829177133596 68971 14261 2767840 3.53698533587988 3.32720681655581 3.75733929272973 2.25120073074051e-266
DN_all_peaks.overlap.footprint.bed 1371 1175.63967891756 1.45499824228694e-11 37408 14261 2767840 8.02080695397561 7.57346218465681 8.48871285428661 0
