Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3144 2229.49664288859 1.04951107365715e-104 234481 14378 4722918 5.41638530246418 5.20363514591684 5.63660013120296 0
1_GATA2-Interval-Track.bed 3144 2229.49664288859 1.04951107365715e-104 234481 14378 4722918 5.41638530246418 5.20363514591684 5.63660013120296 0
adult_peaks.bed 0 NA NA 669 14378 4722918 0 0 1.81070592211842 0.279308118297463
All_peaks.merged5.hg19.bed 11501 10554.6797286117 6.96916999943668e-92 1500939 14378 4722918 8.63984327641489 8.29235292142234 9.00125985327184 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 11501 10554.6797286117 6.96916999943668e-92 1500939 14378 4722918 8.63984327641489 8.29235292142234 9.00125985327184 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 5860 4900.07056127367 1.98846501158638e-74 518963 14378 4722918 5.62513235845025 5.43956394820173 5.81717957001844 0
CN_all_peaks.overlap.Conserved.bed 1186 741.018806139661 1.44181294658434e-64 75517 14378 4722918 5.60501648843493 5.27444134825642 5.95187552846657 0
CN_all_peaks.overlap.footprint.bed 806 725.51333231477 0.000494517395555691 52286 14378 4722918 5.37302182955919 4.99537091751816 5.77105517302152 1.29221404994855e-297
CN_footprint.hg19.bed 806 725.954350556945 0.000528795536639479 52365 14378 4722918 5.36469949986779 4.98659625119643 5.76207465122973 3.50137702187123e-297
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4901 3842.99596446633 1.13040542241857e-98 432070 14378 4722918 5.18319089316789 5.00595296603521 5.36575924670214 0
CN_merged_footprint.dnase2tf.bed 141 115.456645212791 0.00763567146737327 7436 14378 4722918 6.38236187645214 5.3594388290611 7.54659911940603 2.3710152693185e-63
CN_merged_footprint.dnase2tf.hg19.bed 373 180.040488752371 6.95457068340927e-41 19399 14378 4722918 6.56449904831686 5.90108755558433 7.28300773638315 3.57062716999176e-167
Coding_UCSC.bed 3967 2592.81915009131 2.04864901976648e-209 366869 14378 4722918 4.56288922843395 4.39683998131758 4.73391430027304 0
Conserved_LindbladToh.bed 5418 4443.85757466636 1.28057163228412e-82 486321 14378 4722918 5.31584015426754 5.13811772491223 5.49985162564704 0
CTCF_Hoffman.bed 4312 3793.35789312434 7.30086581801389e-28 342157 14378 4722918 5.54177445169457 5.34574827416976 5.74555873674015 0
DHS_peaks_Trynka.bed 11686 10497.4657583852 2.0193134332593e-149 1337693 14378 4722918 11.0734286983553 10.6150591862446 11.5559984202986 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7872 6637.44514384147 6.45721317520432e-112 801482 14378 4722918 5.96886252178259 5.7739697365007 6.17044676173176 0
DN_all_peaks.overlap.Conserved.bed 1394 1134.60785061068 4.25283661036524e-18 120834 14378 4722918 4.12508137872588 3.89963952776738 4.36127586412881 0
DN_all_peaks.overlap.footprint.bed 834 784.486988008522 0.027927496315349 63089 14378 4722918 4.59604453065492 4.27811042623946 4.93133243984034 2.17993790326757e-263
DNaseI.bed 5351 4231.29354305877 3.36767953102459e-102 689253 14378 4722918 3.48840807848054 3.37159301589747 3.60915205970526 0
