Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3502 2610.32831660241 1.16510414239815e-84 211978 17492 4541824 5.18260599516498 4.99099921635012 5.37982987946543 0
1_GATA2-Interval-Track.bed 3502 2610.32831660241 1.16510414239815e-84 211978 17492 4541824 5.18260599516498 4.99099921635012 5.37982987946543 0
adult_peaks.bed 18 12.423719027412 0.0668182245686873 647 17492 4541824 7.408734070987 4.360942618687 11.8112385262617 1.69567250348049e-10
All_peaks.merged5.hg19.bed 13243 12548.7180457454 4.35762428611557e-40 1363471 17492 4541824 7.32658836599333 7.07568749166713 7.58500962584938 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 13243 12548.7180457454 4.35762428611557e-40 1363471 17492 4541824 7.32658836599333 7.07568749166713 7.58500962584938 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6086 5593.02005883485 4.57909001730625e-19 466234 17492 4541824 4.71286449963802 4.56685571550401 4.86226238398371 0
CN_all_peaks.overlap.Conserved.bed 1538 894.693171693307 9.46177824362372e-107 68154 17492 4541824 6.45081309840867 6.11470183444381 6.80170443212986 0
CN_all_peaks.overlap.footprint.bed 521 733.780364609069 1 46816 17492 4541824 2.96944225734832 2.71506182849205 3.2419332392666 1.92372542351308e-96
CN_footprint.hg19.bed 521 734.305038254375 1 46877 17492 4541824 2.96549456820284 2.71145217920309 3.23751262573206 3.0234306016812e-96
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 5208 4457.21806539713 6.87958787028799e-44 383454 17492 4541824 4.64730323262848 4.49749161854847 4.8017299625461 0
CN_merged_footprint.dnase2tf.bed 169 138.023034411207 0.00351601846449477 6831 17492 4541824 6.61559975978051 5.6400198857897 7.71341292229553 1.28505410493791e-77
CN_merged_footprint.dnase2tf.hg19.bed 243 205.858536234388 0.00484247038472077 16801 17492 4541824 3.8352922222698 3.36220544145226 4.35785677693324 3.3178455189992e-65
Coding_UCSC.bed 4551 3113.86838459015 2.77964740784725e-194 332893 17492 4541824 4.49420936116152 4.34319106023684 4.64947145574611 0
Conserved_LindbladToh.bed 6807 5167.01562302325 5.86487472525892e-186 439495 17492 4541824 6.02377810380009 5.84151469938099 6.21161255994758 0
CTCF_Hoffman.bed 4369 4340.4210291513 0.296234094739184 307130 17492 4541824 4.64220408824529 4.48413213294921 4.80464809565336 0
DHS_peaks_Trynka.bed 13694 12534.9757974267 3.93115097133749e-112 1212883 17492 4541824 9.99724983477705 9.64047343737401 10.3660306910621 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8768 7787.1735858657 2.34652637135232e-59 721756 17492 4541824 5.37265052094654 5.21440973879595 5.53512584922075 0
DN_all_peaks.overlap.Conserved.bed 1948 1346.59259055205 2.02505896406734e-67 108738 17492 4541824 5.18402326764772 4.94180561243775 5.43669799609818 0
DN_all_peaks.overlap.footprint.bed 807 922.13436351969 0.999988831183173 56784 17492 4541824 3.86091407811637 3.59132294813787 4.14590876347898 2.74035323803694e-210
DNaseI.bed 6421 5184.28118445009 1.74865149188244e-102 631801 17492 4541824 3.61601316196731 3.50558872791664 3.72987468145394 0
DN_footprint.hg19.bed 807 922.692265532546 0.999989760707248 56865 17492 4541824 3.85526880140532 3.58598104762357 4.13992046220437 6.45767236776451e-210
