Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3006 2221.89583669445 2.66027324061091e-78 201529 14615 4585872 5.7033864575191 5.47607016216626 5.93825677196286 0
1_GATA2-Interval-Track.bed 3006 2221.89583669445 2.66027324061091e-78 201529 14615 4585872 5.7033864575191 5.47607016216626 5.93825677196286 0
adult_peaks.bed 0 NA NA 590 14615 4585872 0 0 1.96174643003869 0.273702852267327
All_peaks.merged5.hg19.bed 11413 10485.227441666 5.08951010329748e-85 1313255 14615 4585872 8.95120374501845 8.60554899637976 9.31443945386905 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 11413 10485.227441666 5.08951010329748e-85 1313255 14615 4585872 8.95120374501845 8.60554899637976 9.31443945386905 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 5574 4699.55354095234 1.41884731646932e-62 441472 14615 4585872 5.8489071159812 5.65528052909047 6.04823004985284 0
CN_all_peaks.overlap.Conserved.bed 1238 792.402889834956 5.3096381495828e-64 64322 14615 4585872 6.6136048811309 6.23070438529791 7.01272421346584 0
CN_all_peaks.overlap.footprint.bed 600 612.742186375174 0.719703056860255 44178 14615 4585872 4.4481576033958 4.08952066105618 4.82976253442779 5.92740065920642e-185
CN_footprint.hg19.bed 600 613.349952044818 0.728650567489451 44240 14615 4585872 4.44176545295029 4.08388751657241 4.82284372723767 1.14225726212774e-184
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4494 3688.05526171293 5.66381673483891e-60 362886 14615 4585872 5.22032532257979 5.03729213163271 5.40743615092773 0
CN_merged_footprint.dnase2tf.bed 98 111.560688751869 0.922674181708097 6352 14615 4585872 4.92783917090698 3.99153084712151 6.01939323595066 1.13099543404608e-35
CN_merged_footprint.dnase2tf.hg19.bed 211 159.705522983557 2.88754599034689e-05 15578 14615 4585872 4.34307597472128 3.76959033627235 4.98087417730432 1.92857733615919e-65
Coding_UCSC.bed 3532 2486.0528429646 3.25419142767219e-130 315227 14615 4585872 4.3552050372548 4.19136393981598 4.52435886308823 0
Conserved_LindbladToh.bed 5733 4378.2428773309 3.94793382470033e-154 416948 14615 4585872 6.52945192127048 6.3139135414619 6.7512667209168 0
CTCF_Hoffman.bed 3721 3583.63695011552 0.00214675618583907 290388 14615 4585872 5.10456620724887 4.91637395274427 5.30012508106598 0
DHS_peaks_Trynka.bed 11545 10423.2794441321 8.82939668686096e-128 1158071 14615 4585872 11.2326026190522 10.793485955678 11.6969804485739 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7635 6553.53318974051 3.75792518268131e-86 687590 14615 4585872 6.25992914113959 6.05753620250662 6.46800038731528 0
DN_all_peaks.overlap.Conserved.bed 1758 1226.31156382555 2.39168273660338e-61 102978 14615 4585872 6.03838991133116 5.73982653236412 6.35119443647577 0
DN_all_peaks.overlap.footprint.bed 954 814.46209289914 7.78439489443401e-08 53877 14615 4585872 5.96202814515286 5.57483781982403 6.36951248972527 0
DNaseI.bed 5177 4165.73878198204 2.88573696898377e-84 611840 14615 4585872 3.58480110920344 3.4641917300496 3.70904587695873 0
DN_footprint.hg19.bed 954 814.858016989278 8.48591063528725e-08 53949 14615 4585872 5.95383366350359 5.56724103134552 6.36112121823307 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 6680 5758.01435768488 1.25967786288545e-64 580900 14615 4585872 5.85989676453222 5.67043626458854 6.05553029136651 0
DN_merged_footprint.dnase2tf.bed 637 486.273203590079 6.98430706775725e-14 23354 14615 4585872 9.12534103999446 8.40609149087261 9.89216559032122 0
DN_merged_footprint.dnase2tf.hg19.bed 1096 801.132793994256 4.51352747313905e-29 59705 14615 4585872 6.24204876936546 5.86022354862193 6.64329374096393 0
E081-DNase.macs2.narrowPeak.bed 0 NA NA 1333 14615 4585872 0 0 0.866623769111421 0.0259978105789581
E8_TCM_D_48h.bed 6950 5108.70253165765 8.77257679648106e-252 521172 14615 4585872 7.15365843542118 6.92365185919652 7.39274080666337 0
E8_TCM_T_48h.bed 6471 4633.36812828402 1.57609966168281e-259 468180 14615 4585872 7.07199853733933 6.84179785068266 7.3100989664601 0
Enhancer_Andersson.bed 1539 927.690906616379 1.3233439815843e-97 65504 14615 4585872 8.29351266828344 7.85613179062795 8.74958831646757 0
Enhancer_Hoffman.bed 6547 4276.21519677357 0 494497 14615 4585872 6.79064356797152 6.57113986684711 7.01886579072005 0
eQTL_0.05_FDR.bed 122 52.2840302364763 2.57886112698012e-20 1696 14615 4585872 24.4458787515599 20.1400262196653 29.4171078253749 1.27367148504525e-118
