Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3995 2993.70018473384 1.60066477891233e-100 244001 17619 4931767 5.71073978311886 5.51059593508886 5.91738381187967 0
1_GATA2-Interval-Track.bed 3995 2993.70018473384 1.60066477891233e-100 244001 17619 4931767 5.71073978311886 5.51059593508886 5.91738381187967 0
adult_peaks.bed 1 5.69552384796013 0.996872710859282 673 17619 4931767 0.415015644798869 0.0104939714945741 2.32049245706069 0.738551076456261
All_peaks.merged5.hg19.bed 13825 13198.1366672991 3.14477349714539e-36 1566963 17619 4931767 7.88540622771759 7.60505648447536 8.17744871086792 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 13825 13198.1366672991 3.14477349714539e-36 1566963 17619 4931767 7.88540622771759 7.60505648447536 8.17744871086792 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6400 5778.27679817947 2.54615316567239e-28 536993 17619 4931767 4.71306568123285 4.56916749164431 4.86163759113667 0
CN_all_peaks.overlap.Conserved.bed 1552 1023.63329480027 1.04719805477438e-67 78323 17619 4931767 6.08646389963356 5.77072041832097 6.4163104016821 0
CN_all_peaks.overlap.footprint.bed 1214 939.567659815898 2.74384146680082e-23 53573 17619 4931767 6.8707649571361 6.47264105959851 7.28971824692341 0
CN_footprint.hg19.bed 1214 940.056113286059 3.30177598935039e-23 53643 17619 4931767 6.86153157985536 6.46352988423732 7.27923694249913 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 5623 4776.55959241337 9.08013752750611e-54 447707 17619 4931767 4.74176998773358 4.59276134356837 4.89527477092757 0
CN_merged_footprint.dnase2tf.bed 599 432.892527156596 1.8012358750776e-22 8057 17619 4931767 23.1675445409712 21.2316959848363 25.2086894353992 0
CN_merged_footprint.dnase2tf.hg19.bed 587 373.790744064439 2.5835269448698e-33 20422 17619 4931767 8.50416563877261 7.81014932299128 9.24470032110978 6.4159275837128e-317
