Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2631 2379.90427431861 1.36380911012948e-09 194512 15313 4429203 4.56438704080084 4.37420050118377 4.76277339743794 0
1_GATA2-Interval-Track.bed 2631 2379.90427431861 1.36380911012948e-09 194512 15313 4429203 4.56438704080084 4.37420050118377 4.76277339743794 0
adult_peaks.bed 0 NA NA 566 15313 4429203 0 0 1.88474827656009 0.275650317994296
All_peaks.merged5.hg19.bed 12078 11481.8518637936 8.99307049221158e-38 1277288 15313 4429203 9.29130028987062 8.93723407286145 9.66506826909782 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 12078 11481.8518637936 8.99307049221158e-38 1277288 15313 4429203 9.29130028987062 8.93723407286145 9.66506826909782 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 5202 4948.80871247882 1.19949837061733e-06 430738 15313 4429203 4.82213538664294 4.66239953955373 4.98803089477362 0
CN_all_peaks.overlap.Conserved.bed 1228 857.010658134652 4.54577358358525e-41 62381 15313 4429203 6.20555531341291 5.84642601687867 6.58270227021902 0
CN_all_peaks.overlap.footprint.bed 1188 897.714977806927 6.40342631530435e-28 43542 15313 4429203 8.68015964973221 8.16971426063512 9.2173694904167 0
CN_footprint.hg19.bed 1188 898.393910292648 8.64449278525738e-28 43596 15313 4429203 8.66917562806055 8.15922214811788 9.2062643061364 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4587 4143.26488310904 1.90288464332576e-19 356598 15313 4429203 4.93471552233057 4.76491247895893 5.11001308341761 0
CN_merged_footprint.dnase2tf.bed 436 364.869021071564 1.43090128627438e-05 6467 15313 4429203 21.4122182072538 19.3758736592246 23.656356862547 0
CN_merged_footprint.dnase2tf.hg19.bed 438 285.020069490032 4.95764928693975e-21 15902 15313 4429203 8.37619813607685 7.58804981356018 9.22342712079968 6.14484232075188e-235
Coding_UCSC.bed 4445 3141.2168945657 2.08669126231129e-169 310238 15313 4429203 5.49449316096665 5.30334552147473 5.69116561876785 0
Conserved_LindbladToh.bed 6330 5502.28745379937 1.30983081103348e-59 406635 15313 4429203 7.06388474405902 6.83812425660884 7.29715256095469 0
CTCF_Hoffman.bed 4950 4594.73176767894 5.10721535602249e-13 283697 15313 4429203 7.08609407354071 6.84839693594106 7.33335344152882 0
DHS_peaks_Trynka.bed 11905 11491.3711448759 1.46717062859378e-20 1127409 15313 4429203 10.3284430414036 9.94259409054463 10.731844574229 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7932 7025.34944147098 3.5868547474002e-58 670145 15313 4429203 6.08831297819541 5.89778766596139 6.28502335401743 0
DN_all_peaks.overlap.Conserved.bed 1601 1282.08423012255 2.97024612319458e-23 100089 15313 4429203 5.11588661963137 4.85363273807227 5.39113781918557 0
DN_all_peaks.overlap.footprint.bed 1228 1151.57786231147 0.00485339084949031 51760 15313 4429203 7.52887166462765 7.0905420246706 7.98612942949709 0
DNaseI.bed 6572 5208.34586504265 1.46746028561348e-140 594890 15313 4429203 4.88915937080804 4.73433745028961 5.04940958945229 0
DN_footprint.hg19.bed 1228 1152.13382643954 0.0051344609182908 51820 15313 4429203 7.51985630448601 7.08365565054458 7.97653830974232 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 6961 6457.89441594007 1.48652792593259e-20 567200 15313 4429203 5.73299271677093 5.55133050742506 5.92047219209552 0
