Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2270 1865.2219881102 2.01893188679706e-29 139625 11405 3029710 5.21215491418137 4.97417150860868 5.45954706338152 0
1_GATA2-Interval-Track.bed 2270 1865.2219881102 2.01893188679706e-29 139625 11405 3029710 5.21215491418137 4.97417150860868 5.45954706338152 0
adult_peaks.bed 0 NA NA 375 11405 3029710 0 0 2.61628130200973 0.412116782003276
All_peaks.merged5.hg19.bed 9202 8521.9768740917 1.89350133105853e-66 902623 11405 3029710 9.93440297448563 9.48031211606629 10.4149442033677 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 9202 8521.9768740917 1.89350133105853e-66 902623 11405 3029710 9.93440297448563 9.48031211606629 10.4149442033677 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4079 3646.89498080966 1.17726210355446e-22 304581 11405 3029710 5.035702200224 4.84445261610434 5.23385101541122 0
CN_all_peaks.overlap.Conserved.bed 978 636.336290780234 7.4176730792647e-46 44331 11405 3029710 6.4362629842322 6.01848287473713 6.87676336899806 0
CN_all_peaks.overlap.footprint.bed 782 697.376682474313 0.000105674762647889 30435 11405 3029710 7.42002041860511 6.88434731031826 7.98480965655653 0
CN_footprint.hg19.bed 782 697.672007562013 0.000111533815203047 30474 11405 3029710 7.41019814285436 6.87602924011359 7.97566661147311 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 3571 3025.77977574231 7.5521152741257e-37 251480 11405 3029710 5.09396131313719 4.89359365610184 5.30184018559694 0
CN_merged_footprint.dnase2tf.bed 367 302.198081738939 1.690582887879e-05 4725 11405 3029710 23.0085706042959 20.5850937603989 25.6313354141773 0
CN_merged_footprint.dnase2tf.hg19.bed 408 211.631803889063 5.51681167808574e-40 11163 11405 3029710 10.375930321062 9.36061978136155 11.475888556996 1.92523256032722e-251
Coding_UCSC.bed 3022 2301.03159980697 9.14290976660388e-75 218484 11405 3029710 4.68947647454829 4.49595503683324 4.89027666642306 0
Conserved_LindbladToh.bed 4872 4173.66583056719 1.08113271704803e-59 288834 11405 3029710 7.18000001122112 6.91723187931707 7.45376472717462 0
CTCF_Hoffman.bed 3483 3529.35666430436 0.868800569528059 199459 11405 3029710 6.33174162041606 6.08139238336613 6.5923179516392 0
DHS_peaks_Trynka.bed 9183 8503.6748552412 4.43360959859317e-70 798350 11405 3029710 11.6734541233707 11.1447916374626 12.2315004468254 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6008 5179.63494280975 2.50794812253671e-66 473750 11405 3029710 6.0702875339441 5.84906035393579 6.30071033525876 0
DN_all_peaks.overlap.Conserved.bed 1316 936.013641631571 5.14752678123912e-41 71298 11405 3029710 5.49446549911787 5.18158454439514 5.82296503280361 0
DN_all_peaks.overlap.footprint.bed 888 885.770481028646 0.471009993544507 36669 11405 3029710 7.03679600483586 6.56019472887772 7.54383300259761 0
DNaseI.bed 4898 3859.20009297877 2.59540913883422e-115 413285 11405 3029710 4.8107030233591 4.63387702777027 4.99397385808679 0
DN_footprint.hg19.bed 888 886.043439921705 0.475318773160794 36726 11405 3029710 7.02551259083957 6.54922898085031 7.53168645136933 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 5226 4675.94614988561 9.55064543555859e-32 400739 11405 3029710 5.60862747643051 5.40397677143236 5.82140596417055 0
DN_merged_footprint.dnase2tf.bed 649 558.861753000363 5.40805669082269e-06 16209 11405 3029710 11.6438658420751 10.723292640317 12.6262735534654 0
