Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2776 1896.51269986201 4.09343476391958e-110 163090 12522 3857072 6.54626762894195 6.27165262206617 6.83012496873156 0
1_GATA2-Interval-Track.bed 2776 1896.51269986201 4.09343476391958e-110 163090 12522 3857072 6.54626762894195 6.27165262206617 6.83012496873156 0
adult_peaks.bed 0 NA NA 490 12522 3857072 0 0 2.32021638652581 0.417302649240643
All_peaks.merged5.hg19.bed 9720 8927.73664130015 2.17311544693977e-70 1073387 12522 3857072 9.06906384794561 8.69483396616412 9.46316208811811 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 9720 8927.73664130015 2.17311544693977e-70 1073387 12522 3857072 9.06906384794561 8.69483396616412 9.46316208811811 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4387 3965.67712336913 2.72405168709049e-19 359001 12522 3857072 5.30727457407577 5.11345284196994 5.50772772101726 0
CN_all_peaks.overlap.Conserved.bed 708 545.715604424004 4.96219258994628e-13 52748 12522 3857072 4.36743680959274 4.040635166953 4.71449799312124 4.39605571073464e-212
CN_all_peaks.overlap.footprint.bed 526 483.88141311663 0.0227482213337566 35465 12522 3857072 4.78091775572348 4.37014016762479 5.22100339283485 5.16076737693715e-175
CN_footprint.hg19.bed 526 484.417933174344 0.0242157031260123 35530 12522 3857072 4.77196608679709 4.36184391043107 5.21121340851275 1.11070850484855e-174
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 3635 3086.50119554807 6.23314261243133e-34 295596 12522 3857072 4.97701839439036 4.78650064242421 5.17444136143566 0
CN_merged_footprint.dnase2tf.bed 88 90.1878920947849 0.614079238273088 4986 12522 3857072 5.54800745611535 4.43818668820854 6.85515510685304 7.6298985065256e-36
CN_merged_footprint.dnase2tf.hg19.bed 202 127.333991476638 1.42124874232248e-10 12740 12522 3857072 5.01159970169161 4.33438183522026 5.76645369262449 1.94835365805e-72
Coding_UCSC.bed 3054 2013.75894808362 4.52311560337487e-150 264958 12522 3857072 4.41245145914812 4.23399663367676 4.59783757797176 0
Conserved_LindbladToh.bed 4110 3593.58437989726 1.21347071709066e-29 341768 12522 3857072 5.07444261040022 4.88621684789627 5.26870662908272 0
CTCF_Hoffman.bed 3048 2920.75804108586 0.00205419968775634 232441 12522 3857072 5.07085828708274 4.86468916831353 5.28269017759469 0
DHS_peaks_Trynka.bed 9851 8884.21067364082 8.52509791688074e-107 944685 12522 3857072 11.4788925321279 10.9971404528104 11.9886531912675 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6495 5522.54486310835 1.55732943272115e-80 558929 12522 3857072 6.4220395485237 6.19938689101292 6.65378060756252 0
DN_all_peaks.overlap.Conserved.bed 1094 921.439569295807 6.82823423822466e-10 84013 12522 3857072 4.34223908809074 4.07628212165976 4.62317517532099 7.85613783452166e-320
