Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 24012 18725.9145027372 0 575288 125587 8919803 3.53470235813155 3.48447164593982 3.58560305474001 0
1_GATA2-Interval-Track.bed 24012 18725.9145027372 0 575288 125587 8919803 3.53470235813155 3.48447164593982 3.58560305474001 0
adult_peaks.bed 50 55.7935353859556 0.808683197803805 1729 125587 8919803 2.08574844660621 1.5416557671326 2.76300512256261 3.25839363270323e-06
All_peaks.merged5.hg19.bed 94447 89428.7373751899 6.34209113070169e-276 3440185 125587 8919803 4.93913641314719 4.8752497903624 5.00365284887119 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 94447 89428.7373751899 6.34209113070169e-276 3440185 125587 8919803 4.93913641314719 4.8752497903624 5.00365284887119 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 43322 39864.4449961926 2.49082346158432e-115 1263218 125587 8919803 3.26976013852476 3.23140125433115 3.30840350361483 0
CN_all_peaks.overlap.Conserved.bed 8264 5849.86726165972 1.30011393753402e-235 176849 125587 8919803 3.60358250302773 3.52209861703609 3.68707203745046 0
CN_all_peaks.overlap.footprint.bed 6441 5791.87853408937 1.5479769714588e-22 139235 125587 8919803 3.52580356722753 3.43609661951672 3.61802172117106 0
CN_footprint.hg19.bed 6442 5796.39386054709 2.56085661740463e-22 139419 125587 8919803 3.52146615228212 3.43220429019271 3.61345241379961 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 36374 31580.460993679 2.41615988848425e-243 1032481 125587 8919803 3.19175657019141 3.15276038039318 3.23172541648096 0
CN_merged_footprint.dnase2tf.bed 1860 1390.98366799333 1.9420670400984e-45 21352 125587 8919803 6.76739769590633 6.44846622365396 7.09940434467504 0
CN_merged_footprint.dnase2tf.hg19.bed 2693 1716.08774063971 1.79192425403906e-125 46998 125587 8919803 4.32756110571975 4.15916054963872 4.50157011503335 0
Coding_UCSC.bed 29746 20756.4567129336 0 770004 125587 8919803 3.37677873841681 3.33207652547849 3.42187105057591 0
Conserved_LindbladToh.bed 42754 36675.3277344667 0 1135656 125587 8919803 3.63745171320709 3.59390045265195 3.68043698572708 0
CTCF_Hoffman.bed 33571 31385.1837487018 9.82328668414712e-57 878253 125587 8919803 3.43359240318447 3.38992307521014 3.47733661814015 0
DHS_peaks_Trynka.bed 95901 89102.5035001935 0 3151977 125587 8919803 6.06562020790551 5.98593250611549 6.14723746994387 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 61861 55291.0588551288 0 1901462 125587 8919803 3.66997895581173 3.62911823291547 3.71152192900187 0
DN_all_peaks.overlap.Conserved.bed 11364 9350.53528998582 6.82646435469268e-113 288698 125587 8919803 3.05528191051537 2.99565294843487 3.11595188109977 0
DN_all_peaks.overlap.footprint.bed 7704 7058.13664990603 2.60007215433917e-19 166580 125587 8919803 3.55186142961645 3.46853497272108 3.63681565535489 0
DNaseI.bed 45052 36519.2370958484 0 1495369 125587 8919803 2.83245354302951 2.79955253245387 2.86609163509515 0
DN_footprint.hg19.bed 7704 7061.5924200951 3.89826093987328e-19 166784 125587 8919803 3.54723592402582 3.46448457099033 3.63181452732032 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 52198 48545.6485200068 3.54053523808809e-118 1624655 125587 8919803 3.2665330229989 3.22962807961647 3.30430332551112 0
DN_merged_footprint.dnase2tf.bed 4547 3937.77322502393 2.35126841855628e-29 76752 125587 8919803 4.53795568486583 4.40141342666384 4.6785763802253 0
DN_merged_footprint.dnase2tf.hg19.bed 9084 6934.61657981723 6.63199667818395e-168 180360 125587 8919803 3.92557357111245 3.83984769762339 4.01241253514965 0
E081-DNase.macs2.narrowPeak.bed 218 112.731489138695 4.19697082594422e-21 3657 125587 8919803 4.44493878348743 3.85800864723553 5.09829213593609 3.12886776936769e-68
E8_TCM_D_48h.bed 55865 44105.5514596119 0 1453380 125587 8919803 4.2409225318911 4.19266695115267 4.2895079030621 0
E8_TCM_T_48h.bed 51625 39970.0564058932 0 1307190 125587 8919803 4.19121346194988 4.14372528557127 4.23884250432873 0
Enhancer_Andersson.bed 11582 7809.81651352227 0 198489 125587 8919803 4.67857946703273 4.58675657676356 4.77080628984482 0
Enhancer_Hoffman.bed 54139 37385.5002915487 0 1323110 125587 8919803 4.49379099749652 4.44317359773766 4.54465485789567 0
eQTL_0.05_FDR.bed 722 453.857836744361 1.67827162335373e-37 5974 125587 8919803 9.67648972873664 8.93641283404196 10.4634627655742 0
eQTL_0.1_FDR.bed 899 606.23862536869 7.08847782421023e-34 8961 125587 8919803 7.85794166074174 7.32305194670793 8.42116296851394 0
eur_ld_breakpoints.bed 125587 125586.955944591 1.76715131914629 8919780 125587 8919803 Inf 0.0821155441620323 Inf 1
eur_ld_breakpoints_named.bed 125587 125586.955944591 1.76715131914629 8919780 125587 8919803 Inf 0.0821155441620323 Inf 1
eur_ld_breakpoints_named_sorted.bed 125587 125586.955944591 1.76715131914629 8919780 125587 8919803 Inf 0.0821155441620323 Inf 1
eur_ld_breakpoints_sorted.bed 125587 125586.955944591 1.76715131914629 8919780 125587 8919803 Inf 0.0821155441620323 Inf 1
FAIRE.bed 20907 20073.6016743865 8.04250980791774e-13 508494 125587 8919803 3.40250077654501 3.35107941485693 3.45407236247213 0
fantomFetalBrainCage.gt10.bed 0 NA NA 208 125587 8919803 0 0 1.25299318723146 0.127844371550009
FetalDHS_Trynka.bed 83688 75783.4688480841 0 2589678 125587 8919803 5.01199180789148 4.95265916219199 5.07106488935518 0
FOSL2.bed 9716 7514.21305908294 2.84451190662379e-164 205135 125587 8919803 3.68993870089704 3.61181472697759 3.76848415005397 0
FOXO1_DeMayo.bed 12434 9420.68700099165 2.75767200046343e-242 279675 125587 8919803 3.50618801934467 3.44025785402 3.57327070688949 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 61393 51514.0950864247 0 1683847 125587 8919803 4.22744980542956 4.18021226614719 4.27566451589701 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 58503 55041.7077410903 4.60542831415852e-104 1950363 125587 8919803 3.1816936061834 3.14633757416256 3.21783657075709 0
GA_all_peaks.overlap.Conserved.bed 8595 5973.68486325078 1.10438810997279e-269 182433 125587 8919803 3.64345469154629 3.56156539875562 3.7260401404497 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 54053 50681.9580039018 2.83874849581788e-100 1759534 125587 8919803 3.14048631497852 3.10521848962335 3.17654075740969 0
GA_merged_footprint.dnase2tf.hg19.bed 11859 9509.60361034401 1.07965290495086e-151 271083 125587 8919803 3.43325872592873 3.36744727358614 3.50037720072625 0
GSM1820082_d27_fdr0.05.hot.bed 26559 20661.610057741 0 658123 125587 8919803 3.46629633401441 3.41852762074707 3.51417567136058 0
GSM1820085_d411_fdr0.05.hot.bed 11576 8026.42584658527 0 241726 125587 8919803 3.77837981227586 3.70504954150416 3.85253231405836 0
GSM1820087_d412_fdr0.05.hot.bed 17576 13694.4506132085 2.52920388258179e-290 432356 125587 8919803 3.28734739391701 3.23394129851599 3.34131109563003 0
H3K27ac.bed 13495 7123.10157480412 0 217800 125587 8919803 5.06179949272965 4.96933740492187 5.15618870830348 0
h3k27ac-final-C-48h.bed 44580 29875.9309299506 0 1291061 125587 8919803 3.33234740004672 3.29361529641599 3.37184286738966 0
h3k27ac-final-D-48h.bed 46070 31147.7304124249 0 1351979 125587 8919803 3.3222305006188 3.28371485816492 3.36079261723706 0
H3K27ac_Hnisz.bed 106640 90661.8736617083 0 5356459 125587 8919803 3.79991979810788 3.74146290731523 3.85920355969708 0
H3K27ac_PGC2.bed 105867 88505.6601379673 0 4585631 125587 8919803 5.17022995283689 5.09133989237892 5.25074730213436 0
H3K27me3.bed 1764 1959.1504292605 0.999998821879218 65800 125587 8919803 1.94221405898774 1.85077103894391 2.03702850515103 1.86465339730279e-135
h3k4me1-final-C-48h.bed 67298 47720.8401145382 0 2063392 125587 8919803 3.93255223070592 3.88857709949053 3.97621429949922 0
h3k4me1-final-D-48h.bed 66074 47015.1968100334 0 2026898 125587 8919803 3.86954412106773 3.82614735206124 3.91320012707037 0
H3K4me1_peaks_Trynka.bed 106798 96319.2513741045 0 4049895 125587 8919803 6.99254464658681 6.8841270699179 7.10439587820207 0
H3K4me3.bed 19288 11569.0206537193 0 436714 125587 8919803 3.6411520255528 3.5848306544288 3.69883703901595 0
h3k4me3-final-C-48h.bed 28810 17234.9867020018 0 692934 125587 8919803 3.6442844489575 3.59558758358489 3.69374778450941 0
h3k4me3-final-D-48h.bed 29466 17894.3421305184 0 735279 125587 8919803 3.5129695419131 3.4663619806255 3.55978342070793 0
H3K4me3_peaks_Trynka.bed 63603 50127.2008433341 0 1595570 125587 8919803 4.86435296693282 4.80991937131409 4.91956417801574 0
H3K9ac_peaks_Trynka.bed 62641 46316.3815216956 0 1550960 125587 8919803 4.88514245986466 4.83061301888705 4.93971896238853 0
hic_all_interacting_DT1_dTL4_D_48h.bed 50681 33141.9732883139 0 1118786 125587 8919803 4.89424412757723 4.83887577134612 4.95074779511463 0
hic_all_interacting_DT1_dTL4_D_48h_expanded.bed 73402 50339.8234177698 0 2313975 125587 8919803 4.11406990220317 4.06797752086455 4.16089251163527 0
hic_harmonizome_interacting_DT1_dTL4_D_48h.bed 8555 4765.82434755624 0 153404 125587 8919803 4.36488688959047 4.26710860656103 4.46477162808793 0
hic_human_gain_interacting_DT1_dTL4_D_48h.bed 2050 1200.70511879199 1.21264998428036e-123 39703 125587 8919803 3.85919601315058 3.68865292698002 4.03599699719595 0
Humanfrontcortex.bed 28264 21761.6642890026 0 662378 125587 8919803 3.7369983788119 3.68726652347449 3.78781285963613 0
in.sorted.bed 0 NA NA 4 125587 8919803 0 0 106.018249407954 1
Intron_UCSC.bed 91031 89625.6047483233 1.03316112831022e-69 6549173 125587 8919803 0.952891545066525 0.941080361886218 0.96488897561401 4.25079526053242e-14
ips_all_peaks.narrowPeak.cleaned.hg19.merged.bed 79336 69543.807371738 0 2463668 125587 8919803 4.61128626079224 4.55803469994158 4.66532308373893 0
ips_all_peaks.overlap.Conserved.bed 11214 7802.36826078199 0 233372 125587 8919803 3.78340791048752 3.70864319224241 3.8587925265023 0
ips_all_peaks.overlap.footprint.bed 16659 13292.5024806706 1.05114904015015e-236 337483 125587 8919803 4.03931098192445 3.97207368321364 4.10680478844533 0
ips_footprint.hg19.bed 34622 30484.7265587873 3.53545014574403e-205 764002 125587 8919803 4.20867484220194 4.15546915576777 4.26164530321465 0
ips_footprint.hg19.s+.bed 20923 18203.9305864634 1.94854498571752e-128 434782 125587 8919803 4.04809729415288 3.98711717845034 4.10966472919463 0
ips_footprint.hg19.s-.bed 21608 18928.099413446 3.67860988075806e-123 443268 125587 8919803 4.12642379112903 4.06446137207059 4.18922806620933 0
ips_merged_cutsite_peaks.narrowPeak.hg19.bed 67048 60271.1361290491 0 2028312 125587 8919803 3.99066058206206 3.9454216176212 4.03587706890701 0
IPS_merged_footprint.dnase2tf.bed 4798 3871.15815438748 5.98999258778113e-64 72584 125587 8919803 5.11316923574973 4.96265679087878 5.26919115751973 0
IPS_merged_footprint.dnase2tf.hg19.bed 4165 3072.44444902204 1.61946359555797e-99 70136 125587 8919803 4.53843901219015 4.39474179612851 4.68473425070675 0
Noonan_hNSC_50_peaks.bed 19669 15093.5115995331 0 422853 125587 8919803 3.86508063833179 3.80486448429804 3.92551075789719 0
Noonan_hNSC_P15-1_peaks.bed 13865 9481.88583019218 0 258410 125587 8919803 4.33869890110697 4.26078613657129 4.41833882661917 0
Noonan_hNSC_P5-1_peaks.bed 11766 8282.08453660236 0 223013 125587 8919803 4.20003939699217 4.11900369183532 4.28226020346313 0
Noonan_hNSC_P5-2_peaks.bed 12664 9496.81356200826 2.05137570448483e-273 250862 125587 8919803 4.02833196305501 3.95252511215853 4.10523045939538 0
Noonan_union.bed 36067 30886.2337837708 5.35085155104148e-274 1340251 125587 8919803 2.31384758287806 2.2853145687518 2.34269190153565 0
NR2F2.bed 8248 6143.380641693 5.71088568682874e-177 176737 125587 8919803 3.59821713851727 3.51691603524094 3.68183838142192 0
NSC_all_peaks.narrowPeak.cleaned.hg19.merged.bed 40089 35599.2431901586 1.02490996171218e-202 1127869 125587 8919803 3.32175524924042 3.28242192340292 3.36194092078113 0
NSC_all_peaks.overlap.Conserved.bed 7562 5143.56361781429 2.52988752070145e-263 156548 125587 8919803 3.71806419842739 3.63001886073818 3.8076690179266 0
NSC_all_peaks.overlap.footprint.bed 10888 7709.74228108199 9.88131291682493e-324 208692 125587 8919803 4.12544492887658 4.04257760294173 4.20932627072486 0
NSC_footprint.hg19.bed 57054 52691.0552838834 1.75493803205872e-186 1398295 125587 8919803 4.6262487769104 4.57397026493533 4.67884844068499 0
NSC_footprint.hg19.s+.bed 38734 34829.4773621707 1.64170091250437e-176 841478 125587 8919803 4.43989800802109 4.38539693426544 4.49411092421868 0
NSC_footprint.hg19.s-.bed 38664 35260.5121020965 1.72403021935962e-134 848629 125587 8919803 4.38489273626571 4.33134126805045 4.4387623910931 0
