Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 24019 18729.7535341433 0 576514 125736 8988920 3.55196296424261 3.50128933903292 3.60313875316762 0
1_GATA2-Interval-Track.bed 24019 18729.7535341433 0 576514 125736 8988920 3.55196296424261 3.50128933903292 3.60313875316762 0
adult_peaks.bed 50 55.8016717550784 0.808984244622421 1735 125736 8988920 2.09213965649991 1.54640140355909 2.77142601396834 3.06168435056005e-06
All_peaks.merged5.hg19.bed 94482 89459.5259663478 4.70093846484111e-276 3449379 125736 8988920 4.96339587784358 4.90004880332086 5.02763026554881 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 94482 89459.5259663478 4.70093846484111e-276 3449379 125736 8988920 4.96339587784358 4.90004880332086 5.02763026554881 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 43330 39873.3057907331 3.10007626775588e-115 1265678 125736 8988920 3.28683476447867 3.24810285877962 3.32571321990768 0
CN_all_peaks.overlap.Conserved.bed 8269 5851.39355508773 3.49136404166708e-236 177149 125736 8988920 3.62442683076544 3.54194669765457 3.70792755190497 0
CN_all_peaks.overlap.footprint.bed 6442 5792.49317616329 1.47850505122841e-22 139432 125736 8988920 3.54465467698835 3.45480435337263 3.63681565535489 0
CN_footprint.hg19.bed 6443 5797.0088924867 2.44664377734734e-22 139617 125736 8988920 3.5402742204694 3.4506454711164 3.63270687749866 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 36381 31587.8547819145 3.18741526145983e-243 1034388 125736 8988920 3.20856879532544 3.16904305774265 3.24891868624699 0
CN_merged_footprint.dnase2tf.bed 1860 1391.07018137764 2.02572543570064e-45 21374 125736 8988920 6.80464448976962 6.48285915351755 7.13957607011767 0
CN_merged_footprint.dnase2tf.hg19.bed 2693 1716.35327256867 2.16435961154144e-125 47039 125736 8988920 4.35248225452725 4.18342598140759 4.52728451791973 0
Coding_UCSC.bed 29765 20761.5673103186 0 770089 125736 8988920 3.40292277429478 3.35832251871009 3.44844452770216 0
Conserved_LindbladToh.bed 42778 36682.7060345575 0 1137496 125736 8988920 3.65954413466131 3.61618694478847 3.70328721284164 0
CTCF_Hoffman.bed 33578 31390.9210765254 8.83299893408164e-57 879957 125736 8988920 3.4511003482429 3.40751612578036 3.4953368568455 0
DHS_peaks_Trynka.bed 95947 89127.1289583869 0 3159405 125736 8988920 6.09772164038592 6.01743561385983 6.17885404965368 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 61875 55305.4342654739 0 1905304 125736 8988920 3.6896016303691 3.64813231966147 3.73118004591072 0
DN_all_peaks.overlap.Conserved.bed 11370 9352.59427303985 2.78649331373949e-113 289230 125736 8988920 3.07178084803429 3.01199060517775 3.13256958508335 0
DN_all_peaks.overlap.footprint.bed 7706 7059.00761214838 2.30400137670631e-19 166798 125736 8988920 3.57169936064865 3.48843939447667 3.65734968011673 0
DNaseI.bed 45083 36533.8470030524 0 1498699 125736 8988920 2.84903996231699 2.81604458621527 2.88293457908851 0
DN_footprint.hg19.bed 7706 7062.46413795509 3.45693027262955e-19 167004 125736 8988920 3.56700880417089 3.48382180855701 3.65204375586586 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 52209 48557.0759983848 4.19807068699575e-118 1627732 125736 8988920 3.28444426793818 3.24719495902992 3.32184014538719 0
