Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 925 727.290627987038 8.75938406554823e-16 116967 5506 3466789 5.82028216076647 5.41595600004781 6.25056705545157 0
1_GATA2-Interval-Track.bed 925 727.290627987038 8.75938406554823e-16 116967 5506 3466789 5.82028216076647 5.41595600004781 6.25056705545157 0
adult_peaks.bed 0 NA NA 295 5506 3466789 0 0 7.91320694810774 1
All_peaks.merged5.hg19.bed 4086 3809.43544324087 6.91614765667351e-21 823987 5506 3466789 9.26818480380547 8.72324557635017 9.85165783646953 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 4086 3809.43544324087 6.91614765667351e-21 823987 5506 3466789 9.26818480380547 8.72324557635017 9.85165783646953 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 1980 1718.03385126077 2.42082181248324e-16 258792 5506 3466789 7.00686709175721 6.62749518574164 7.40750847240586 0
CN_all_peaks.overlap.Conserved.bed 367 222.289575853786 1.31370027495648e-22 38434 5506 3466789 6.4219361198406 5.75830584763432 7.14456942716302 1.08227667711653e-159
CN_all_peaks.overlap.footprint.bed 330 284.601951360234 0.000605607873151479 23680 5506 3466789 9.38832873292283 8.36852203080948 10.5009212183949 7.51485835943203e-191
CN_footprint.hg19.bed 330 284.639341194445 0.000611826721195695 23710 5506 3466789 9.37613032570589 8.35781382909576 10.4877804252268 1.09423475668455e-190
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 1772 1408.3904080113 8.11872744636597e-34 215673 5506 3466789 7.2042843227066 6.80301312840798 7.62637076441789 0
CN_merged_footprint.dnase2tf.bed 92 36.8198946523607 1.75306633915207e-17 3186 5506 3466789 18.9850700379443 15.2395346714174 23.4084382481676 5.03447958073478e-81
CN_merged_footprint.dnase2tf.hg19.bed 110 56.8270336434715 3.89839192858666e-11 9382 5506 3466789 7.58969845667935 6.2192282392787 9.1781307612168 7.53776148454224e-57
Coding_UCSC.bed 1409 879.417099605776 6.12411344126098e-89 204519 5506 3466789 5.5177041818588 5.18747822321195 5.86250531495687 0
Conserved_LindbladToh.bed 1764 1492.04791020414 3.42005655602111e-20 251420 5506 3466789 6.06529830191913 5.72721570620819 6.42121451223655 0
CTCF_Hoffman.bed 1561 1290.40388022674 2.71669460057778e-21 163319 5506 3466789 8.07260295410251 7.60432172402917 8.56290050262229 0
DHS_peaks_Trynka.bed 4096 3778.55140367333 6.03006450015731e-27 706587 5506 3466789 11.412070203371 10.7367934274832 12.1275039155586 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 2692 2294.50263147509 6.46257373146337e-33 411999 5506 3466789 7.13197155278687 6.76299570719286 7.52344268635145 0
DN_all_peaks.overlap.Conserved.bed 461 347.603751297222 1.7312375239387e-10 60457 5506 3466789 5.17993636609429 4.69722786269662 5.70249788703182 6.78485959725574e-164
DN_all_peaks.overlap.footprint.bed 398 343.641443364513 0.000248747787004031 28520 5506 3466789 9.51341673960688 8.56452854850924 10.5452158105571 7.6934043268195e-231
DNaseI.bed 1838 1429.34803542721 2.4711863368116e-39 403720 5506 3466789 3.81463907526563 3.60455239375795 4.03575145236881 0
DN_footprint.hg19.bed 398 343.759032904763 0.000256498800316407 28555 5506 3466789 9.50142843705155 8.55384272933989 10.5332439954118 1.19416365268432e-230
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 2213 1993.31827611205 2.0645477938834e-11 344400 5506 3466789 6.12529595093494 5.8021227920369 6.4668407750727 0
DN_merged_footprint.dnase2tf.bed 125 110.816615358274 0.0865110968954946 11676 5506 3466789 6.93909037728858 5.75830717744823 8.29143498138546 4.04972479043912e-60
DN_merged_footprint.dnase2tf.hg19.bed 540 354.494520508713 2.0767097994378e-29 33128 5506 3466789 11.4413201194171 10.4424670416168 12.5155346196423 0
E081-DNase.macs2.narrowPeak.bed 4 4.64966295311629 0.689095467834879 797 5506 3466789 3.17246365796058 0.861967774182804 8.15925587926017 0.0396091136324089
