Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3118 2650.69115938914 1.02950245290633e-26 200731 17367 4464659 4.70548889852661 4.52434074834545 4.89330399968696 0
1_GATA2-Interval-Track.bed 3118 2650.69115938914 1.02950245290633e-26 200731 17367 4464659 4.70548889852661 4.52434074834545 4.89330399968696 0
adult_peaks.bed 0 NA NA 564 17367 4464659 0 0 1.68038016048899 0.290119852147185
All_peaks.merged5.hg19.bed 12826 12526.835881235 5.93502586262622e-09 1303191 17367 4464659 6.90984441655559 6.68058309459696 7.15105209431436 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 12826 12526.835881235 5.93502586262622e-09 1303191 17367 4464659 6.90984441655559 6.68058309459696 7.15105209431436 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 5505 5378.98517072867 0.0131043844031032 440306 17367 4464659 4.28305320941027 4.14661190297021 4.42283985785206 0
CN_all_peaks.overlap.Conserved.bed 1153 850.024709093192 1.90666039405927e-28 63676 17367 4464659 4.98689135004344 4.69104116820137 5.29771105548747 0
CN_all_peaks.overlap.footprint.bed 742 737.954495853278 0.442136052989364 44000 17367 4464659 4.544284928548 4.21358157405109 4.89383307300361 5.46563829174165e-233
CN_footprint.hg19.bed 742 738.4773255892 0.450338081070936 44060 17367 4464659 4.53790195952798 4.20768714293457 4.8871500488284 1.2091917098935e-232
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4755 4303.27804712023 1.17668239880673e-18 361995 17367 4464659 4.31672906175689 4.17386124643186 4.46453603838697 0
CN_merged_footprint.dnase2tf.bed 361 311.924968824377 0.00110907293696365 6796 17367 4464659 14.6510447469045 13.12083393751 16.311792348904 5.64371296411385e-272
CN_merged_footprint.dnase2tf.hg19.bed 375 247.225893797699 2.64087959987423e-16 16168 17367 4464659 6.19247154093419 5.5688591484497 6.86930731330719 3.98827973578561e-160
Coding_UCSC.bed 4271 3060.5478723317 7.50324630181591e-143 316291 17367 4464659 4.32240560012728 4.17426635862521 4.4756853112274 0
Conserved_LindbladToh.bed 6475 5489.56383450943 9.30404316048574e-74 415505 17367 4464659 5.86877873210878 5.6895617688205 6.05409865728922 0
CTCF_Hoffman.bed 5214 4686.05883163266 5.4361686544338e-25 291673 17367 4464659 6.23168112659553 6.03040688068676 6.43964565006111 0
DHS_peaks_Trynka.bed 13281 12534.3274535146 8.16062782456824e-50 1154821 17367 4464659 9.41190007183451 9.08275499482508 9.74973691658379 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8315 7711.7337346159 7.72092477715731e-25 686567 17367 4464659 5.10467940536836 4.95390868900582 5.25962753868001 0
DN_all_peaks.overlap.Conserved.bed 1619 1323.24690325802 1.78449104967048e-19 102745 17367 4464659 4.4183546444211 4.19426350566897 4.65306285018173 0
DN_all_peaks.overlap.footprint.bed 1199 1066.76419689469 3.82877679492725e-06 53147 17367 4464659 6.27452283544944 5.90749613716327 6.65889787435824 0
DNaseI.bed 6230 5347.47865673172 1.29980385159213e-55 606326 17367 4464659 3.58637763331365 3.47598627235951 3.69988202447907 0
DN_footprint.hg19.bed 1199 1067.12945680969 4.06940446667039e-06 53216 17367 4464659 6.26610151708393 5.90124801363291 6.64972747220509 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 6962 6830.96450710333 0.0142582867345845 580531 17367 4464659 4.51917626805037 4.38275318785946 4.65915483134315 0
DN_merged_footprint.dnase2tf.bed 661 563.562780769471 4.66078858697089e-06 22870 17367 4464659 7.8835537695095 7.27499951081527 8.53279592121357 0
DN_merged_footprint.dnase2tf.hg19.bed 1057 949.581147103457 0.000105034475240043 59548 17367 4464659 4.86262740786198 4.56256049593122 5.17861743152168 0
E081-DNase.macs2.narrowPeak.bed 20 14.6119695752794 0.0937892734499904 1274 17367 4464659 4.08733626463718 2.48757666621964 6.34249597970601 2.74894689240913e-07
E8_TCM_D_48h.bed 8116 6579.54620229891 1.21715713765888e-156 520876 17367 4464659 6.73158134938149 6.53215572221754 6.93784919971639 0
E8_TCM_T_48h.bed 7747 6027.53087440369 1.82113918351313e-198 468241 17367 4464659 6.97188710218725 6.76595423341731 7.18714689195137 0
Enhancer_Andersson.bed 2400 1297.84653037255 2.56731828536139e-220 66594 17367 4464659 10.9484253357489 10.4725100459788 11.443547070293 0
Enhancer_Hoffman.bed 8188 5437.14728299782 0 492949 17367 4464659 7.29154932802151 7.07513575576734 7.51507318523792 0
eQTL_0.05_FDR.bed 68 86.2213971004625 0.988517317006571 2100 17367 4464659 8.5992819265335 6.64813792426086 10.9557437288614 5.30927420190025e-39
eQTL_0.1_FDR.bed 80 113.948580885171 0.999881351793594 3179 17367 4464659 6.63647519014462 5.24473239857754 8.2921147966096 7.17550020048644e-38
eur_ld_breakpoints.bed 17367 17366.9434333056 1.61867373290225 4464651 17367 4464659 Inf 0.00665707306782914 Inf 1
eur_ld_breakpoints_named.bed 17367 17366.9434333056 1.61867373290225 4464651 17367 4464659 Inf 0.00665707306782914 Inf 1
eur_ld_breakpoints_named_sorted.bed 17367 17366.9434333056 1.61867373290225 4464651 17367 4464659 Inf 0.00665707306782914 Inf 1
eur_ld_breakpoints_sorted.bed 17367 17366.9434333056 1.61867373290225 4464651 17367 4464659 Inf 0.00665707306782914 Inf 1
FAIRE.bed 2415 2652.352338254 0.999999980134796 163669 17367 4464659 4.29302618567409 4.11002818023078 4.48291963804818 0
fantomFetalBrainCage.gt10.bed 0 NA NA 60 17367 4464659 0 0 16.237960131083 1
FetalDHS_Trynka.bed 11987 10809.0889297177 9.56708595427344e-100 939837 17367 4464659 8.45131387594973 8.1806560553424 8.72838669477946 0
FOSL2.bed 1335 1050.02496711815 1.10919812167433e-21 68397 17367 4464659 5.43950460528502 5.13756384793903 5.75569870374773 0
FOXO1_DeMayo.bed 1444 1250.14020404685 2.03665400571714e-09 94920 17367 4464659 4.22348940526162 3.9985053207556 4.45946102227689 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 7911 6791.82579713386 1.95234591740482e-81 590653 17367 4464659 5.54816571270015 5.38273751496922 5.71728620148415 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7848 7883.34459060004 0.726285632235008 716695 17367 4464659 4.34826999401896 4.219252076931 4.48086521496123 0
GA_all_peaks.overlap.Conserved.bed 1180 818.372280350732 5.33146665681512e-39 65259 17367 4464659 4.98629057874179 4.69364165613604 5.29369644276636 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 7156 7233.52556651007 0.905834942012406 638600 17367 4464659 4.2353819266695 4.10804470130752 4.36512527803757 0
GA_merged_footprint.dnase2tf.hg19.bed 1567 1375.67602235202 8.80149795228916e-09 91641 17367 4464659 4.79815633520915 4.54984823516328 5.05517662891997 0
GSM1820082_d27_fdr0.05.hot.bed 3269 2695.44400741798 1.17476484044504e-37 233109 17367 4464659 4.25488509175168 4.0933449234576 4.42112271139072 0
GSM1820085_d411_fdr0.05.hot.bed 1480 1065.74151585743 5.50432324548524e-41 84775 17367 4464659 4.88069852799642 4.62234677739937 5.14988945063039 0
GSM1820087_d412_fdr0.05.hot.bed 2222 1801.91312108847 1.19920303772073e-28 153144 17367 4464659 4.17662366648021 3.99198386939083 4.36872065718094 0
H3K27ac.bed 2058 1077.45988529168 6.04303617459701e-200 80522 17367 4464659 7.48610131921812 7.14069170280544 7.84323757285244 0
h3k27ac-final-C-48h.bed 5834 4067.80658281571 1.23249142650635e-226 531017 17367 4464659 3.77775269081135 3.65917570844533 3.89940800696277 0
h3k27ac-final-D-48h.bed 6234 4304.37031019995 3.19959537767802e-261 559072 17367 4464659 3.944141710293 3.82303328079483 4.06979985399844 0
H3K27ac_Hnisz.bed 14981 12751.7822765273 0 2563503 17367 4464659 4.67790392985695 4.47965670192195 4.88664178419739 0
H3K27ac_PGC2.bed 14936 12468.7002329574 0 2062854 17367 4464659 7.19810932284062 6.89654451875577 7.51794721025981 0
H3K27me3.bed 311 317.998651739182 0.669180126423084 24453 17367 4464659 3.34070940622328 2.97432512011859 3.74049861460135 1.80399981211151e-69
h3k4me1-final-C-48h.bed 9219 6665.53613150149 0 850828 17367 4464659 4.84742194916534 4.70417604346584 4.99581890659277 0
h3k4me1-final-D-48h.bed 9015 6485.79132974828 0 834887 17367 4464659 4.73306565481252 4.59379489294463 4.87736031909795 0
H3K4me1_peaks_Trynka.bed 14892 13542.886914507 6.31083925769253e-183 1636833 17367 4464659 10.4796912864894 10.0417441662504 10.9436623191793 0
H3K4me3.bed 2821 1641.45232934636 2.97771609994382e-195 170652 17367 4464659 4.94563237824854 4.74647076339162 5.15071348812507 0
h3k4me3-final-C-48h.bed 4097 2394.37771030227 2.10936540063706e-295 279247 17367 4464659 4.68149663907636 4.51840368007522 4.84974396695419 0
h3k4me3-final-D-48h.bed 4163 2489.10961507702 2.43378109501731e-277 298701 17367 4464659 4.44529952723166 4.29106911934017 4.60425982344616 0
H3K4me3_peaks_Trynka.bed 9817 7281.34117683237 0 576075 17367 4464659 8.90957996329835 8.64467809364258 9.18987394655338 0
H3K9ac_peaks_Trynka.bed 9232 6946.3030837258 0 573220 17367 4464659 7.81546520120449 7.583577795066 8.05436519169373 0
hic_all_interacting_DT1_dTL4_D_48h.bed 7249 4848.74564078116 0 417459 17367 4464659 7.04988203666471 6.83814193612184 7.26838336874948 0
hic_all_interacting_DT1_dTL4_D_48h_expanded.bed 10369 7137.55991841581 0 984104 17367 4464659 5.28562612168569 5.12622727271762 5.44923549908379 0
hic_harmonizome_interacting_DT1_dTL4_D_48h.bed 1080 617.789442147581 5.07529446485533e-74 54936 17367 4464659 5.41009034869196 5.07889682526007 5.75618636547137 0
hic_human_gain_interacting_DT1_dTL4_D_48h.bed 388 191.167494624857 7.50981144094275e-44 14163 17367 4464659 7.3552819904996 6.62453691779446 8.14404392599992 8.19274894255216e-190
Humanfrontcortex.bed 4028 3238.36777271437 1.07856343453267e-62 234220 17367 4464659 5.53209467994936 5.33815396891447 5.73284618370031 0
in.sorted.bed 0 NA NA 2 17367 4464659 0 0 1367.89925926796 1
Intron_UCSC.bed 13009 12733.4148141682 5.45622565583215e-23 3652313 17367 4464659 0.662741281324158 0.640286271611799 0.686093494318104 2.40226268714454e-113
ips_all_peaks.narrowPeak.cleaned.hg19.merged.bed 10938 9737.07054613986 4.3555659761333e-93 899618 17367 4464659 6.81286288137945 6.60506667956719 7.02633286178881 0
ips_all_peaks.overlap.Conserved.bed 1695 1195.56572030763 6.09862086450525e-55 85162 17367 4464659 5.6545166937262 5.37259623495822 5.94866681701809 0
ips_all_peaks.overlap.footprint.bed 2292 1832.26912572869 1.40538087067678e-33 109928 17367 4464659 6.12988651559207 5.86152004706778 6.40765033034525 0
ips_footprint.hg19.bed 5036 4511.47664491205 2.10847930518565e-26 250333 17367 4464659 6.99537512232892 6.76645199335896 7.23029354251885 0
ips_footprint.hg19.s+.bed 3040 2656.9432936064 2.09818501608369e-20 140283 17367 4464659 6.66358714477305 6.40403631842714 6.93258042428636 0
ips_footprint.hg19.s-.bed 3472 3008.78910496768 3.87020218304866e-28 143480 17367 4464659 7.68869587078501 7.40003870988004 7.98027308355196 0
ips_merged_cutsite_peaks.narrowPeak.hg19.bed 9262 8456.52279601729 1.21144875957201e-42 723366 17367 4464659 5.97411060989097 5.79638275610026 6.15719339354739 0
IPS_merged_footprint.dnase2tf.bed 1123 876.485898597743 1.03778041993884e-24 22249 17367 4464659 14.4862496920727 13.6000492749391 15.4130002316253 0
IPS_merged_footprint.dnase2tf.hg19.bed 617 494.91490035655 3.36772783713657e-09 22528 17367 4464659 7.44007880662796 6.84665611678486 8.07228998384713 7.82743880680091e-302
Noonan_hNSC_50_peaks.bed 2554 2131.38355190621 4.8055863804299e-26 145921 17367 4464659 5.17537879787611 4.95962090936432 5.40003830563007 0
Noonan_hNSC_P15-1_peaks.bed 1948 1409.81201337463 9.29552077370379e-54 88921 17367 4464659 6.33377389739011 6.03635073345427 6.64256739981725 0
Noonan_hNSC_P5-1_peaks.bed 1530 1156.49762711301 2.3722658168631e-32 77133 17367 4464659 5.58693966070227 5.29411718895076 5.89063931121811 0
Noonan_hNSC_P5-2_peaks.bed 1641 1294.15245482619 3.52854691180165e-26 85008 17367 4464659 5.46232505124363 5.18580731118935 5.74929872141252 0
