Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3848 3035.89633648074 1.83586049432056e-68 199878 17799 4481105 6.00405440335339 5.78999668101048 6.22554301389369 0
1_GATA2-Interval-Track.bed 3848 3035.89633648074 1.83586049432056e-68 199878 17799 4481105 6.00405440335339 5.78999668101048 6.22554301389369 0
adult_peaks.bed 1 5.5343837729334 0.996318221098992 568 17799 4481105 0.442230904010768 0.0111788719975779 2.47421546241632 0.732921480541638
All_peaks.merged5.hg19.bed 13689 13101.9510810659 4.38572320979388e-31 1300745 17799 4481105 8.2193169097424 7.93553398097051 8.5116663229571 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 13689 13101.9510810659 4.38572320979388e-31 1300745 17799 4481105 8.2193169097424 7.93553398097051 8.5116663229571 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6092 5760.55142877463 3.97363089854725e-09 438592 17799 4481105 4.84981668048379 4.69972732509383 5.00359340090014 0
CN_all_peaks.overlap.Conserved.bed 1328 978.603884922999 8.36155505976965e-34 64696 17799 4481105 5.5982409765419 5.28758094022956 5.92360103312118 0
CN_all_peaks.overlap.footprint.bed 1068 877.545723519089 2.34994189650168e-12 43816 17799 4481105 6.60094266967302 6.19443958971572 7.02811792565698 0
CN_footprint.hg19.bed 1068 878.093316919236 2.73608186653411e-12 43865 17799 4481105 6.59331092151669 6.18705919138835 7.02139601498398 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 5248 4614.37176186091 2.55805673161391e-32 361542 17799 4481105 4.81985976250608 4.66550937637632 4.97890299358651 0
CN_merged_footprint.dnase2tf.bed 397 386.750165109564 0.271222642051339 6687 17799 4481105 16.1653303105582 14.5485783699151 17.9121147119395 4.7509125308007e-314
CN_merged_footprint.dnase2tf.hg19.bed 437 297.812844198054 6.37266169636245e-18 16091 17799 4481105 7.15212492557015 6.48015221778988 7.87364235931296 8.25368344651703e-209
Coding_UCSC.bed 4433 3422.2563792478 5.3256478397373e-97 318415 17799 4481105 4.38307265892075 4.23484631853956 4.53550494377603 0
Conserved_LindbladToh.bed 7255 6065.22801796343 4.00886279424486e-103 415819 17799 4481105 6.82798960997003 6.62668482864378 7.03647878412502 0
CTCF_Hoffman.bed 5173 5005.39557422902 0.000820761018016198 287824 17799 4481105 6.05996711325314 5.86353063117216 6.26135463660404 0
DHS_peaks_Trynka.bed 13843 13197.9854617955 3.17976764244375e-39 1149449 17799 4481105 10.2533514189252 9.89426083711314 10.6267196444372 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8855 8142.96408692366 6.60417423606645e-33 681598 17799 4481105 5.57848629114369 5.4153732081251 5.74661340964769 0
DN_all_peaks.overlap.Conserved.bed 1824 1507.28213638673 9.43462041494581e-21 103191 17799 4481105 4.91266834361192 4.6767724121178 5.15934270639669 0
DN_all_peaks.overlap.footprint.bed 1290 1118.42123863307 7.95677390254606e-09 52879 17799 4481105 6.68213501095151 6.30463822273516 7.07696963534588 0
DNaseI.bed 6963 5752.09188381782 1.51574293486574e-98 606876 17799 4481105 4.13855058558928 4.01445129780269 4.26541388027727 0
DN_footprint.hg19.bed 1290 1118.85341554111 8.68735072231455e-09 52946 17799 4481105 6.67336564444421 6.2971702432687 7.06693821018738 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 7794 7391.35190344675 1.13599318020152e-11 577203 17799 4481105 5.32731051621415 5.17025443492948 5.48774423450879 0
DN_merged_footprint.dnase2tf.bed 855 779.850237604334 0.000622601308821474 23216 17799 4481105 10.0207764802906 9.33130592176979 10.749031502789 0
DN_merged_footprint.dnase2tf.hg19.bed 1513 1104.99878598495 2.02299934363965e-39 59576 17799 4481105 7.04725326347141 6.67836269239739 7.43492964338133 0
E081-DNase.macs2.narrowPeak.bed 69 42.7819573105353 5.01794544434401e-06 1330 17799 4481105 13.7752743166724 10.640547350066 17.563799977217 4.65899890919445e-52
E8_TCM_D_48h.bed 8745 7016.81261807964 1.65833784288148e-194 520304 17799 4481105 7.46119645773079 7.24483545641728 7.68647671261198 0
E8_TCM_T_48h.bed 8033 6363.53402135456 6.95856505075337e-184 467733 17799 4481105 7.16345014983187 6.95388310155985 7.37899415346522 0
Enhancer_Andersson.bed 1429 1200.67626117541 3.95583880313754e-13 65135 17799 4481105 6.02853192840651 5.70284022678067 6.36792106364789 0
Enhancer_Hoffman.bed 7970 5855.34754048354 2.19261540943928e-289 492580 17799 4481105 6.65602503833938 6.46256052635236 6.85757113207725 0
eQTL_0.05_FDR.bed 166 92.2444260805739 1.47630038327198e-14 1989 17799 4481105 23.0529708979506 19.5226784997436 27.0469833172676 3.47405509902975e-156
eQTL_0.1_FDR.bed 199 118.091096253887 6.92323451932789e-14 3020 17799 4481105 17.878023640661 15.3943961950527 20.664406963059 8.9632842954964e-167
eur_ld_breakpoints.bed 17799 17798.9998208392 20.3699766218418 4481098 17799 4481105 Inf 0.00574898465371227 Inf 1
eur_ld_breakpoints_named.bed 17799 17798.9998208392 20.3699766218418 4481098 17799 4481105 Inf 0.00574898465371227 Inf 1
eur_ld_breakpoints_named_sorted.bed 17799 17798.9998208392 20.3699766218418 4481098 17799 4481105 Inf 0.00574898465371227 Inf 1
eur_ld_breakpoints_sorted.bed 17799 17798.9998208392 20.3699766218418 4481098 17799 4481105 Inf 0.00574898465371227 Inf 1
FAIRE.bed 3707 3147.13343333591 9.7669346774589e-35 162559 17799 4481105 7.12730539883715 6.86999361632657 7.39285228234059 0
fantomFetalBrainCage.gt10.bed 0 NA NA 66 17799 4481105 0 0 14.412695920173 1
FetalDHS_Trynka.bed 12111 11416.8951622719 8.6377645532575e-37 934150 17799 4481105 8.17767312539838 7.92177644148299 8.44311184233987 0
FOSL2.bed 1500 1191.31929552713 5.87559179823248e-24 67544 17799 4481105 6.12737318343745 5.80486598272914 6.46499756337575 0
FOXO1_DeMayo.bed 2082 1454.9547637047 3.33196524036155e-71 94725 17799 4481105 6.24945603469862 5.96574424150896 6.54523687148789 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 8744 7259.90356653887 2.56062230990857e-139 588369 17799 4481105 6.47020315951444 6.28139093332663 6.66377050290925 0
