Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2555 2178.59978270409 8.06092379578231e-22 193407 14481 4647762 4.98606388629862 4.77519380525164 5.2061309680954 0
1_GATA2-Interval-Track.bed 2555 2178.59978270409 8.06092379578231e-22 193407 14481 4647762 4.98606388629862 4.77519380525164 5.2061309680954 0
adult_peaks.bed 0 NA NA 541 14481 4647762 0 0 2.18921188302339 0.423673260991429
All_peaks.merged5.hg19.bed 11275 10499.7941504195 6.97703218452759e-63 1292731 14481 4647762 9.19844721420612 8.84191183497307 9.56779312471355 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 11275 10499.7941504195 6.97703218452759e-63 1292731 14481 4647762 9.19844721420612 8.84191183497307 9.56779312471355 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 5045 4543.03015220915 1.09981047606878e-23 425828 14481 4647762 5.35247415961713 5.17058096561639 5.54024487675832 0
CN_all_peaks.overlap.Conserved.bed 1031 687.472720974888 1.514998187857e-41 62187 14481 4647762 5.7307478177252 5.37168001769108 6.11001913379943 0
CN_all_peaks.overlap.footprint.bed 910 747.316073012629 2.14246862949253e-11 41896 14481 4647762 7.51363424935202 7.01365605547321 8.04160404391714 0
CN_footprint.hg19.bed 910 748.04906253536 2.66114546857554e-11 41964 14481 4647762 7.50109920041896 7.00140567212581 8.02668288748545 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4502 3718.06752797343 7.20755274985245e-58 351483 14481 4647762 5.5730376777509 5.3783866699578 5.774069046585 0
CN_merged_footprint.dnase2tf.bed 315 259.7191516886 8.61666599704857e-05 6190 14481 4647762 17.5142935212416 15.5671547539292 19.6397827958816 1.78129111078653e-260
CN_merged_footprint.dnase2tf.hg19.bed 426 221.579072092208 6.21231658117074e-40 15614 14481 4647762 9.21818575198098 8.34001720562047 10.163851466117 4.18863469216186e-244
Coding_UCSC.bed 3929 2694.38836372121 4.50808429927329e-170 313021 14481 4647762 5.20848627670428 5.02008300963372 5.40489095932252 0
Conserved_LindbladToh.bed 5435 4669.07752726989 3.09027936560551e-55 404566 14481 4647762 6.37334541779079 6.16187295184976 6.59447505535526 0
CTCF_Hoffman.bed 4324 4084.78480998246 2.39777598792653e-07 277145 14481 4647762 6.80398145444876 6.56411960573285 7.05510939402579 0
DHS_peaks_Trynka.bed 11386 10454.3815188383 5.59691581315075e-94 1130979 14481 4647762 11.5449005684352 11.0970585550049 12.0138052456989 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7273 6438.89794913073 2.21035625580855e-53 668048 14481 4647762 6.06612005960491 5.87125060364374 6.26959455357945 0
DN_all_peaks.overlap.Conserved.bed 1308 1069.56594280025 4.99662370334293e-15 99443 14481 4647762 4.58876006193841 4.33072140921828 4.85852125686047 0
DN_all_peaks.overlap.footprint.bed 1128 1012.49345130611 1.25548746977828e-05 50035 14481 4647762 7.91854481859611 7.44027758949819 8.42062713066388 0
DNaseI.bed 5975 4577.73651194182 8.36146135728199e-159 609440 14481 4647762 4.6909882474863 4.53652161729125 4.84960745524697 0
DN_footprint.hg19.bed 1128 1013.04759177561 1.37973481236905e-05 50113 14481 4647762 7.90581007833457 7.42834490269412 8.40710769994241 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 6496 5789.61966737989 5.12958606324221e-40 562704 14481 4647762 5.96324087752292 5.76920723220193 6.16275774957478 0
DN_merged_footprint.dnase2tf.bed 641 517.232574667874 1.6340550144966e-09 21730 14481 4647762 10.1276809525009 9.33234645855248 10.9786966320623 0
DN_merged_footprint.dnase2tf.hg19.bed 1348 951.927201229401 1.39030571753231e-45 56739 14481 4647762 8.48304109380364 8.00957476060757 8.97810126585846 0
E081-DNase.macs2.narrowPeak.bed 0 NA NA 1286 14481 4647762 0 0 0.918952722419497 0.0394315038420403
E8_TCM_D_48h.bed 7008 5478.13327329079 1.33129128525779e-190 508144 14481 4647762 7.7320929833235 7.48199928991754 7.99239542198637 0
E8_TCM_T_48h.bed 6569 4973.94977291486 9.49202788702408e-209 456055 14481 4647762 7.72619008743284 7.47632973080032 7.98863039900768 0
Enhancer_Andersson.bed 1388 1155.19272373003 1.10397179596526e-15 62413 14481 4647762 7.94297188042529 7.50581824625172 8.39997037985774 0
Enhancer_Hoffman.bed 6958 4787.34012924988 0 487472 14481 4647762 7.99216568625492 7.73454391020275 8.26226268842162 0
eQTL_0.05_FDR.bed 154 84.4623956660091 1.88662243390559e-14 1880 14481 4647762 28.8501032224877 24.2748578811366 34.0523578566259 1.93222731592695e-159
eQTL_0.1_FDR.bed 184 102.136831913337 5.82090123311914e-16 2787 14481 4647762 22.9052517268127 19.5916144593589 26.6032452892472 5.2247036297169e-173
FAIRE.bed 2194 2340.14349188433 0.999897869390076 154338 14481 4647762 5.25907245502838 5.02259351357474 5.50609823304508 0
fantomFetalBrainCage.gt10.bed 0 NA NA 79 14481 4647762 0 0 15.2938147381102 1
FetalDHS_Trynka.bed 10279 9034.17231727843 2.6414640245473e-136 916575 14481 4647762 10.0595907855775 9.70177442702829 10.4320936077177 0
FOSL2.bed 1067 886.084536947831 4.49976260558539e-11 64996 14481 4647762 5.68537513761833 5.33398709778951 6.05578757185134 0
FOXO1_DeMayo.bed 1182 1058.99509353423 1.99751489645366e-05 91827 14481 4647762 4.45387981010697 4.19197648122506 4.72995636045234 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 6511 5535.36555031966 6.92696250585322e-76 573230 14481 4647762 5.86204756088408 5.67145820370495 6.05937193191812 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7393 6738.92886886512 4.77442392797035e-35 700648 14481 4647762 5.92796405621301 5.73659626578469 6.12648940070388 0
GA_all_peaks.overlap.Conserved.bed 974 640.258877295443 7.93190642653234e-41 63169 14481 4647762 5.29984068457839 4.95810238033043 5.65861416478807 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 6780 6200.4089667887 2.67363129191818e-28 622636 14481 4647762 5.74318737438344 5.55660136645049 5.93467267135224 0
GA_merged_footprint.dnase2tf.hg19.bed 1569 1122.81261128462 2.1617361467027e-46 86937 14481 4647762 6.47354179732497 6.13608635618318 6.82532448054459 0
GSM1820082_d27_fdr0.05.hot.bed 2944 2143.65189991885 6.87585237138062e-84 224760 14481 4647762 5.0746022786667 4.87028567009635 5.28688988220737 0
GSM1820085_d411_fdr0.05.hot.bed 1172 796.231323085264 5.37539256258454e-43 80828 14481 4647762 5.03394803916821 4.73583392267751 5.34703436005357 0
GSM1820087_d412_fdr0.05.hot.bed 2209 1455.92910202104 5.95383670501574e-99 146630 14481 4647762 5.59449905043461 5.3430882584455 5.85582199091001 0
H3K27ac.bed 1816 948.001144216925 7.13939139816973e-184 78449 14481 4647762 8.52591243536251 8.10767836640194 8.96009536911959 0
h3k27ac-final-C-48h.bed 5143 3334.56868171659 1.7355921325911e-283 534961 14481 4647762 4.2660136659218 4.12149793641071 4.41429374418092 0
h3k27ac-final-D-48h.bed 5420 3576.58499807745 1.34069263102963e-285 563883 14481 4647762 4.36483468593212 4.21886724740452 4.51480477834966 0
H3K27ac_Hnisz.bed 12723 10731.9728231481 0 2646543 14481 4647762 5.4940856104017 5.22588329552951 5.77885920016366 0
H3K27ac_PGC2.bed 12431 10453.9473277081 0 2111325 14481 4647762 7.3217679368353 6.98728531613914 7.6754531705146 0
H3K27me3.bed 282 272.044507594458 0.270235097818714 23749 14481 4647762 3.901374359077 3.45301780614173 4.39327525290087 8.60666411633701e-77
h3k4me1-final-C-48h.bed 7878 5490.53764809523 0 857328 14481 4647762 5.31461116563266 5.1427828138898 5.49328074880728 0
h3k4me1-final-D-48h.bed 7831 5360.58385736264 0 840917 14481 4647762 5.37175432458425 5.19802820040587 5.55127656178635 0
H3K4me1_peaks_Trynka.bed 12563 11275.4267682809 1.21265273214852e-204 1643408 14481 4647762 12.0599443582146 11.490712151787 12.6603490871042 0
H3K4me3.bed 2643 1401.34338504161 1.26784835707701e-249 168716 14481 4647762 6.00466163234809 5.75392860692828 6.26597028595013 0
h3k4me3-final-C-48h.bed 3800 2016.94707209437 0 278467 14481 4647762 5.64597746768611 5.43726291957264 5.86001178534554 0
h3k4me3-final-D-48h.bed 3854 2075.88415368325 0 298714 14481 4647762 5.33591363642142 5.14080257909154 5.53800155464995 0
H3K4me3_peaks_Trynka.bed 8112 6157.19494886757 1.05908470003041e-306 560737 14481 4647762 9.40425638097536 9.1028221268016 9.71974021027631 0
H3K9ac_peaks_Trynka.bed 8026 5829.68192481334 0 560996 14481 4647762 9.17420487061516 8.87519916296422 9.48459233348131 0
hic_all_interacting_DT1_dTL4_D_48h.bed 6215 4107.90637313908 0 409343 14481 4647762 7.88966683561081 7.63073171824182 8.15405438582917 0
hic_all_interacting_DT1_dTL4_D_48h_expanded.bed 8637 5986.34977754602 0 998219 14481 4647762 5.44180959288911 5.26282238950692 5.62775414181256 0
hic_harmonizome_interacting_DT1_dTL4_D_48h.bed 913 461.936272865231 1.32614791146892e-87 53230 14481 4647762 5.89200920200233 5.50095286318 6.30499707084 0
hic_human_gain_interacting_DT1_dTL4_D_48h.bed 178 120.417713704109 2.18341803114439e-07 13492 14481 4647762 4.31850675888688 3.70029287087781 5.01197340726258 3.12502717141583e-55
Humanfrontcortex.bed 3824 2788.00917148646 1.33132549632897e-122 225719 14481 4647762 7.13432864475203 6.87078697860653 7.40491772033764 0
