Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3291 2711.88019522537 7.77087712276936e-39 196101 17766 4400862 4.94083693848071 4.75451526685058 5.13414495011497 0
1_GATA2-Interval-Track.bed 3291 2711.88019522537 7.77087712276936e-39 196101 17766 4400862 4.94083693848071 4.75451526685058 5.13414495011497 0
adult_peaks.bed 0 NA NA 555 17766 4400862 0 0 1.64523818692205 0.182447491598495
All_peaks.merged5.hg19.bed 13084 12584.1625966328 2.22816946551188e-22 1271925 17766 4400862 6.93518383485662 6.70624426393329 7.17145428274537 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 13084 12584.1625966328 2.22816946551188e-22 1271925 17766 4400862 6.93518383485662 6.70624426393329 7.17145428274537 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6220 5542.50077546948 5.13689786923198e-34 429045 17766 4400862 5.04574254344513 4.89108575676243 5.20472708097152 0
CN_all_peaks.overlap.Conserved.bed 1248 833.909905661628 1.78119692735126e-50 61821 17766 4400862 5.39212925545672 5.08334977446786 5.71489927331419 0
CN_all_peaks.overlap.footprint.bed 1128 920.208624199834 8.14620524973732e-15 43059 17766 4400862 7.01768473157016 6.59708800886983 7.46240471375844 0
CN_footprint.hg19.bed 1128 920.806085762509 9.86862224541943e-15 43109 17766 4400862 7.00927801736405 6.58937680694487 7.45255036991493 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 5326 4493.74094945412 9.28191894624001e-55 352656 17766 4400862 4.97467391632514 4.81552809719981 5.13850780875393 0
CN_merged_footprint.dnase2tf.bed 385 325.230495274934 9.23303975890413e-05 6619 17766 4400862 15.5521142938564 13.977753985584 17.2580209111064 9.78854226865762e-299
CN_merged_footprint.dnase2tf.hg19.bed 365 233.382768554218 2.36597437171544e-18 15636 17766 4400862 5.99939055181858 5.38680807813905 6.66406551077514 8.56008668401484e-152
Coding_UCSC.bed 3907 2962.56718658898 8.38466867034923e-93 307772 17766 4400862 3.78428592331467 3.6509330595096 3.92230701068634 0
Conserved_LindbladToh.bed 6330 5611.66125890204 1.69788794463659e-41 404316 17766 4400862 5.5417531412354 5.37294673640426 5.71727603752687 0
CTCF_Hoffman.bed 5005 4713.19798596144 9.4277444510579e-09 280905 17766 4400862 5.83869030509357 5.64888397716533 6.03357689612947 0
DHS_peaks_Trynka.bed 13329 12626.1162955084 8.84483101242031e-44 1125878 17766 4400862 8.82996562168908 8.53391944288982 9.13943178673904 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8666 7672.18687072586 2.2002420218885e-62 667395 17766 4400862 5.38430944160996 5.22755610233311 5.54661776439016 0
DN_all_peaks.overlap.Conserved.bed 1638 1326.62245874894 1.00950880920175e-21 99263 17766 4400862 4.45819589892575 4.23359342538151 4.69233315609358 0
DN_all_peaks.overlap.footprint.bed 1199 1112.32581015437 0.00157093882286872 51848 17766 4400862 6.19058290778545 5.8300762930947 6.56950601516009 0
DNaseI.bed 6510 5353.69947493189 1.3575155480851e-93 591696 17766 4400862 3.75324951921402 3.63992332375617 3.87097911594415 0
DN_footprint.hg19.bed 1199 1112.8594126433 0.00166982852523236 51919 17766 4400862 6.18181601736273 5.82151493365896 6.56002116842262 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 7466 6889.88697922403 1.39707059239551e-23 564150 17766 4400862 4.98246132588089 4.83513519257437 5.13410040593086 0
DN_merged_footprint.dnase2tf.bed 681 595.883102150403 5.84634619639508e-05 22332 17766 4400862 8.02941921517172 7.41804628279963 8.68021301553553 0
DN_merged_footprint.dnase2tf.hg19.bed 1189 1042.44348907897 2.54272911775477e-07 57821 17766 4400862 5.48020490483858 5.15942986364047 5.81638978671774 0
E081-DNase.macs2.narrowPeak.bed 20 14.7165786014442 0.0990533381364686 1311 17766 4400862 3.82524135558252 2.32790749843152 5.93409597893489 7.50912955746189e-07
E8_TCM_D_48h.bed 8191 6468.89919464072 4.13544994601425e-199 508209 17766 4400862 6.64321580259506 6.44834482361388 6.84543577673352 0
E8_TCM_T_48h.bed 7446 5787.07518895459 2.0614500825781e-189 456070 17766 4400862 6.32689871555163 6.13914285297145 6.52181842096855 0
Enhancer_Andersson.bed 2333 1424.61558424065 6.64622815345128e-158 63885 17766 4400862 10.6117025132505 10.147323397514 11.0978639964222 0
Enhancer_Hoffman.bed 8061 5615.98121597589 0 481949 17766 4400862 6.851793822517 6.65142636475202 7.0582739959512 0
eQTL_0.05_FDR.bed 141 82.886686085984 6.67795057085379e-11 1999 17766 4400862 18.8658389837795 15.7710141601617 22.4201219722747 8.64620544626234e-122
eQTL_0.1_FDR.bed 182 102.119104699503 3.29733728887661e-15 3027 17766 4400862 15.935736278591 13.6295474367912 18.5341624269748 1.95078656256362e-144
