Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3832 3138.98588503699 4.80320110502139e-48 233171 20047 5053578 4.9503250645137 4.77691711941744 5.12893533066822 0
1_GATA2-Interval-Track.bed 3832 3138.98588503699 4.80320110502139e-48 233171 20047 5053578 4.9503250645137 4.77691711941744 5.12893533066822 0
adult_peaks.bed 0 NA NA 667 20047 5053578 0 0 1.39238282217314 0.122670699069445
All_peaks.merged5.hg19.bed 15344 14557.128429965 5.29957380204512e-47 1510996 20047 5053578 7.71731293814635 7.46728776454481 7.97687784419422 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 15344 14557.128429965 5.29957380204512e-47 1510996 20047 5053578 7.71731293814635 7.46728776454481 7.97687784419422 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6930 6362.37083391839 2.81099383069165e-22 511809 20047 5053578 4.73903164701827 4.6012833447097 4.88030998253084 0
CN_all_peaks.overlap.Conserved.bed 1631 1028.8143278583 1.4223972194562e-83 73757 20047 5053578 6.09209312263702 5.78459002051507 6.4128483263733 0
CN_all_peaks.overlap.footprint.bed 977 960.114520504695 0.273784319392965 51455 20047 5053578 5.056777744581 4.73507642776639 5.39618027948588 0
CN_footprint.hg19.bed 977 960.835463075466 0.282653926901617 51508 20047 5053578 5.05144952005987 4.73035849702402 5.39204299680035 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 6133 5200.59560570571 1.43252050866374e-59 421303 20047 5053578 4.90324890303819 4.75616524887424 5.05437170396329 0
CN_merged_footprint.dnase2tf.bed 481 356.878321631935 3.65986131760427e-13 7741 20047 5053578 17.0196314293433 15.4753781817674 18.693923461577 0
CN_merged_footprint.dnase2tf.hg19.bed 539 302.798695407935 3.22437173353632e-41 18811 20047 5053578 7.5838631891424 6.94048789676919 8.27033439509611 1.73621750785482e-268
Coding_UCSC.bed 5501 3813.93738081894 6.59853908937265e-231 359522 20047 5053578 4.99897191357163 4.84441707391317 5.15759658819407 0
Conserved_LindbladToh.bed 7805 6571.51821471524 1.39279229760468e-100 477645 20047 5053578 6.19275983648034 6.01760251569875 6.37352199821801 0
CTCF_Hoffman.bed 5208 5376.27382609843 0.998890309318119 338342 20047 5053578 4.95268835100036 4.79647246730474 5.11280835188459 0
DHS_peaks_Trynka.bed 15324 14442.228549178 2.24009858261408e-60 1337456 20047 5053578 9.10722133984224 8.81746825716664 9.41340078730039 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 10127 8952.17416162305 2.01340245964564e-75 795944 20047 5053578 5.51834866298691 5.36621551260497 5.67358587091572 0
DN_all_peaks.overlap.Conserved.bed 2268 1631.08221655501 5.02744067201573e-65 118566 20047 5053578 5.39317009215921 5.15885632385751 5.6370383467738 0
DN_all_peaks.overlap.footprint.bed 1449 1307.40436654081 3.60147978518344e-06 61674 20047 5053578 6.4337520023222 6.09118903406094 6.7916536118526 0
DNaseI.bed 7328 6118.38906602378 2.34665368815477e-89 695730 20047 5053578 3.63668763443299 3.53250249609653 3.74309424548237 0
DN_footprint.hg19.bed 1449 1308.09849529878 4.0133429664779e-06 61755 20047 5053578 6.42500474629157 6.08292013344288 6.78234271051507 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 8613 8059.91197751949 1.08826303443037e-19 672582 20047 5053578 4.95744656609222 4.81933755712294 5.09944193126178 0
DN_merged_footprint.dnase2tf.bed 1029 817.014761813736 9.88419185526992e-19 27288 20047 5053578 10.3154471044995 9.67033040151969 11.0005693721568 0
DN_merged_footprint.dnase2tf.hg19.bed 1476 1239.7546177123 5.76749961301573e-14 69137 20047 5053578 5.83315702927173 5.52591986745168 6.15445795966823 0
E081-DNase.macs2.narrowPeak.bed 111 48.1381471392452 3.10005430550007e-21 1596 20047 5053578 18.8686590256725 15.411701785831 22.9202167537971 2.28672622387611e-96
E8_TCM_D_48h.bed 9176 7478.4877281595 5.49308174118641e-168 604763 20047 5053578 6.29027226706 6.11483516036244 6.46925526561128 0
E8_TCM_T_48h.bed 8474 6763.58001675016 2.94358273153257e-173 543643 20047 5053578 6.15463901200435 5.98370433945621 6.33217214098396 0
Enhancer_Andersson.bed 1850 1474.15162987325 4.33152993393355e-30 76088 20047 5053578 6.79137165401891 6.46723080945615 7.12897825190617 0
Enhancer_Hoffman.bed 8772 6368.19793227759 0 571833 20047 5053578 6.17623437870234 6.00600465931764 6.3537235427417 0
eQTL_0.05_FDR.bed 70 96.516168315418 0.999262128820445 2359 20047 5053578 7.7019522085979 5.98040804135129 9.77441411716047 3.34021256543029e-37
eQTL_0.1_FDR.bed 89 115.627445430056 0.997833884414416 3447 20047 5053578 6.67984946947386 5.3466010334004 8.2493616557159 3.89861854191531e-42
FAIRE.bed 3581 3355.75046872562 1.02473932429662e-06 190665 20047 5053578 5.63370692768797 5.43055088336276 5.84298410491272 0
fantomFetalBrainCage.gt10.bed 0 NA NA 78 20047 5053578 0 0 12.1643214645852 1
