Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3288 2816.72971127559 1.23374719895137e-26 214473 18085 4765905 4.77345850266329 4.59329800525634 4.95840317093504 0
1_GATA2-Interval-Track.bed 3288 2816.72971127559 1.23374719895137e-26 214473 18085 4765905 4.77345850266329 4.59329800525634 4.95840317093504 0
adult_peaks.bed 0 NA NA 635 18085 4765905 0 0 1.52948994133315 0.186107437461379
All_peaks.merged5.hg19.bed 13911 13126.4296682321 1.16276312020995e-51 1396429 18085 4765905 8.11238711719152 7.83630706538163 8.40146004790306 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 13911 13126.4296682321 1.16276312020995e-51 1396429 18085 4765905 8.11238711719152 7.83630706538163 8.40146004790306 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6139 5647.34875527519 4.27393203330065e-19 471339 18085 4765905 4.73100759968779 4.58624089835746 4.88024900872126 0
CN_all_peaks.overlap.Conserved.bed 1219 860.251218343465 1.09322904233416e-37 67856 18085 4765905 5.07690996797531 4.7847334364308 5.38486953939004 0
CN_all_peaks.overlap.footprint.bed 895 862.002190215631 0.105513352867021 47333 18085 4765905 5.27169625005359 4.92014185200756 5.6407962916146 0
CN_footprint.hg19.bed 895 862.551539619058 0.109470866544864 47382 18085 4765905 5.26606393496377 4.91498312715391 5.63476678227877 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 5350 4568.22009700651 1.47072585234372e-47 387304 18085 4765905 4.80193182021713 4.64913818835073 4.95864969222706 0
CN_merged_footprint.dnase2tf.bed 420 336.116466730309 2.05463950743336e-07 7090 18085 4765905 16.9001218890382 15.2654743603325 18.6807908490522 0
CN_merged_footprint.dnase2tf.hg19.bed 428 246.726271597996 1.40533006062121e-29 17290 18085 4765905 6.79994726467828 6.15768828291311 7.49410235276573 7.69884910116081e-197
Coding_UCSC.bed 5058 3363.72028502242 5.86814177914963e-257 335328 18085 4765905 5.19326699180156 5.02524547101056 5.36613905130704 0
Conserved_LindbladToh.bed 7002 5899.97996049767 1.01738486671528e-89 441519 18085 4765905 6.2713623114104 6.0857264752311 6.4626864444333 0
CTCF_Hoffman.bed 4800 4830.12150112578 0.720116498393819 311082 18085 4765905 5.23949471439834 5.06703886790174 5.41749590409581 0
DHS_peaks_Trynka.bed 13898 13035.4054447203 4.37059476992774e-64 1233983 18085 4765905 9.5967593838065 9.27075122964438 9.93669983648758 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 9443 8081.2597201121 2.0605936253838e-110 734547 18085 4765905 6.06201317504745 5.88678730964748 6.24305730195845 0
DN_all_peaks.overlap.Conserved.bed 1851 1418.50404031631 1.76136504511291e-36 109045 18085 4765905 4.93574762654122 4.7000236857745 5.18229368647636 0
DN_all_peaks.overlap.footprint.bed 1262 1173.36980378136 0.00149957805063273 56714 18085 4765905 6.34780730142811 5.98711121265417 6.72536159722458 0
DNaseI.bed 6770 5494.66366674156 3.89989147536871e-109 647797 18085 4765905 3.83278736630091 3.71829102920556 3.95140346186428 0
DN_footprint.hg19.bed 1262 1173.83191338203 0.00157975431315141 56786 18085 4765905 6.33947750643935 5.97802207712101 6.71864898438112 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 7830 7274.32506211218 1.31695337704162e-21 619977 18085 4765905 5.15850446093261 5.00790922829442 5.313481646537 0
DN_merged_footprint.dnase2tf.bed 860 731.196712828187 1.92478701443363e-08 25016 18085 4765905 9.76296502841276 9.09609905710714 10.4690283333889 0
DN_merged_footprint.dnase2tf.hg19.bed 1428 1117.88476655419 1.61391755168206e-25 63952 18085 4765905 6.42414519537076 6.07863737458273 6.78540353831267 0
E081-DNase.macs2.narrowPeak.bed 103 45.4438237969993 1.43812874846698e-19 1459 18085 4765905 20.0423110774527 16.2339353729935 24.5257140041768 4.21423619934133e-92
E8_TCM_D_48h.bed 8314 6753.57344067807 2.1542548981608e-158 557279 18085 4765905 6.50810190279965 6.31991577428179 6.70163492160742 0
E8_TCM_T_48h.bed 7653 6107.40877846694 3.584110801559e-158 500710 18085 4765905 6.33005333675659 6.14561675237578 6.52259778235692 0
Enhancer_Andersson.bed 1484 1308.98392855978 1.65359335488948e-08 70095 18085 4765905 6.09639870143092 5.77402747822176 6.43253153290897 0
Enhancer_Hoffman.bed 7844 5828.80972966443 9.18943054277449e-263 528663 18085 4765905 6.21622140352779 6.03446754561619 6.40449161177418 0
eQTL_0.05_FDR.bed 25 87.9303749230512 1 2206 18085 4765905 3.01196072701601 1.94427948720357 4.45995376753981 2.39368571557824e-06
eQTL_0.1_FDR.bed 66 104.613229058955 0.999996067008103 3186 18085 4765905 5.5700559596648 4.29507412284935 7.11022487697269 2.03114000868515e-27
FAIRE.bed 3142 2940.86745672712 3.66406349643713e-06 174796 18085 4765905 5.60540362773794 5.39095728016967 5.82690232676252 0
fantomFetalBrainCage.gt10.bed 0 NA NA 69 18085 4765905 0 0 14.4152195786023 1
FetalDHS_Trynka.bed 12429 11256.1687659931 2.47146362959674e-96 1003489 18085 4765905 8.32990940635485 8.0713501221823 8.59921772018545 0
FOSL2.bed 1279 1066.72623087962 2.18332827433343e-12 72643 18085 4765905 4.98690081260363 4.70545044615189 5.28170740925793 0
FOXO1_DeMayo.bed 1657 1378.03742288756 1.22483545534325e-16 102006 18085 4765905 4.67148743568848 4.43695788739072 4.91522717647556 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 8366 6931.17828415748 2.56308722072889e-128 633676 18085 4765905 5.67498472283783 5.50994050432685 5.84387424366616 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8973 8366.63365803482 4.76002504404249e-25 765219 18085 4765905 5.19774670579732 5.04746597701489 5.35215614694525 0
GA_all_peaks.overlap.Conserved.bed 1283 817.128924131093 3.58752609153191e-61 69399 18085 4765905 5.24661396650876 4.94980064141596 5.55527368829054 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 8235 7669.76587789334 2.43635164928465e-22 682386 18085 4765905 5.05204348547257 4.90553321995424 5.20282044880801 0
GA_merged_footprint.dnase2tf.hg19.bed 1832 1426.93292611039 6.20292830717138e-33 97016 18085 4765905 5.50975016246157 5.24419497968606 5.78553498244914 0
GSM1820082_d27_fdr0.05.hot.bed 3569 2692.5188353157 5.34528531735824e-81 248367 18085 4765905 4.52268041287221 4.35789996341788 4.69271292695821 0
GSM1820085_d411_fdr0.05.hot.bed 1709 1045.16607551244 1.10227881329885e-96 89602 18085 4765905 5.53295895466172 5.25809336683217 5.81953929073613 0
GSM1820087_d412_fdr0.05.hot.bed 2691 1862.04728424818 3.12935605179837e-95 162850 18085 4765905 5.00753091187563 4.80319984870021 5.21822462013639 0
H3K27ac.bed 2116 1182.54623312379 5.41029130137437e-176 85861 18085 4765905 7.38110570904671 7.04496027098786 7.72701713770981 0
h3k27ac-final-C-48h.bed 6327 4324.72618992564 1.25656605036683e-279 567876 18085 4765905 4.01195184353266 3.88970761345332 4.1363502908767 0
h3k27ac-final-D-48h.bed 6845 4617.81944673428 0 597663 18085 4765905 4.28517391489334 4.1568962649137 4.41637744923073 0
H3K27ac_Hnisz.bed 15443 13367.9431071877 0 2736746 18085 4765905 4.35279779601751 4.17682694412685 4.53823066804827 0
H3K27ac_PGC2.bed 15339 13056.2086103196 0 2198883 18085 4765905 6.55959372310759 6.29790477012406 6.83402229824831 0
H3K27me3.bed 329 328.067275738592 0.486776834830034 26178 18085 4765905 3.38476153728087 3.02377376272729 3.77769928838786 1.12433041695542e-74
h3k4me1-final-C-48h.bed 9539 6998.7552034725 0 908578 18085 4765905 4.77843191237993 4.64021052109175 4.92062873020018 0
h3k4me1-final-D-48h.bed 9396 6808.76845733241 0 891331 18085 4765905 4.74009134840123 4.60277368074662 4.88176727346084 0
H3K4me1_peaks_Trynka.bed 15527 14029.1580560188 4.66849394153562e-217 1745877 18085 4765905 10.5835463652034 10.1478475665782 11.0384162271142 0
H3K4me3.bed 3123 1769.9097084103 2.02737322457929e-242 182218 18085 4765905 5.32392533517202 5.11959637589228 5.53542388322733 0
