Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2948 2331.08623699367 2.60735148339461e-46 203144 15986 4564460 4.91090806805276 4.7156784704062 5.11374999807114 0
1_GATA2-Interval-Track.bed 2948 2331.08623699367 2.60735148339461e-46 203144 15986 4564460 4.91090806805276 4.7156784704062 5.11374999807114 0
adult_peaks.bed 3 7.62406847854827 0.985377176717256 600 15986 4564460 1.42983496631743 0.293980473774273 4.19966100647848 0.472609159732901
All_peaks.merged5.hg19.bed 12138 11389.0457579936 1.77281937052222e-50 1317399 15986 4564460 7.8374515486426 7.55779218348062 8.12812323017874 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 12138 11389.0457579936 1.77281937052222e-50 1317399 15986 4564460 7.8374515486426 7.55779218348062 8.12812323017874 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 5794 5051.88377464629 5.82157402666054e-42 445948 15986 4564460 5.30614268551604 5.13636484373048 5.48130054100678 0
CN_all_peaks.overlap.Conserved.bed 1178 709.47601781376 5.25480864830042e-68 64548 15986 4564460 5.63033648425673 5.2983972277751 5.9787398816111 0
CN_all_peaks.overlap.footprint.bed 747 668.424758301574 0.000727836105742 44887 15986 4564460 5.0016875414351 4.63860334924241 5.38771428916392 1.84835111488315e-258
CN_footprint.hg19.bed 748 668.676059107701 0.000657327413442715 44936 15986 4564460 5.00321283105065 4.64147845784842 5.38911639010663 7.12105070776809e-259
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 5009 4079.91595728335 1.2163909966629e-70 366670 15986 4564460 5.28215021372992 5.10646498247612 5.46332427347261 0
CN_merged_footprint.dnase2tf.bed 220 181.571672272181 0.000291595924553485 6508 15986 4564460 10.0776017729375 8.76319855452453 11.5435155521714 4.62389416561894e-135
CN_merged_footprint.dnase2tf.hg19.bed 286 194.954020012387 1.13393344478139e-10 16439 15986 4564460 5.11208696649137 4.52672039958077 5.75267362988013 1.48024900184577e-103
Coding_UCSC.bed 4354 2845.45748571945 2.40379730958417e-225 320742 15986 4564460 5.00738340476096 4.83372856268178 5.18624601426685 0
Conserved_LindbladToh.bed 5561 4603.63528185857 3.99861173049944e-72 419848 15986 4564460 5.32311081788692 5.15120110032657 5.50109050844971 0
CTCF_Hoffman.bed 4115 3785.14422451316 3.79714217366392e-11 292849 15986 4564460 5.11363279497693 4.93353565025695 5.30012508202717 0
DHS_peaks_Trynka.bed 12401 11335.2935520289 9.76062873849087e-104 1165247 15986 4564460 10.1880267360028 9.81369670303931 10.5787690434021 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8270 7153.58206317671 6.39517905879034e-83 693774 15986 4564460 6.03985677224326 5.8538313804413 6.2325263892297 0
DN_all_peaks.overlap.Conserved.bed 1547 1185.95573684418 1.42115806056932e-29 103741 15986 4564460 4.66158566678143 4.4188879506286 4.91414915163669 0
DN_all_peaks.overlap.footprint.bed 982 836.725327984732 5.15394579390057e-08 53700 15986 4564460 5.58141693801578 5.22362194739071 5.95734054624891 0
DNaseI.bed 6252 4693.88450645347 6.20010761883363e-173 613533 15986 4564460 4.16874060742679 4.03697102658829 4.30363740764188 0
DN_footprint.hg19.bed 982 837.086189602894 5.56948856456915e-08 53770 15986 4564460 5.57392946481375 5.21806914037193 5.94950217171852 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 6943 6260.08265853182 9.8981375796781e-34 586778 15986 4564460 5.25505573465046 5.09216253581451 5.42243335447773 0
DN_merged_footprint.dnase2tf.bed 569 440.373764015662 2.59633204155876e-11 23392 15986 4564460 7.31900183035341 6.71368967079606 7.96556854506209 2.51238503173986e-275
DN_merged_footprint.dnase2tf.hg19.bed 1040 840.179203489522 3.14211014380281e-13 60738 15986 4564460 5.23243000341385 4.90664089713114 5.57533979132015 0
E081-DNase.macs2.narrowPeak.bed 30 13.1601821804335 2.89811348705588e-05 1420 15986 4564460 6.15041754796992 4.1324401022166 8.82545062288127 1.94688489634668e-14
E8_TCM_D_48h.bed 7596 5514.86152542084 2.14707472870412e-288 526937 15986 4564460 7.02504422918871 6.80774587844094 7.24583532952096 0
E8_TCM_T_48h.bed 7069 5007.37678691692 2.56890014833467e-291 473673 15986 4564460 6.93491315061 6.71984095006021 7.15822832805253 0
Enhancer_Andersson.bed 1815 985.914402632326 8.58894924775139e-156 66567 15986 4564460 8.86867093696216 8.43691020723401 9.32007659920034 0
Enhancer_Hoffman.bed 7486 4797.76984614984 0 498189 15986 4564460 7.28267039883878 7.0584623932176 7.51555794707107 0
eQTL_0.05_FDR.bed 144 49.1512881490907 4.18334804203832e-31 1871 15986 4564460 23.9402321503655 20.0363149541851 28.4180990754183 3.1470188954945e-138
eQTL_0.1_FDR.bed 171 73.066124877723 3.85928003687841e-25 2946 15986 4564460 17.711878270887 15.0759747434258 20.6927119549095 3.08640401668895e-143
eur_ld_breakpoints.bed 15986 15985.989436722 3.08773717122013 4564451 15986 4564460 Inf 0.0069284305378605 Inf 1
eur_ld_breakpoints_named.bed 15986 15985.989436722 3.08773717122013 4564451 15986 4564460 Inf 0.0069284305378605 Inf 1
eur_ld_breakpoints_named_sorted.bed 15986 15985.989436722 3.08773717122013 4564451 15986 4564460 Inf 0.0069284305378605 Inf 1
eur_ld_breakpoints_sorted.bed 15986 15985.989436722 3.08773717122013 4564451 15986 4564460 Inf 0.0069284305378605 Inf 1
FAIRE.bed 2165 2386.05517060467 0.999999945764534 165549 15986 4564460 4.2042526608373 4.01550816244719 4.40113297891754 0
fantomFetalBrainCage.gt10.bed 0 NA NA 67 15986 4564460 0 0 16.1047705129045 1
FetalDHS_Trynka.bed 11073 9630.07002822439 1.61046043908945e-152 947998 15986 4564460 8.68774658550412 8.40065494514108 8.98525132738037 0
FOSL2.bed 1429 934.537189509281 1.14545161826201e-61 69657 15986 4564460 6.44604487348637 6.09787799762534 6.8101183077016 0
FOXO1_DeMayo.bed 1680 1202.11296207441 1.30251587976215e-47 96665 15986 4564460 5.50634660979388 5.22911915303224 5.79533996056784 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 8283 6717.18509925708 2.81354965100188e-162 598917 15986 4564460 7.20564845773016 6.98463114784799 7.43491038541946 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7742 7086.67676757413 1.26346998349652e-30 724410 15986 4564460 5.0212672997591 4.86642124362943 5.1799806325417 0
GA_all_peaks.overlap.Conserved.bed 1223 750.783184873955 1.90161258353331e-65 66212 15986 4564460 5.71510291397613 5.38360073848246 6.06125630690897 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 7297 6551.54170298511 5.15070945529311e-39 645489 15986 4564460 5.14565391877496 4.98644019140223 5.30977988834306 0
GA_merged_footprint.dnase2tf.hg19.bed 1633 1268.62091326386 1.33456973678857e-29 92864 15986 4564460 5.55860786270361 5.27565081717094 5.85374353148493 0
GSM1820082_d27_fdr0.05.hot.bed 3648 2781.18992196417 7.81782541159181e-79 236568 15986 4564460 5.47822121681067 5.2775968137208 5.68600834320981 0
GSM1820085_d411_fdr0.05.hot.bed 1553 1081.90357585894 4.36352050042294e-50 86055 15986 4564460 5.6841672023658 5.38834040449301 5.99324850787304 0
GSM1820087_d412_fdr0.05.hot.bed 2467 1833.89229603367 3.37262996230511e-58 155347 15986 4564460 5.24631994153583 5.02355725555718 5.47883262413936 0
H3K27ac.bed 2179 1013.39129125386 5.98146588484057e-283 81802 15986 4564460 8.85821434460795 8.45927472896554 9.27217374075301 0
h3k27ac-final-C-48h.bed 6263 3937.29436837016 0 538695 15986 4564460 4.85877949021502 4.70573627559145 5.01634568877537 0
h3k27ac-final-D-48h.bed 6553 4073.45665521239 0 567359 15986 4564460 4.93977435258192 4.78523541010105 5.09894574074373 0
H3K27ac_Hnisz.bed 13946 11570.6361825505 0 2606291 15986 4564460 5.15847984605024 4.92332916348886 5.40659227848499 0
H3K27ac_PGC2.bed 14023 11358.7951567714 0 2091503 15986 4564460 8.49660309876069 8.1033507052097 8.91364475806657 0
H3K27me3.bed 188 247.938143906475 0.999983003986095 24874 15986 4564460 2.18088412079734 1.87758375681893 2.51950658911104 4.5508499550087e-21
h3k4me1-final-C-48h.bed 9271 6240.53587910341 0 862457 15986 4564460 5.97981520908466 5.7931701455347 6.17299382700302 0
h3k4me1-final-D-48h.bed 9177 6144.2284384971 0 846660 15986 4564460 5.9722118927976 5.78611097955687 6.16472432783095 0
H3K4me1_peaks_Trynka.bed 14003 12319.6469417998 1.39812339917228e-307 1655406 15986 4564460 12.5073674400216 11.9284059876838 13.1128164307929 0
H3K4me3.bed 2827 1546.78677644121 7.01988475367247e-237 173095 15986 4564460 5.52409962443729 5.30065481694644 5.75461961315004 0
h3k4me3-final-C-48h.bed 4108 2255.50421094848 0 282645 15986 4564460 5.3016955120374 5.11551522993095 5.49571397385719 0
h3k4me3-final-D-48h.bed 4406 2382.04004919536 0 302393 15986 4564460 5.42707969378876 5.24044180944855 5.62007560218496 0
H3K4me3_peaks_Trynka.bed 9014 6404.23877247238 0 582115 15986 4564460 8.97053970620802 8.69094074633405 9.25329651394743 0
H3K9ac_peaks_Trynka.bed 8601 5880.95020765327 0 578950 15986 4564460 8.1233195297935 7.87094616501248 8.38144127058429 0
hic_all_interacting_DT1_dTL4_D_48h.bed 6979 4280.81706213212 0 422406 15986 4564460 7.70888244494085 7.46904540650005 7.95707466057422 0
hic_all_interacting_DT1_dTL4_D_48h_expanded.bed 10114 6526.64069226815 0 995730 15986 4564460 6.22627195037035 6.02708515421815 6.43257158177038 0
hic_harmonizome_interacting_DT1_dTL4_D_48h.bed 1279 690.947100062557 8.15347620990321e-114 55428 15986 4564460 7.2193465442293 6.80722497501952 7.64841268478944 0
hic_human_gain_interacting_DT1_dTL4_D_48h.bed 272 175.204458630805 5.05522468354368e-13 14520 15986 4564460 5.5083908598743 4.86244915386182 6.21764177092562 1.06329976312914e-105
Humanfrontcortex.bed 3897 2739.61573076692 2.63825901199494e-135 237014 15986 4564460 5.96717051513521 5.75317670133533 6.18948557652175 0
in.sorted.bed 0 NA NA 2 15986 4564460 0 0 1526.72751216405 1
Intron_UCSC.bed 12145 11983.7204951141 1.59940186542273e-08 3705997 15986 4564460 0.731557032035958 0.705375122234034 0.758858298549137 2.44903220211277e-60
ips_all_peaks.narrowPeak.cleaned.hg19.merged.bed 10479 8842.31108343371 1.86798828923463e-183 909357 15986 4564460 7.72589240408658 7.47604074025105 7.98476653317216 0
ips_all_peaks.overlap.Conserved.bed 1669 1004.01687809593 3.32470816118746e-101 85909 15986 4564460 6.17772917010287 5.86584489740853 6.50244592160318 0
ips_all_peaks.overlap.footprint.bed 1961 1575.65821514258 3.88897285933801e-27 110796 15986 4564460 5.7036454630772 5.43470319107419 5.98193093787052 0
ips_footprint.hg19.bed 3895 3579.10171711557 5.9227865450461e-11 251638 15986 4564460 5.59224065230631 5.39166950590047 5.80024954120114 0
ips_footprint.hg19.s+.bed 2231 2103.71640961093 0.000789997850152463 140962 15986 4564460 5.1551852594927 4.9260272683016 5.39285301592828 0
ips_footprint.hg19.s-.bed 2482 2162.96866042159 4.78551085695054e-15 143695 15986 4564460 5.73563746298178 5.49203638756696 5.99060066071877 0
ips_merged_cutsite_peaks.narrowPeak.hg19.bed 8782 7621.75110455615 1.05408817033951e-90 730712 15986 4564460 6.46148647274466 6.2625439181698 6.66635688042319 0
IPS_merged_footprint.dnase2tf.bed 530 376.610190472436 1.29100721173694e-16 21798 15986 4564460 7.29985563999881 6.67505370571907 7.96847866131787 2.62179111863107e-256
IPS_merged_footprint.dnase2tf.hg19.bed 563 343.881974807305 1.13018753750218e-32 22799 15986 4564460 7.43087380840594 6.81124506682237 8.09308206840413 1.23943731765546e-275
Noonan_hNSC_50_peaks.bed 2580 1881.87027258769 4.52636306991678e-69 147342 15986 4564460 5.85340038803968 5.60899646700429 6.10908559736434 0
Noonan_hNSC_P15-1_peaks.bed 1855 1203.6366717412 1.23030465466909e-84 90133 15986 4564460 6.63235166551664 6.31206658760728 6.96505958920353 0
Noonan_hNSC_P5-1_peaks.bed 1680 1037.06803685167 2.03115544116678e-91 77905 15986 4564460 6.88963569862458 6.54377578408396 7.2517388358483 0
Noonan_hNSC_P5-2_peaks.bed 1751 1229.0437396735 4.45232763392766e-57 86728 15986 4564460 6.46097622340019 6.14200730082636 6.79395259090964 0
Noonan_union.bed 4974 4061.56850691487 6.27093010473339e-66 545215 15986 4564460 3.35102963996332 3.24001417335408 3.46596817832773 0
NR2F2.bed 1327 786.937082986986 9.6324090651714e-84 60565 15986 4564460 6.85977348396361 6.47669499839367 7.26262378071624 0
NSC_all_peaks.narrowPeak.cleaned.hg19.merged.bed 5478 4627.63967593344 1.84199869870251e-56 398612 15986 4564460 5.51006019452152 5.33158561166158 5.69528548011259 0
NSC_all_peaks.overlap.Conserved.bed 1054 639.934589591172 6.12528522651894e-59 57571 15986 4564460 5.61016253554695 5.26335267564003 5.97669383040834 0
NSC_all_peaks.overlap.footprint.bed 1314 993.996261451313 5.54873878254058e-28 71396 15986 4564460 5.72292815669397 5.4022325114233 6.05787359294233 0
NSC_footprint.hg19.bed 6922 6423.80372040535 9.00703077039167e-21 465006 15986 4564460 6.81902964090327 6.60773052848939 7.03880676427993 0
NSC_footprint.hg19.s+.bed 4530 4082.72292339427 4.52800151329949e-20 272207 15986 4564460 6.32382608364435 6.10692779826134 6.54833701822793 0
NSC_footprint.hg19.s-.bed 4509 4196.78372561307 3.8085525622649e-10 274927 15986 4564460 6.21531532396537 6.0030617417947 6.43496098508027 0
NSC_merged_cutsite_peaks.narrowPeak.hg19.bed 4467 3624.27355319861 2.21635146622948e-62 328323 15986 4564460 5.05941574358552 4.88550919599017 5.23779414685346 0
NSC_merged_footprint.dnase2tf.bed 184 155.916956449893 0.00253988324437673 5709 15986 4564460 9.57411810495473 8.21530413785484 11.1003118348719 9.7317948879329e-110
NSC_merged_footprint.dnase2tf.hg19.bed 201 135.665020733556 2.53525182357616e-08 10961 15986 4564460 5.37076479986016 4.64307046438054 6.18018314710403 5.71639108735689e-77
PGR-A_Bagchi.bed 718 482.169756768064 3.89915713993253e-28 40332 15986 4564460 5.35323303929505 4.95614802239393 5.7727050431137 2.08856252723539e-265
PGR-B_Bagchi.bed 1073 787.405807191033 2.32363474865253e-26 70678 15986 4564460 4.63013211184894 4.34565005271161 4.92878119198399 0
PGR_Demayo.bed 557 409.979766455338 2.615684872869e-14 27242 15986 4564460 6.11719033685113 5.60694125613412 6.66356401459222 2.03839968026521e-233
PLZF.bed 34 47.4814051060603 0.98513075459288 4290 15986 4564460 2.2757095917699 1.5733312317121 3.18648827401715 2.16553401260493e-05
POLII_DeMayo.bed 4342 2159.4574019121 0 533490 15986 4564460 2.83246163932476 2.7343401707671 2.93370753478019 0
pooled_ASD_cand_peaks.bed 48 82.2639895289431 0.999988948981781 9206 15986 4564460 1.49274237212706 1.09937156157119 1.98187211576897 0.00788648978121237
pooled_ASD_cand_peaks.hg19.bed 570 439.056785247743 1.99099422875751e-10 53531 15986 4564460 3.13847441527962 2.88060947780941 3.41379908326389 4.26336550720145e-114
pooled_ASD_sign_peaks.bed 35 27.8333646452338 0.0999556697778696 2445 15986 4564460 4.13902898573392 2.87499796638255 5.77568177148215 9.02907313938628e-12
pooled_ASD_sign_peaks.hg19.bed 245 122.905794034489 4.13194776770465e-25 11205 15986 4564460 6.44370044101398 5.64880178950186 7.32271830589148 3.65529202890742e-109
PromoterFlanking_Hoffman.bed 2866 1668.58071922843 3.54140059118348e-202 138903 15986 4564460 7.0847224016134 6.79982440378685 7.38029898387627 0
Promoter_UCSC.bed 4223 2965.06249791309 2.03106919673628e-151 442945 15986 4564460 3.36301219270768 3.24535436153931 3.48424671025748 0
Repressed_Hoffman.bed 7412 11115.4919201707 1 1704762 15986 4564460 1.45205027445362 1.40736498422825 1.49823609192409 4.20292561450053e-120
SuperEnhancer_Hnisz.bed 7268 4475.91476479337 0 1213605 15986 4564460 2.30971237627912 2.23848249343859 2.38314708616515 0
TFBS_ENCODE.bed 12894 11252.4040449944 3.7599905212261e-237 1298375 15986 4564460 10.5850418824517 10.1774956808354 11.0140752301309 0
TSS_Hoffman.bed 4536 2343.72474126131 0 266402 15986 4564460 6.48493576009022 6.26359834914591 6.7141947596171 0
UTR_3_UCSC.bed 2423 1883.45388913262 6.40706096963103e-43 209025 15986 4564460 3.75406366966679 3.59346537221178 3.92138367376276 0
UTR_5_UCSC.bed 1867 1227.75743367819 7.92530233508351e-79 119364 15986 4564460 4.98608338393389 4.7469366422669 5.23551521422623 0
WeakEnhancer_Hoffman.bed 4586 3561.30804809433 4.83602108006346e-92 292265 15986 4564460 5.95814954472522 5.75520118869084 6.16733564123245 0
