Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 3302 2607.5224785528 2.75394476211559e-56 188168 16759 4282763 5.41692818411401 5.21235575819771 5.62856199932768 0
1_GATA2-Interval-Track.bed 3302 2607.5224785528 2.75394476211559e-56 188168 16759 4282763 5.41692818411401 5.21235575819771 5.62856199932768 0
adult_peaks.bed 0 NA NA 575 16759 4282763 0 0 1.63826443966416 0.182534044609951
All_peaks.merged5.hg19.bed 12671 12180.5141266682 1.24657486767847e-23 1223863 16759 4282763 7.81723641583787 7.54435420233013 8.10018475974009 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 12671 12180.5141266682 1.24657486767847e-23 1223863 16759 4282763 7.81723641583787 7.54435420233013 8.10018475974009 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 6050 5429.50137390521 2.30287049926976e-30 412509 16759 4282763 5.36445698373944 5.1965187225349 5.53784989162816 0
CN_all_peaks.overlap.Conserved.bed 1340 823.685750109194 1.93850708131717e-76 59931 16759 4282763 6.24061363491916 5.8942454056696 6.60268474303135 0
CN_all_peaks.overlap.footprint.bed 1145 918.487705249732 2.69262467880063e-18 41710 16759 4282763 7.63887320651922 7.1808441948819 8.11795478653052 0
CN_footprint.hg19.bed 1145 919.046074317523 3.26626302836783e-18 41757 16759 4282763 7.62995956230543 7.1734905786909 8.10852597471377 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 5247 4376.9197145467 3.96396800241745e-62 339164 16759 4282763 5.36715842797214 5.19312532485072 5.54723519139788 0
CN_merged_footprint.dnase2tf.bed 386 320.017044973582 1.75352310387096e-05 6409 16759 4282763 16.6706477213272 14.9897518838768 18.5004244281642 3.84805553347784e-310
CN_merged_footprint.dnase2tf.hg19.bed 272 222.417850007064 0.000355983112204481 15036 16759 4282763 4.75028638242899 4.19428237976106 5.36087632194713 9.00467996150687e-92
Coding_UCSC.bed 4170 2939.30844185009 4.40230057229862e-157 298756 16759 4282763 4.46564372730884 4.30988599135493 4.62601449131895 0
Conserved_LindbladToh.bed 6479 5529.13934180306 2.16229897806856e-72 390329 16759 4282763 6.3740112498787 6.17645024487958 6.57754401502241 0
CTCF_Hoffman.bed 4924 4638.98701424497 1.10569037759901e-08 269954 16759 4282763 6.28088220125106 6.07365217164525 6.49582364020974 0
DHS_peaks_Trynka.bed 13046 12213.444179342 1.66915679954868e-66 1081619 16759 4282763 10.5129265893222 10.1384789383024 10.9101928034464 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8424 7456.0983333009 1.4821623523283e-62 641831 16759 4282763 5.79629174362251 5.62182665531093 5.97539335505167 0
DN_all_peaks.overlap.Conserved.bed 1786 1332.52463812837 3.05744268127361e-42 96260 16759 4282763 5.2666375266782 5.00985785001512 5.53419885108972 0
DN_all_peaks.overlap.footprint.bed 1255 1099.06300700296 5.10307873632931e-08 49829 16759 4282763 7.02693801218891 6.62667303250234 7.449951314677 0
DNaseI.bed 6297 5177.30931520214 3.05167346065059e-92 572276 16759 4282763 3.93509209274924 3.81264022916083 4.06051715807738 0
DN_footprint.hg19.bed 1255 1099.56852925317 5.64562540588197e-08 49895 16759 4282763 7.01732988755378 6.61684988830853 7.43979524397701 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 7362 6748.91840101576 1.50488992379264e-27 542914 16759 4282763 5.45719238295276 5.29186988212027 5.62813719836196 0
DN_merged_footprint.dnase2tf.bed 742 598.476048456013 6.85425634367505e-11 21596 16759 4282763 9.42773247018034 8.74000003542121 10.1619462634329 0
DN_merged_footprint.dnase2tf.hg19.bed 1066 1019.68759829018 0.0524520968347628 55732 16759 4282763 5.23329040894229 4.91126423746968 5.57197690669029 0
E081-DNase.macs2.narrowPeak.bed 21 14.9412718870158 0.0700266023545354 1228 16759 4282763 4.43351178300155 2.73325548797811 6.80874323732313 3.79027702579911e-08
E8_TCM_D_48h.bed 8133 6318.91937117965 1.41495647107926e-231 488755 16759 4282763 7.42577529832149 7.2019191533121 7.65805243916195 0
