Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 4008 2842.84590677839 1.43611705889929e-131 223434 18883 4672906 5.44548602054967 5.25625349107508 5.64088468819526 0
1_GATA2-Interval-Track.bed 4008 2842.84590677839 1.43611705889929e-131 223434 18883 4672906 5.44548602054967 5.25625349107508 5.64088468819526 0
adult_peaks.bed 6 6.8662265049465 0.685692216435724 617 18883 4672906 2.42074028611929 0.884781774666695 5.29962040957535 0.0412254475627683
All_peaks.merged5.hg19.bed 14390 13503.1601641928 1.17109446226104e-59 1425825 18883 4672906 7.35776738255553 7.11384278497411 7.61237545313795 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 14390 13503.1601641928 1.17109446226104e-59 1425825 18883 4672906 7.35776738255553 7.11384278497411 7.61237545313795 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7372 6124.26512148409 4.07960839280643e-97 489642 18883 4672906 5.53988334470077 5.37776018374564 5.70526370854424 0
CN_all_peaks.overlap.Conserved.bed 1708 972.685495836152 2.45612004551365e-129 71265 18883 4672906 6.55441171417154 6.2288189124847 6.89315359260301 0
CN_all_peaks.overlap.footprint.bed 969 848.290931052607 3.53101863324748e-06 49982 18883 4672906 5.08296551015413 4.75626971200502 5.42496998219072 0
CN_footprint.hg19.bed 969 848.841832510051 3.90891430200018e-06 50054 18883 4672906 5.07389963461704 4.74910208163397 5.41678350775524 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 6232 4880.99196680989 8.41215467878464e-125 402883 18883 4672906 5.28731750024732 5.12703316132463 5.45117736151042 0
CN_merged_footprint.dnase2tf.bed 225 186.646458755019 0.000643292274453475 7251 18883 4672906 7.97592943937595 6.94792108732414 9.11614607256127 4.82815001664318e-118
CN_merged_footprint.dnase2tf.hg19.bed 334 222.053156668238 1.52196231379675e-13 17884 18883 4672906 4.7568241500017 4.25178638061751 5.30676193821067 2.7420538420475e-112
Coding_UCSC.bed 5114 3279.11855238955 3.56797689639305e-289 346144 18883 4672906 4.6972773433602 4.54704582475432 4.8516395120855 0
Conserved_LindbladToh.bed 7375 5719.84956404065 1.07258728312427e-179 460057 18883 4672906 5.94776703652203 5.7741755214091 6.12667262755236 0
CTCF_Hoffman.bed 5146 4697.81011238802 1.18864002711712e-16 323608 18883 4672906 5.09991084891102 4.9367380678396 5.26720689222459 0
DHS_peaks_Trynka.bed 14594 13427.0975009793 1.50367366350609e-105 1270184 18883 4672906 9.20931634712345 8.89947877605092 9.53364612634907 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 10155 8449.48671173847 9.416226524937e-163 757461 18883 4672906 6.08248772341794 5.90936475698364 6.26111924954174 0
DN_all_peaks.overlap.Conserved.bed 2186 1529.73948075768 2.17202582064653e-73 114646 18883 4672906 5.28691523535167 5.05204503677326 5.53015499286335 0
DN_all_peaks.overlap.footprint.bed 1184 1027.11191492563 4.4206422121227e-08 59877 18883 4672906 5.23777121700141 4.93148553300366 5.55865624181946 0
DNaseI.bed 6997 5356.26047229103 4.53583530831426e-167 657383 18883 4672906 3.62383799996939 3.51741143341081 3.73296353878775 0
DN_footprint.hg19.bed 1184 1027.45025035536 4.73049182191021e-08 59959 18883 4672906 5.23044130977413 4.92459557925115 5.55001738640891 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 8887 7412.69471417538 1.40566430824146e-124 641858 18883 4672906 5.64790761537206 5.48781696859082 5.81336206459696 0
DN_merged_footprint.dnase2tf.bed 633 621.170201601524 0.291972219985362 26466 18883 4672906 6.21396510361944 5.72618137576997 6.73263005154365 2.44949999051172e-268
DN_merged_footprint.dnase2tf.hg19.bed 1563 1095.80711283545 1.43172651180128e-51 67034 18883 4672906 6.3245894421553 5.99847116654066 6.66546645327237 0
E081-DNase.macs2.narrowPeak.bed 99 28.1519782196903 9.38280857710348e-32 1546 18883 4672906 16.945818079222 13.6773039794913 20.785304131439 6.22564620041902e-82
E8_TCM_D_48h.bed 9058 6692.04910330402 1.36609151075105e-320 577767 18883 4672906 6.6221973719897 6.43408087204485 6.81485538306213 0
E8_TCM_T_48h.bed 8222 6023.79732683575 5.14351805238192e-288 519231 18883 4672906 6.25259315531244 6.07286033092757 6.4368366209122 0
Enhancer_Andersson.bed 1795 1156.73355271087 2.79819327781217e-87 72921 18883 4672906 6.76832226511343 6.43999892795046 7.10924989298116 0
Enhancer_Hoffman.bed 9036 5676.75813538112 0 542147 18883 4672906 7.09403650899993 6.8910637383686 7.30088210123993 0
eQTL_0.05_FDR.bed 113 57.5220073282797 4.50994411449923e-12 2154 18883 4672906 13.7263818111287 11.2462743349677 16.5910676896061 7.26189552251343e-84
eQTL_0.1_FDR.bed 170 85.0012244374331 1.84209418658244e-18 3312 18883 4672906 13.4418841474444 11.4503985702145 15.7033742949549 9.24788474103423e-124
eur_ld_breakpoints.bed 18883 18882.9495277198 1.68423488810023 4672900 18883 4672906 Inf 0.00478005427710644 Inf 1
eur_ld_breakpoints_named.bed 18883 18882.9495277198 1.68423488810023 4672900 18883 4672906 Inf 0.00478005427710644 Inf 1
eur_ld_breakpoints_named_sorted.bed 18883 18882.9495277198 1.68423488810023 4672900 18883 4672906 Inf 0.00478005427710644 Inf 1
eur_ld_breakpoints_sorted.bed 18883 18882.9495277198 1.68423488810023 4672900 18883 4672906 Inf 0.00478005427710644 Inf 1
FAIRE.bed 3176 3043.81894242505 0.0020777652701409 184508 18883 4672906 4.98792868122255 4.79807947714766 5.18366728840969 0
fantomFetalBrainCage.gt10.bed 0 NA NA 76 18883 4672906 0 0 12.2626689276899 1
FetalDHS_Trynka.bed 13107 11431.1918204844 1.60359272156359e-175 1035390 18883 4672906 8.06157448955084 7.81639964749796 8.31904294215728 0
FOSL2.bed 1708 1150.60320040263 9.89398461837686e-67 76675 18883 4672906 6.07424875726638 5.77306599022443 6.3879733715707 0
