Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 5190 3971.44776968853 7.30815993279913e-106 261396 26584 5145445 4.60425443477482 4.4643024972335 4.7473963237529 0
1_GATA2-Interval-Track.bed 5190 3971.44776968853 7.30815993279913e-106 261396 26584 5145445 4.60425443477482 4.4643024972335 4.7473963237529 0
adult_peaks.bed 9 16.3084080497089 0.986169065908018 808 26584 5145445 2.16944130390109 0.988189076581291 4.13925205583269 0.0418793384516506
All_peaks.merged5.hg19.bed 20581 19425.8417326732 5.27362402165601e-75 1645420 26584 5145445 7.37239790167464 7.16325017998194 7.58838079415454 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 20581 19425.8417326732 5.27362402165601e-75 1645420 26584 5145445 7.37239790167464 7.16325017998194 7.58838079415454 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 9806 8645.45953835965 6.45051611665842e-62 572817 26584 5145445 4.72951732243298 4.61188127773287 4.84958556239679 0
CN_all_peaks.overlap.Conserved.bed 2528 1412.72938864294 1.16659557795091e-199 83540 26584 5145445 6.53497982509982 6.26689412642801 6.81240698619898 0
CN_all_peaks.overlap.footprint.bed 1422 1342.86314830936 0.00753295538791641 59683 26584 5145445 4.90867263280486 4.64755805534698 5.18247448506873 0
CN_footprint.hg19.bed 1422 1344.01996831508 0.00832764129469156 59770 26584 5145445 4.90127974785222 4.64041190225369 5.17437542193812 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 8742 7058.85153904649 4.67435263854299e-138 470038 26584 5145445 4.94707416624191 4.82060469473904 5.07710657272604 0
CN_merged_footprint.dnase2tf.bed 416 378.759411896485 0.0186836894055814 9149 26584 5145445 9.3039968238529 8.40515541170444 10.2723919595354 1.44152929324993e-239
CN_merged_footprint.dnase2tf.hg19.bed 511 337.519614540612 1.72460872385434e-21 20831 26584 5145445 4.9169033131445 4.49175244106224 5.3747043406139 5.97163489248748e-176
Coding_UCSC.bed 7196 5026.34884124906 4.93015863181405e-286 399086 26584 5145445 4.47698366435388 4.35609194298283 4.601156138625 0
Conserved_LindbladToh.bed 10806 8748.68567569399 7.61970052252067e-200 536865 26584 5145445 5.97919618776569 5.83408244834648 6.12801367510128 0
CTCF_Hoffman.bed 7527 7132.99131969856 6.25525760679726e-10 381627 26584 5145445 5.00949345923273 4.87624321495025 5.1467716224822 0
DHS_peaks_Trynka.bed 20817 19395.9513182685 4.42877340946529e-117 1474694 26584 5145445 9.09921428845 8.83854706047118 9.36902779635682 0
