Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 4733 3746.99035984807 3.41996394080227e-77 238311 24496 4796183 4.65248268992641 4.50535770513595 4.80439058800706 0
1_GATA2-Interval-Track.bed 4733 3746.99035984807 3.41996394080227e-77 238311 24496 4796183 4.65248268992641 4.50535770513595 4.80439058800706 0
adult_peaks.bed 3 15.7667233549866 0.999991232274058 739 24496 4796183 0.793974273652249 0.163331611744079 2.32970169151749 1
All_peaks.merged5.hg19.bed 18834 17892.4463222588 3.96240843013105e-55 1502739 24496 4796183 7.36992785912251 7.15480724323354 7.59303191711117 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 18834 17892.4463222588 3.96240843013105e-55 1502739 24496 4796183 7.36992785912251 7.15480724323354 7.59303191711117 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 9292 8020.98957129616 6.95055555053184e-80 521730 24496 4796183 5.07980289230844 4.94829788670107 5.21375736750961 0
CN_all_peaks.overlap.Conserved.bed 2141 1283.43805961803 4.44309919786707e-135 75790 24496 4796183 6.10924017729522 5.83827803224894 6.39105508875428 0
CN_all_peaks.overlap.footprint.bed 1255 1249.81186330997 0.437853131077804 54211 24496 4796183 4.81163232714433 4.53895235486961 5.09599625945582 0
CN_footprint.hg19.bed 1255 1250.87021116444 0.451471387699343 54282 24496 4796183 4.80512200634897 4.5336589779712 5.08990257333457 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 8027 6451.64946321906 2.04107468544765e-132 427414 24496 4796183 5.05813560522028 4.92291099922027 5.19635718461058 0
CN_merged_footprint.dnase2tf.bed 451 377.401561873068 1.76263717193753e-05 8420 24496 4796183 11.2121593757507 10.1690670569467 12.3380843532749 2.08783586324504e-291
CN_merged_footprint.dnase2tf.hg19.bed 428 314.238823513225 6.50441159011399e-11 18751 24496 4796183 4.61322541565243 4.17842246840175 5.0818882806185 1.28066270369402e-138
Coding_UCSC.bed 6356 4452.68780385625 1.49827233638038e-245 365103 24496 4796183 4.31025413498004 4.18719782461805 4.43660653882907 0
Conserved_LindbladToh.bed 10063 7983.51599012431 2.26382088939126e-223 489525 24496 4796183 6.24088730566586 6.08276806374234 6.40347706202362 0
CTCF_Hoffman.bed 7014 6738.9340896024 4.3302650113512e-06 347564 24496 4796183 5.22042565334855 5.0762645490035 5.36817341766353 0
DHS_peaks_Trynka.bed 19500 17891.6536735773 5.47080723053764e-165 1345818 24496 4796183 10.1388964420528 9.82801930809621 10.4643518344675 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 12963 11161.0621879967 1.93031956302113e-142 804560 24496 4796183 5.65141964308732 5.50986886140313 5.79711357647121 0
DN_all_peaks.overlap.Conserved.bed 3087 2015.22299847945 1.20505859495931e-142 121923 24496 4796183 5.64618500105828 5.43228963496178 5.86579040646978 0
DN_all_peaks.overlap.footprint.bed 1961 1653.21707335071 4.49561568890094e-19 65935 24496 4796183 6.40354268464278 6.10742035636268 6.71105860145559 0
DNaseI.bed 9354 7576.59936646074 5.43516678035955e-154 688758 24496 4796183 3.72101892068759 3.62577450457176 3.81871758355431 0
DN_footprint.hg19.bed 1961 1654.04329831181 5.56583249169592e-19 66018 24496 4796183 6.39513176982834 6.09986221929549 6.70238709686385 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 11631 9975.08909757348 1.13690090157517e-122 683349 24496 4796183 5.51829990936326 5.38086373910761 5.65862709695759 0
DN_merged_footprint.dnase2tf.bed 1074 939.305407327538 2.42158102195076e-07 29167 24496 4796183 7.74272827534067 7.26930687362389 8.24290394394108 0
DN_merged_footprint.dnase2tf.hg19.bed 2147 1585.58903276185 3.97885731909264e-55 72331 24496 4796183 6.43526760819788 6.1500346126883 6.73053080569218 0
E081-DNase.macs2.narrowPeak.bed 86 31.3493160569034 1.0418136623706e-19 1582 24496 4796183 11.2353317705156 8.92875708319466 13.9680841917936 1.95157694480466e-57
E8_TCM_D_48h.bed 11836 9172.06900960019 0 613817 24496 4796183 6.47580325230163 6.31473670742733 6.64063415563107 0
E8_TCM_T_48h.bed 11053 8335.73535167218 0 552414 24496 4796183 6.42493445560949 6.26331775172289 6.59088106918484 0
Enhancer_Andersson.bed 2526 1779.62703790477 1.39535756452025e-86 79212 24496 4796183 7.03815204759022 6.74758262187833 7.33959116199377 0
Enhancer_Hoffman.bed 11184 7730.54347974401 0 571696 24496 4796183 6.31328238081315 6.15349271632824 6.47442394877923 0
eQTL_0.05_FDR.bed 158 127.376479497331 0.00203491324703655 2687 24496 4796183 12.2421366929796 10.3524353263458 14.3942204568663 4.31570061612927e-109
eQTL_0.1_FDR.bed 219 155.698942255893 9.17366341929786e-08 4068 24496 4796183 11.1756730926681 9.70252786665125 12.8198406263848 1.17551877743238e-142
FAIRE.bed 4689 4291.49442119917 4.65667345303186e-14 199982 24496 4796183 5.54736125715149 5.3706443676784 5.72931019778325 0
fantomFetalBrainCage.gt10.bed 0 NA NA 63 24496 4796183 0 0 11.7499407054271 1
FetalDHS_Trynka.bed 17690 15448.9529404361 1.84624808687777e-258 1099704 24496 4796183 8.86331927734182 8.61664079693889 9.11876343011036 0
FOSL2.bed 2051 1543.51092387075 1.5410356777119e-44 82365 24496 4796183 5.33825171259024 5.09577630564991 5.58837979145279 0
FOXO1_DeMayo.bed 2500 1863.7696738203 3.01125777870283e-57 114818 24496 4796183 4.71505344471784 4.52002979379828 4.91696329648572 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 11937 9939.55998453546 1.95820661687189e-181 696882 24496 4796183 5.67107155296024 5.5301182617893 5.81683673547545 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 12756 11431.311409221 6.63865012374266e-80 837460 24496 4796183 5.2002235116663 5.0702511613837 5.3339122060563 0
GA_all_peaks.overlap.Conserved.bed 2089 1306.58243752569 8.81411931140593e-114 77986 24496 4796183 5.7681369612602 5.50868805930239 6.03656798790697 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 11978 10546.3246289371 3.54759897148385e-93 749016 24496 4796183 5.23810781816563 5.10800284466586 5.37280975201372 0
GA_merged_footprint.dnase2tf.hg19.bed 2492 1892.10906288601 5.40185430647836e-51 108989 24496 4796183 4.96093238787059 4.7561652528047 5.17365673967201 0
