Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 5137 3953.59580679311 6.99829945873384e-107 250515 23770 5077156 5.40201907383273 5.23539754331329 5.57319163175205 0
1_GATA2-Interval-Track.bed 5137 3953.59580679311 6.99829945873384e-107 250515 23770 5077156 5.40201907383273 5.23539754331329 5.57319163175205 0
adult_peaks.bed 1 8.16678652346678 0.999744710136313 721 23770 5077156 0.295242831017175 0.00746728227929865 1.65031699381238 0.274873463500821
All_peaks.merged5.hg19.bed 18480 17488.0344045974 2.38701737182031e-63 1582257 23770 5077156 7.79548335331282 7.56075887364722 8.03838463772298 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 18480 17488.0344045974 2.38701737182031e-63 1582257 23770 5077156 7.79548335331282 7.56075887364722 8.03838463772298 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8272 7775.68179681063 4.34752562179824e-14 547306 23770 5077156 4.47029678868299 4.35135736401565 4.59216144392993 0
CN_all_peaks.overlap.Conserved.bed 1760 1253.40584726287 7.46254897497547e-52 79252 23770 5077156 5.13417555697559 4.88633262352843 5.39237970448521 0
CN_all_peaks.overlap.footprint.bed 1267 1127.43355752854 3.55742129551052e-06 56051 23770 5077156 5.13778491732275 4.84824746729522 5.43932322679007 0
CN_footprint.hg19.bed 1267 1128.60635154988 4.28132752270898e-06 56141 23770 5077156 5.12932689100648 4.84031810841908 5.43194764929708 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 7201 6258.78726332317 4.07937830432451e-51 450626 23770 5077156 4.51841134545552 4.39331142058654 4.64645052032733 0
CN_merged_footprint.dnase2tf.bed 492 423.033289679164 4.40023535766024e-05 8369 23770 5077156 13.543486635534 12.3241331282147 14.8397861822379 0
CN_merged_footprint.dnase2tf.hg19.bed 554 374.548391483696 2.41465133133749e-22 20253 23770 5077156 6.09755278545747 5.58868214205705 6.64179770543154 6.16782204899984e-232
Coding_UCSC.bed 5998 4478.46415275815 1.82654108953332e-161 378507 23770 5077156 4.24112628350434 4.11689022651199 4.36820817928413 0
Conserved_LindbladToh.bed 9640 7914.19688413895 6.39970497863705e-158 509607 23770 5077156 6.21247481881104 6.05362006226097 6.37887045411529 0
CTCF_Hoffman.bed 6560 6518.07782286817 0.248614236434438 364254 23770 5077156 5.00401146102508 4.8617801894012 5.14938933787402 0
DHS_peaks_Trynka.bed 18730 17558.9137851141 3.29040710576136e-92 1412516 23770 5077156 9.75735443084152 9.45528324396455 10.0688565619092 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 12330 10922.5672778422 4.28571942417903e-90 844292 23770 5077156 5.46889611212378 5.33110936058529 5.61132693628 0
DN_all_peaks.overlap.Conserved.bed 2579 1995.42639833857 8.34558443810189e-47 127406 23770 5077156 4.80546126931424 4.60995652130043 5.00846002269149 0
DN_all_peaks.overlap.footprint.bed 1515 1431.31617494446 0.00677133223176648 67107 23770 5077156 5.17729008159727 4.90749484160776 5.4561064656664 0
