Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 2795 2225.1232676641 6.21438928124229e-45 192604 14532 4633332 5.5565575417363 5.32929488651535 5.79295796067408 0
1_GATA2-Interval-Track.bed 2795 2225.1232676641 6.21438928124229e-45 192604 14532 4633332 5.5565575417363 5.32929488651535 5.79295796067408 0
adult_peaks.bed 0 NA NA 517 14532 4633332 0 0 2.27598622006808 0.419134612575588
All_peaks.merged5.hg19.bed 11080 10500.6472526039 5.66074597187981e-36 1286466 14532 4633332 8.41392363964627 8.09710327381712 8.74728715823623 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 11080 10500.6472526039 5.66074597187981e-36 1286466 14532 4633332 8.41392363964627 8.09710327381712 8.74728715823623 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 4780 4474.64054097076 1.5065193558704e-09 423459 14532 4633332 4.91719361915415 4.74808331331731 5.091538529194 0
CN_all_peaks.overlap.Conserved.bed 1024 699.076665071584 6.39123773642612e-38 61733 14532 4633332 5.69160682505705 5.33333890705782 6.06801041114306 0
CN_all_peaks.overlap.footprint.bed 863 731.258218644755 2.8705973300317e-08 41151 14532 4633332 7.17616592314805 6.68571178154304 7.69158408563348 0
CN_footprint.hg19.bed 863 731.926661405815 3.38522943285929e-08 41215 14532 4633332 7.1647177092144 6.67502360737746 7.68061182793966 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 4191 3647.60312062351 6.80438593711892e-30 349553 14532 4633332 5.01484820575431 4.83623283626519 5.19941239479945 0
CN_merged_footprint.dnase2tf.bed 310 259.205122300612 0.000267901050158642 6179 14532 4633332 17.1261596488885 15.2152868441018 19.2411263590486 1.16529023490292e-253
CN_merged_footprint.dnase2tf.hg19.bed 379 213.700512836468 1.15067372803531e-28 15466 14532 4633332 8.17135391630633 7.35038389847262 9.06216573743463 2.10389096523357e-200
