Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 4259 3372.09348528895 4.76015429394844e-68 234157 22347 4871010 4.73042791754401 4.57345977860299 4.89251610499609 0
1_GATA2-Interval-Track.bed 4259 3372.09348528895 4.76015429394844e-68 234157 22347 4871010 4.73042791754401 4.57345977860299 4.89251610499609 0
adult_peaks.bed 3 15.5331935034617 0.999991120564711 676 22347 4871010 0.967179284475896 0.198938250904786 2.83900354850396 1
All_peaks.merged5.hg19.bed 16997 16107.0126467157 9.00018811917692e-53 1496649 22347 4871010 7.23356135425344 7.01278412380187 7.46252743330731 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 16997 16107.0126467157 9.00018811917692e-53 1496649 22347 4871010 7.23356135425344 7.01278412380187 7.46252743330731 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 7897 7092.78065539645 8.91827553328671e-37 513357 22347 4871010 4.69601561891611 4.56722639730104 4.82806412549769 0
CN_all_peaks.overlap.Conserved.bed 1718 1099.76918276668 2.67220075081122e-81 74551 22347 4871010 5.46152056150808 5.19268587221013 5.73973827960836 0
CN_all_peaks.overlap.footprint.bed 1112 1031.11336762646 0.00307246478605426 52181 22347 4871010 4.91925515267657 4.62485711779293 5.22816851580696 0
CN_footprint.hg19.bed 1112 1031.80645292685 0.00330753121579005 52251 22347 4871010 4.91246255316344 4.61800597073147 5.22092232961954 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 6767 5681.35242601722 6.51753310508024e-71 420946 22347 4871010 4.65039825396022 4.51831336558644 4.78673470187172 0
CN_merged_footprint.dnase2tf.bed 431 354.839700276487 5.01175210598316e-06 7929 22347 4871010 12.6960117610316 11.4861465774069 14.0066991831153 1.20797268679178e-299
CN_merged_footprint.dnase2tf.hg19.bed 462 286.904669766673 8.4973155322387e-25 18501 22347 4871010 5.65300157088494 5.13773158817395 6.20643014548509 1.24062293040633e-181
Coding_UCSC.bed 5284 3827.24256187296 4.10402495022224e-166 360104 22347 4871010 3.92164421199009 3.80169507275526 4.04595492706378 0
Conserved_LindbladToh.bed 8724 7092.64518368305 9.69513876732513e-152 482001 22347 4871010 5.92029571087573 5.76184115295626 6.08366950745448 0
CTCF_Hoffman.bed 6289 5889.57799383337 9.20833673715411e-12 339793 22347 4871010 5.30282734662584 5.14846247807807 5.46013322804017 0
DHS_peaks_Trynka.bed 17483 16090.980738618 1.37633659935931e-131 1331984 22347 4871010 9.66343769847056 9.35899288714106 9.97594437337277 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 11194 9902.60201126451 8.4122090005429e-81 793716 22347 4871010 5.21542055149348 5.08005604918437 5.35432866997259 0
DN_all_peaks.overlap.Conserved.bed 2299 1692.11697652278 1.84259222138436e-55 119562 22347 4871010 4.6275245670375 4.42769165701812 4.83371473034092 0
DN_all_peaks.overlap.footprint.bed 1217 1267.69697523152 0.943870821783788 62698 22347 4871010 4.48477183133717 4.22740176360081 4.75489362052024 0
DNaseI.bed 8014 6765.47386101665 8.69313311839468e-85 687720 22347 4871010 3.42943127642564 3.33611976782767 3.52503754839632 0
DN_footprint.hg19.bed 1217 1268.20223219461 0.945596306501993 62790 22347 4871010 4.47797512130644 4.22099813203359 4.74719451760093 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 9778 8846.13291753179 1.5463671847135e-44 673251 22347 4871010 4.90743660354058 4.77761015043077 5.04057889526304 0
DN_merged_footprint.dnase2tf.bed 768 703.195698292683 0.00376845051610586 27247 22347 4871010 6.48137190386072 6.01770776156913 6.97311163582727 0
DN_merged_footprint.dnase2tf.hg19.bed 1627 1243.53707456096 3.67085544561158e-31 70412 22347 4871010 5.45719563532761 5.1818394099156 5.74234800516422 0
E081-DNase.macs2.narrowPeak.bed 53 19.0265784157603 1.43772934982282e-11 1550 22347 4871010 7.69765902008032 5.73704290295637 10.1272820816063 1.51492238355171e-28
E8_TCM_D_48h.bed 10567 8290.31643941538 1.43072289863699e-263 605281 22347 4871010 6.4169370262002 6.24945204993262 6.5889130331161 0
E8_TCM_T_48h.bed 9771 7462.97430498951 7.64748922879339e-277 543418 22347 4871010 6.28233304695562 6.11670085721926 6.45251114518115 0
Enhancer_Andersson.bed 2408 1546.07231582035 6.38998386496018e-121 77243 22347 4871010 7.70452202124824 7.37837139922044 8.04203347677807 0
Enhancer_Hoffman.bed 10139 6923.22123179367 0 566941 22347 4871010 6.40149167168974 6.23333524960821 6.57474091780063 0
eQTL_0.05_FDR.bed 343 143.09510649288 2.06081349122547e-61 2599 22347 4871010 33.4871974782882 29.7829785850651 37.5727762852259 0
eQTL_0.1_FDR.bed 358 168.660308514149 9.16845895810841e-48 3843 22347 4871010 22.6374988184166 20.2378452397131 25.2644113871751 0
FAIRE.bed 3598 3479.97830669364 0.00944317395492551 194153 22347 4871010 4.69104464534133 4.52416116535147 4.86273683545399 0
fantomFetalBrainCage.gt10.bed 0 NA NA 64 22347 4871010 0 0 12.8694322949034 1
FetalDHS_Trynka.bed 15521 13808.0266062779 1.74664660703305e-161 1085969 22347 4871010 8.02554768198203 7.79967684677683 8.25839172062829 0
FOSL2.bed 1891 1391.16968787755 1.68227953113007e-46 80486 22347 4871010 5.61045259622436 5.3467616196256 5.88452155881624 0
FOXO1_DeMayo.bed 1918 1603.13512658049 2.22286774452248e-18 112009 22347 4871010 4.04109198751786 3.85288030408257 4.23698987596149 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 10764 8899.87603066583 9.04268270389835e-172 685753 22347 4871010 5.7461496581495 5.59517757685546 5.90110960889311 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 11093 10167.633388503 5.89156023500988e-44 828029 22347 4871010 4.86468218185822 4.73742810138962 4.99469879330734 0
GA_all_peaks.overlap.Conserved.bed 1790 1115.38331227943 3.38086145281119e-95 76227 22347 4871010 5.58476313812422 5.31567572184438 5.86445848204179 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 10421 9401.99699809464 9.34575901234433e-53 739717 22347 4871010 4.93577317362564 4.8059986166287 5.06757344463925 0
GA_merged_footprint.dnase2tf.hg19.bed 2302 1719.3236055995 5.304960290666e-52 106771 22347 4871010 5.21502961672066 4.99090616708299 5.44774101833597 0
GSM1820082_d27_fdr0.05.hot.bed 4519 3473.30005923153 3.61532127136728e-90 270338 22347 4871010 4.37010506498942 4.22786238451371 4.51637837193545 0
GSM1820085_d411_fdr0.05.hot.bed 2136 1388.05215850798 1.51500409326058e-95 98224 22347 4871010 5.22692342236227 4.99445394433212 5.46789529264765 0
GSM1820087_d412_fdr0.05.hot.bed 3102 2295.3969246675 4.28683248958216e-74 177455 22347 4871010 4.32127532610801 4.15835840710599 4.49021489656061 0
H3K27ac.bed 2771 1364.0793764739 3.34704303894986e-315 93509 22347 4871010 7.4235981051162 7.12771823271 7.72853125631321 0
h3k27ac-final-C-48h.bed 8112 5286.51179818599 0 604572 22347 4871010 4.06303096984503 3.952353171335 4.17556531579465 0
h3k27ac-final-D-48h.bed 8530 5518.55331152204 0 635529 22347 4871010 4.15712007323336 4.04480013109255 4.27146057201371 0
H3K27ac_Hnisz.bed 18916 16250.6433253015 0 2827361 22347 4871010 4.00511715104187 3.86147160245966 4.15484946773454 0
H3K27ac_PGC2.bed 19040 15997.2024818692 0 2303349 22347 4871010 6.46306224287307 6.22763722587102 6.70909987435677 0
H3K27me3.bed 442 380.757966998547 0.000675174800161778 28364 22347 4871010 3.4836010957282 3.16121572211846 3.83093918922148 2.75699791554923e-103
h3k4me1-final-C-48h.bed 12331 8521.86160832758 0 967935 22347 4871010 5.01553632478917 4.88450614281651 5.15119701057239 0
h3k4me1-final-D-48h.bed 12135 8320.17859995957 0 949810 22347 4871010 4.95636993308952 4.82609632376211 5.09014620480229 0
H3K4me1_peaks_Trynka.bed 19124 17285.8086782161 1.82414958947437e-261 1861675 22347 4871010 9.67937257349486 9.3241569126337 10.053964714151 0
H3K4me3.bed 3476 1997.69420824188 1.5655472058788e-246 195303 22347 4871010 4.47202802054033 4.31019181758017 4.63857044282756 0
h3k4me3-final-C-48h.bed 5320 2978.20496921377 0 318939 22347 4871010 4.51809450540566 4.37949589963514 4.66022162936578 0
h3k4me3-final-D-48h.bed 5425 3083.08279188664 0 340578 22347 4871010 4.31749513949529 4.18580802744591 4.45301911187819 0
H3K4me3_peaks_Trynka.bed 12420 9443.60734584247 0 666038 22347 4871010 8.02918732692184 7.81766958182851 8.24638803062051 0
H3K9ac_peaks_Trynka.bed 11892 8685.97007727017 0 662500 22347 4871010 7.33931280943204 7.14870740421713 7.53720191752371 0
hic_all_interacting_DT1_dTL4_D_48h.bed 8859 6097.77853960249 0 480086 22347 4871010 6.10073000803053 5.9373455518667 6.26752869155603 0
hic_all_interacting_DT1_dTL4_D_48h_expanded.bed 12448 9020.12643073418 0 1107833 22347 4871010 4.30897533723775 4.19552205664294 4.42463164632975 0
hic_harmonizome_interacting_DT1_dTL4_D_48h.bed 1412 821.35569214707 6.22830007940254e-95 63939 22347 4871010 5.16349759267919 4.88571913651747 5.45160182369074 0
hic_human_gain_interacting_DT1_dTL4_D_48h.bed 327 205.997431607308 2.55169050530773e-16 16233 22347 4871010 4.51151082329397 4.02828481422691 5.03888438408781 3.37801011936599e-104
Humanfrontcortex.bed 5539 4063.07916145358 5.21691758132675e-162 272073 22347 4871010 5.66538983852972 5.49311894826493 5.84145425416246 0
in.sorted.bed 0 NA NA 2 22347 4871010 0 0 1133.44504603943 1
Intron_UCSC.bed 16034 15878.3121066409 9.17474186374098e-07 3996837 22347 4871010 0.553714167968725 0.537764823819726 0.570225414915648 1.6618901677902e-313
ips_all_peaks.narrowPeak.cleaned.hg19.merged.bed 14472 12571.8028203647 3.91629156559789e-181 1038213 22347 4871010 6.86610810233412 6.67809837934024 7.0591293751284 0
