Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 13100 10214.1550851819 2.00874729110693e-229 441095 68356 7254522 3.74330317766157 3.67130751290248 3.81617964854926 0
1_GATA2-Interval-Track.bed 13100 10214.1550851819 2.00874729110693e-229 441095 68356 7254522 3.74330317766157 3.67130751290248 3.81617964854926 0
adult_peaks.bed 10 32.3143391734089 0.999999417178811 1357 68356 7254522 0.780432115590231 0.373369691055166 1.43980246641316 0.571927755482105
All_peaks.merged5.hg19.bed 51059 48880.8542520926 6.56134676572513e-98 2667819 68356 7254522 5.15459450054874 5.06588479683728 5.24482837885425 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 51059 48880.8542520926 6.56134676572513e-98 2667819 68356 7254522 5.15459450054874 5.06588479683728 5.24482837885425 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 24024 21986.0889482744 2.08647487895738e-74 965760 68356 7254522 3.5930621600936 3.53637233477639 3.65085293024666 0
CN_all_peaks.overlap.Conserved.bed 4991 3324.13031402403 1.29020083850602e-196 137432 68356 7254522 4.19474867831453 4.07305075867923 4.32028591108123 0
CN_all_peaks.overlap.footprint.bed 3346 3127.23638258934 8.54160976868349e-06 104757 68356 7254522 3.5953280651756 3.46992667766233 3.72480257324654 0
CN_footprint.hg19.bed 3347 3130.21117854065 1.02524888188458e-05 104900 68356 7254522 3.59136747822586 3.4663671741615 3.7207714114133 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 20429 17536.6217460137 3.41564973564627e-162 789229 68356 7254522 3.55803149879042 3.49931415264712 3.6172093510724 0
CN_merged_footprint.dnase2tf.bed 1068 782.838709038922 7.73002519954116e-30 15902 68356 7254522 7.67345789800993 7.20090682346862 8.17047256623974 0
CN_merged_footprint.dnase2tf.hg19.bed 1234 862.533254125029 1.09525505300103e-37 35651 68356 7254522 3.82027876413206 3.6048338754638 4.04561072124407 2.05346972777495e-317
Coding_UCSC.bed 17279 11833.8366179403 0 618345 68356 7254522 3.70613227885272 3.64222752990644 3.77199632191359 0
Conserved_LindbladToh.bed 24842 20741.2021591441 4.62125515681112e-311 880981 68356 7254522 4.22139138314093 4.15513033879604 4.28863135546963 0
CTCF_Hoffman.bed 17957 17243.0699474207 2.14877560819884e-12 662242 68356 7254522 3.61772152158911 3.55590944172492 3.68035414035825 0
DHS_peaks_Trynka.bed 52242 48801.9848434984 4.17032893723781e-251 2430628 68356 7254522 6.5535127611133 6.43797589055502 6.67143452404638 0
