Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2_1-Interval-Track.bed 13100 10215.2987008987 3.21961957691927e-229 441172 68391 7258657 3.74248862759364 3.67051235714195 3.8153599262407 0
1_GATA2-Interval-Track.bed 13100 10215.2987008987 3.21961957691927e-229 441172 68391 7258657 3.74248862759364 3.67051235714195 3.8153599262407 0
adult_peaks.bed 10 32.3152530195347 0.999999417578699 1357 68391 7258657 0.780477784503833 0.373391550072174 1.43988667260248 0.571920179929289
All_peaks.merged5.hg19.bed 51068 48888.9607161647 6.16350761305868e-98 2668550 68391 7258657 5.15014950512137 5.06100216900899 5.23970217528909 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 51068 48888.9607161647 6.16350761305868e-98 2668550 68391 7258657 5.15014950512137 5.06100216900899 5.23970217528909 0
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 24027 21988.3885730977 1.91787084949149e-74 965956 68391 7258657 3.59242898742956 3.53577799080175 3.65020951772501 0
CN_all_peaks.overlap.Conserved.bed 4993 3324.40059746277 5.60708580894633e-197 137452 68391 7258657 4.19612090640663 4.07413211138521 4.32083774878024 0
CN_all_peaks.overlap.footprint.bed 3346 3127.40149080559 8.67178521089055e-06 104771 68391 7258657 3.59497041297777 3.4695609976834 3.72452265271374 0
CN_footprint.hg19.bed 3347 3130.37633538556 1.04073137425979e-05 104914 68391 7258657 3.5910109334263 3.46594994306171 3.72038458094799 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 20431 17538.3808631507 3.39488392659126e-162 789388 68391 7258657 3.55738978892186 3.49865665983878 3.61649900635241 0
CN_merged_footprint.dnase2tf.bed 1068 782.869395531753 7.85249431724913e-30 15905 68391 7258657 7.67229990563975 7.19984258059483 8.16924607258998 0
CN_merged_footprint.dnase2tf.hg19.bed 1234 862.637373852263 1.15356087851392e-37 35655 68391 7258657 3.82003078463099 3.60460929188125 4.04534459921959 2.16713694058542e-317
Coding_UCSC.bed 17287 11834.9021583881 0 618401 68391 7258657 3.70787094035902 3.64399774140903 3.7729177879643 0
